Input Number, Run_Number, Result@ 100, X1, X2, U, Reaction1, Reaction3, Reaction4
INVAR-1, Run: 001, P, 0, 38, 0, 16, 40, 24
INVAR-1, Run: 002, P, 0, 38, 0, 25, 49, 24
INVAR-1, Run: 003, P, 0, 38, 0, 23, 47, 24
INVAR-1, Run: 004, P, 0, 38, 0, 15, 39, 24
INVAR-1, Run: 005, P, 0, 38, 0, 37, 61, 24
INVAR-1, Run: 006, P, 0, 38, 0, 32, 56, 24
INVAR-1, Run: 007, P, 0, 38, 0, 18, 42, 24
INVAR-1, Run: 008, P, 0, 38, 0, 15, 39, 24
INVAR-1, Run: 009, P, 0, 38, 0, 28, 52, 24
INVAR-1, Run: 010, P, 0, 38, 0, 25, 49, 24
INVAR-1, Run: 011, P, 0, 38, 0, 28, 52, 24
INVAR-1, Run: 012, P, 0, 38, 0, 18, 42, 24
INVAR-1, Run: 013, P, 0, 38, 0, 22, 46, 24
INVAR-1, Run: 014, P, 0, 38, 0, 22, 46, 24
INVAR-1, Run: 015, P, 0, 38, 0, 22, 46, 24
INVAR-1, Run: 016, P, 0, 38, 0, 31, 55, 24
INVAR-1, Run: 017, P, 0, 38, 0, 17, 41, 24
INVAR-1, Run: 018, P, 0, 38, 0, 20, 44, 24
INVAR-1, Run: 019, P, 0, 38, 0, 27, 51, 24
INVAR-1, Run: 020, P, 0, 38, 0, 20, 44, 24
INVAR-1, Run: 021, P, 0, 38, 0, 22, 46, 24
INVAR-1, Run: 022, P, 0, 38, 0, 23, 47, 24
INVAR-1, Run: 023, P, 0, 38, 0, 15, 39, 24
INVAR-1, Run: 024, P, 0, 38, 0, 14, 38, 24
INVAR-1, Run: 025, P, 0, 38, 0, 31, 55, 24
INVAR-1, Run: 026, P, 0, 38, 0, 29, 53, 24
INVAR-1, Run: 027, P, 0, 38, 0, 33, 57, 24
INVAR-1, Run: 028, P, 0, 38, 0, 19, 43, 24
INVAR-1, Run: 029, P, 0, 38, 0, 24, 48, 24
INVAR-1, Run: 030, P, 0, 38, 0, 22, 46, 24
INVAR-1, Run: 031, P, 0, 38, 0, 14, 38, 24
INVAR-1, Run: 032, P, 0, 38, 0, 32, 56, 24
INVAR-1, Run: 033, P, 11, 0, 27, 27, 13, 13
INVAR-1, Run: 034, P, 0, 38, 0, 28, 52, 24
INVAR-1, Run: 035, P, 0, 38, 0, 8, 32, 24
INVAR-1, Run: 036, P, 0, 38, 0, 33, 57, 24
INVAR-1, Run: 037, P, 0, 38, 0, 22, 46, 24
INVAR-1, Run: 038, P, 0, 38, 0, 23, 47, 24
INVAR-1, Run: 039, P, 0, 38, 0, 17, 41, 24
INVAR-1, Run: 040, P, 0, 38, 0, 24, 48, 24
INVAR-1, Run: 041, P, 0, 38, 0, 24, 48, 24
INVAR-1, Run: 042, P, 0, 38, 0, 27, 51, 24
INVAR-1, Run: 043, P, 0, 38, 0, 21, 45, 24
INVAR-1, Run: 044, P, 0, 38, 0, 34, 58, 24
INVAR-1, Run: 045, P, 0, 38, 0, 25, 49, 24
INVAR-1, Run: 046, P, 0, 38, 0, 17, 41, 24
INVAR-1, Run: 047, P, 0, 38, 0, 21, 45, 24
INVAR-1, Run: 048, P, 0, 38, 0, 30, 54, 24
INVAR-1, Run: 049, P, 0, 38, 0, 19, 43, 24
INVAR-1, Run: 050, P, 0, 38, 0, 13, 37, 24
INVAR-1, Run: 051, P, 0, 38, 0, 48, 72, 24
INVAR-1, Run: 052, P, 0, 38, 0, 20, 44, 24
INVAR-1, Run: 053, P, 0, 38, 0, 31, 55, 24
INVAR-1, Run: 054, P, 0, 38, 0, 29, 53, 24
INVAR-1, Run: 055, P, 0, 38, 0, 28, 52, 24
INVAR-1, Run: 056, P, 0, 38, 0, 21, 45, 24
INVAR-1, Run: 057, P, 0, 38, 0, 19, 43, 24
INVAR-1, Run: 058, P, 0, 38, 0, 27, 51, 24
INVAR-1, Run: 059, P, 0, 38, 0, 23, 47, 24
INVAR-1, Run: 060, P, 0, 38, 0, 22, 46, 24
INVAR-1, Run: 061, P, 0, 38, 0, 22, 46, 24
INVAR-1, Run: 062, P, 0, 38, 0, 24, 48, 24
INVAR-1, Run: 063, P, 0, 38, 0, 21, 45, 24
INVAR-1, Run: 064, P, 0, 38, 0, 34, 58, 24
INVAR-1, Run: 065, P, 0, 38, 0, 24, 48, 24
INVAR-1, Run: 066, P, 0, 38, 0, 38, 62, 24
INVAR-1, Run: 067, P, 0, 38, 0, 21, 45, 24
INVAR-1, Run: 068, P, 0, 38, 0, 21, 45, 24
INVAR-1, Run: 069, P, 14, 0, 24, 20, 6, 10
INVAR-1, Run: 070, P, 0, 38, 0, 33, 57, 24
INVAR-1, Run: 071, P, 0, 38, 0, 19, 43, 24
INVAR-1, Run: 072, P, 0, 38, 0, 32, 56, 24
INVAR-1, Run: 073, P, 0, 38, 0, 30, 54, 24
INVAR-1, Run: 074, P, 0, 38, 0, 22, 46, 24
INVAR-1, Run: 075, P, 0, 38, 0, 28, 52, 24
INVAR-1, Run: 076, P, 0, 38, 0, 8, 32, 24
INVAR-1, Run: 077, P, 0, 38, 0, 26, 50, 24
INVAR-1, Run: 078, P, 0, 38, 0, 28, 52, 24
INVAR-1, Run: 079, P, 0, 38, 0, 22, 46, 24
INVAR-1, Run: 080, P, 0, 38, 0, 27, 51, 24
INVAR-1, Run: 081, P, 0, 38, 0, 17, 41, 24
INVAR-1, Run: 082, P, 0, 38, 0, 25, 49, 24
INVAR-1, Run: 083, P, 0, 38, 0, 21, 45, 24
INVAR-1, Run: 084, P, 0, 38, 0, 26, 50, 24
INVAR-1, Run: 085, P, 0, 38, 0, 16, 40, 24
INVAR-1, Run: 086, P, 0, 38, 0, 22, 46, 24
INVAR-1, Run: 087, P, 0, 38, 0, 15, 39, 24
INVAR-1, Run: 088, P, 0, 38, 0, 37, 61, 24
INVAR-1, Run: 089, P, 0, 38, 0, 20, 44, 24
INVAR-1, Run: 090, P, 0, 38, 0, 25, 49, 24
INVAR-1, Run: 091, P, 0, 38, 0, 13, 37, 24
