Input Number, Run_Number, Result@ 100, X1, X2, U, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, P, 0, 19, 19, 13, 7, 18, 13
INVAR-1, Run: 002, P, 0, 18, 20, 35, 53, 39, 38
INVAR-1, Run: 003, P, 0, 16, 22, 19, 17, 21, 20
INVAR-1, Run: 004, P, 0, 12, 26, 25, 26, 23, 27
INVAR-1, Run: 005, P, 0, 17, 21, 10, 3, 13, 14
INVAR-1, Run: 006, P, 0, 12, 26, 23, 15, 21, 18
INVAR-1, Run: 007, P, 0, 13, 25, 14, 11, 13, 22
INVAR-1, Run: 008, P, 0, 16, 22, 20, 16, 22, 18
INVAR-1, Run: 009, P, 0, 11, 27, 36, 48, 33, 39
INVAR-1, Run: 010, P, 0, 18, 20, 10, 5, 14, 15
INVAR-1, Run: 011, P, 0, 17, 21, 8, 4, 11, 17
INVAR-1, Run: 012, P, 0, 18, 20, 11, 2, 15, 11
INVAR-1, Run: 013, P, 0, 21, 17, 46, 67, 53, 38
INVAR-1, Run: 014, P, 0, 19, 19, 11, 8, 16, 16
INVAR-1, Run: 015, P, 38, 0, 0, 30, 45, 16, 15
INVAR-1, Run: 016, P, 0, 12, 26, 25, 24, 23, 25
INVAR-1, Run: 017, P, 0, 14, 24, 20, 18, 20, 22
INVAR-1, Run: 018, P, 0, 11, 27, 25, 16, 22, 18
INVAR-1, Run: 019, P, 0, 17, 21, 12, 6, 15, 15
INVAR-1, Run: 020, P, 0, 21, 17, 8, 6, 15, 15
INVAR-1, Run: 021, P, 0, 16, 22, 54, 76, 56, 44
INVAR-1, Run: 022, P, 0, 16, 22, 52, 84, 54, 54
INVAR-1, Run: 023, P, 38, 0, 0, 41, 69, 27, 28
INVAR-1, Run: 024, P, 0, 21, 17, 6, 2, 13, 13
INVAR-1, Run: 025, P, 0, 22, 16, 12, 8, 20, 12
INVAR-1, Run: 026, P, 0, 17, 21, 19, 27, 22, 29
INVAR-1, Run: 027, P, 0, 14, 24, 37, 57, 37, 44
