Input Number, Run_Number, Result@ 100, X1, X2, U, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, P, 0, 0, 0, 38, 20, 40, 6, 26
INVAR-1, Run: 002, P, 0, 0, 0, 38, 14, 28, 0, 14
INVAR-1, Run: 003, P, 0, 0, 0, 38, 18, 28, 4, 14
INVAR-1, Run: 004, P, 0, 0, 0, 38, 17, 31, 3, 17
INVAR-1, Run: 005, P, 0, 0, 0, 38, 42, 65, 28, 51
INVAR-1, Run: 006, P, 0, 0, 0, 38, 27, 34, 13, 20
INVAR-1, Run: 007, P, 0, 0, 0, 38, 22, 35, 8, 21
INVAR-1, Run: 008, P, 0, 0, 0, 38, 25, 38, 11, 24
INVAR-1, Run: 009, P, 0, 0, 0, 38, 21, 31, 7, 17
INVAR-1, Run: 010, P, 0, 0, 0, 38, 26, 35, 12, 21
INVAR-1, Run: 011, P, 0, 0, 0, 38, 18, 27, 4, 13
INVAR-1, Run: 012, P, 0, 0, 0, 38, 18, 27, 4, 13
INVAR-1, Run: 013, P, 0, 0, 0, 38, 17, 23, 3, 9
INVAR-1, Run: 014, P, 0, 0, 0, 38, 22, 39, 8, 25
INVAR-1, Run: 015, P, 0, 0, 0, 38, 17, 24, 3, 10
INVAR-1, Run: 016, P, 0, 0, 0, 38, 20, 37, 6, 23
INVAR-1, Run: 017, P, 0, 0, 0, 38, 17, 32, 3, 18
INVAR-1, Run: 018, P, 0, 0, 0, 38, 23, 48, 9, 34
INVAR-1, Run: 019, P, 0, 0, 0, 38, 16, 28, 2, 14
INVAR-1, Run: 020, P, 0, 0, 0, 38, 32, 68, 18, 54
INVAR-1, Run: 021, P, 0, 0, 0, 38, 40, 55, 26, 41
INVAR-1, Run: 022, P, 0, 0, 0, 38, 19, 33, 5, 19
INVAR-1, Run: 023, P, 0, 33, 0, 5, 41, 34, 60, 53
INVAR-1, Run: 024, P, 0, 0, 0, 38, 15, 21, 1, 7
INVAR-1, Run: 025, P, 0, 0, 0, 38, 29, 45, 15, 31
INVAR-1, Run: 026, P, 0, 0, 0, 38, 22, 38, 8, 24
INVAR-1, Run: 027, P, 0, 35, 0, 3, 42, 25, 63, 46
INVAR-1, Run: 028, P, 0, 0, 0, 38, 18, 28, 4, 14
INVAR-1, Run: 029, P, 0, 0, 0, 38, 16, 29, 2, 15
INVAR-1, Run: 030, P, 0, 0, 0, 38, 23, 34, 9, 20
INVAR-1, Run: 031, P, 0, 0, 0, 38, 27, 46, 13, 32
INVAR-1, Run: 032, P, 0, 0, 0, 38, 14, 26, 0, 12
