Input Number, Run_Number, Result@ 100, U, X1, X2, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, P, 0, 38, 0, 0, 15, 22, 1, 8
INVAR-1, Run: 002, P, 0, 38, 0, 0, 23, 36, 9, 22
INVAR-1, Run: 003, P, 0, 38, 0, 3, 15, 20, 1, 9
INVAR-1, Run: 004, P, 0, 38, 0, 1, 25, 35, 11, 22
INVAR-1, Run: 005, P, 0, 38, 0, 0, 17, 23, 3, 9
INVAR-1, Run: 006, P, 0, 38, 0, 2, 20, 32, 6, 20
INVAR-1, Run: 007, P, 0, 38, 0, 1, 18, 33, 4, 20
INVAR-1, Run: 008, P, 0, 38, 0, 0, 17, 27, 3, 13
INVAR-1, Run: 009, P, 0, 38, 0, 0, 23, 40, 9, 26
INVAR-1, Run: 010, P, 0, 38, 0, 0, 16, 31, 2, 17
INVAR-1, Run: 011, P, 0, 38, 0, 0, 20, 24, 6, 10
INVAR-1, Run: 012, P, 0, 38, 0, 1, 15, 19, 1, 6
INVAR-1, Run: 013, P, 0, 38, 0, 0, 15, 25, 1, 11
INVAR-1, Run: 014, P, 0, 38, 0, 2, 23, 37, 9, 25
INVAR-1, Run: 015, P, 0, 38, 0, 4, 54, 62, 40, 52
INVAR-1, Run: 016, P, 0, 0, 38, 2, 39, 33, 63, 59
INVAR-1, Run: 017, P, 0, 38, 0, 4, 20, 26, 6, 16
INVAR-1, Run: 018, P, 0, 38, 0, 1, 19, 26, 5, 13
INVAR-1, Run: 019, P, 0, 38, 0, 1, 19, 25, 5, 12
INVAR-1, Run: 020, P, 0, 38, 0, 4, 27, 35, 13, 25
INVAR-1, Run: 021, P, 0, 38, 0, 1, 20, 26, 6, 13
INVAR-1, Run: 022, P, 0, 38, 0, 2, 17, 29, 3, 17
INVAR-1, Run: 023, P, 0, 38, 0, 2, 22, 35, 8, 23
INVAR-1, Run: 024, P, 0, 38, 0, 1, 20, 36, 6, 23
INVAR-1, Run: 025, P, 0, 38, 0, 1, 15, 19, 1, 6
INVAR-1, Run: 026, P, 0, 38, 0, 4, 28, 51, 14, 41
INVAR-1, Run: 027, P, 0, 38, 0, 2, 19, 24, 5, 12
INVAR-1, Run: 028, P, 0, 38, 0, 1, 17, 31, 3, 18
INVAR-1, Run: 029, P, 0, 38, 0, 0, 16, 22, 2, 8
INVAR-1, Run: 030, P, 0, 38, 0, 0, 33, 48, 19, 34
INVAR-1, Run: 031, P, 0, 38, 0, 3, 19, 26, 5, 15
INVAR-1, Run: 032, P, 0, 38, 0, 1, 17, 26, 3, 13
INVAR-1, Run: 033, P, 0, 38, 0, 1, 15, 22, 1, 9
INVAR-1, Run: 034, P, 0, 38, 0, 3, 22, 28, 8, 17
INVAR-1, Run: 035, P, 0, 38, 0, 2, 37, 51, 23, 39
INVAR-1, Run: 036, P, 0, 38, 0, 0, 19, 26, 5, 12
INVAR-1, Run: 037, P, 0, 38, 0, 0, 18, 22, 4, 8
INVAR-1, Run: 038, P, 0, 38, 0, 0, 19, 33, 5, 19
INVAR-1, Run: 039, P, 0, 38, 0, 0, 14, 24, 0, 10
INVAR-1, Run: 040, P, 0, 38, 0, 1, 17, 35, 3, 22
INVAR-1, Run: 041, P, 0, 38, 0, 1, 14, 20, 0, 7
INVAR-1, Run: 042, P, 0, 38, 0, 1, 21, 34, 7, 21
INVAR-1, Run: 043, P, 0, 38, 0, 0, 32, 47, 18, 33
INVAR-1, Run: 044, P, 0, 38, 0, 0, 21, 41, 7, 27
INVAR-1, Run: 045, P, 0, 38, 0, 1, 15, 28, 1, 15
INVAR-1, Run: 046, P, 0, 38, 0, 0, 25, 32, 11, 18
INVAR-1, Run: 047, P, 0, 0, 38, 2, 31, 10, 55, 36
INVAR-1, Run: 048, P, 0, 38, 0, 3, 25, 31, 11, 20
INVAR-1, Run: 049, P, 0, 38, 0, 0, 28, 47, 14, 33
INVAR-1, Run: 050, P, 0, 38, 0, 0, 19, 34, 5, 20
INVAR-1, Run: 051, P, 0, 38, 0, 3, 20, 33, 6, 22
INVAR-1, Run: 052, P, 0, 38, 0, 1, 14, 21, 0, 8
INVAR-1, Run: 053, P, 0, 38, 0, 0, 16, 24, 2, 10
INVAR-1, Run: 054, P, 0, 38, 0, 0, 21, 29, 7, 15
INVAR-1, Run: 055, P, 0, 38, 0, 0, 16, 32, 2, 18
INVAR-1, Run: 056, P, 0, 38, 0, 2, 14, 21, 0, 9
INVAR-1, Run: 057, P, 0, 38, 0, 3, 18, 39, 4, 28
INVAR-1, Run: 058, P, 0, 38, 0, 6, 28, 51, 14, 43
INVAR-1, Run: 059, P, 0, 38, 0, 0, 15, 22, 1, 8
INVAR-1, Run: 060, P, 0, 38, 0, 1, 15, 23, 1, 10
INVAR-1, Run: 061, P, 0, 38, 0, 1, 24, 40, 10, 27
INVAR-1, Run: 062, P, 0, 38, 0, 2, 20, 49, 6, 37
INVAR-1, Run: 063, P, 0, 38, 0, 1, 20, 25, 6, 12
INVAR-1, Run: 064, P, 0, 38, 0, 2, 26, 39, 12, 27
INVAR-1, Run: 065, P, 0, 38, 0, 2, 17, 26, 3, 14
INVAR-1, Run: 066, P, 0, 38, 0, 2, 26, 48, 12, 36
INVAR-1, Run: 067, P, 0, 38, 0, 5, 50, 51, 36, 42
INVAR-1, Run: 068, P, 0, 38, 0, 2, 14, 23, 0, 11
INVAR-1, Run: 069, P, 0, 38, 0, 0, 16, 23, 2, 9
INVAR-1, Run: 070, P, 0, 38, 0, 1, 26, 46, 12, 33
INVAR-1, Run: 071, P, 0, 38, 0, 2, 20, 18, 6, 6
INVAR-1, Run: 072, P, 0, 0, 38, 1, 18, 5, 42, 30
INVAR-1, Run: 073, P, 0, 38, 0, 2, 24, 36, 10, 24
INVAR-1, Run: 074, P, 0, 38, 0, 3, 25, 43, 11, 32
INVAR-1, Run: 075, P, 0, 38, 0, 1, 17, 30, 3, 17
INVAR-1, Run: 076, P, 0, 38, 0, 0, 15, 24, 1, 10
INVAR-1, Run: 077, P, 0, 38, 0, 2, 25, 42, 11, 30
INVAR-1, Run: 078, P, 0, 38, 0, 2, 19, 29, 5, 17
INVAR-1, Run: 079, P, 0, 38, 0, 2, 20, 32, 6, 20
INVAR-1, Run: 080, P, 0, 38, 0, 4, 18, 25, 4, 15
INVAR-1, Run: 081, P, 0, 38, 0, 2, 21, 30, 7, 18
INVAR-1, Run: 082, P, 0, 38, 0, 1, 20, 28, 6, 15
INVAR-1, Run: 083, P, 0, 38, 0, 0, 18, 24, 4, 10
INVAR-1, Run: 084, P, 0, 38, 0, 0, 21, 31, 7, 17
INVAR-1, Run: 085, P, 0, 38, 0, 1, 30, 39, 16, 26
INVAR-1, Run: 086, P, 0, 38, 0, 1, 22, 36, 8, 23
INVAR-1, Run: 087, P, 0, 38, 0, 3, 30, 53, 16, 42
INVAR-1, Run: 088, P, 0, 38, 0, 1, 20, 33, 6, 20
INVAR-1, Run: 089, P, 0, 38, 0, 2, 21, 33, 7, 21
INVAR-1, Run: 090, P, 0, 38, 0, 1, 36, 53, 22, 40
INVAR-1, Run: 091, P, 0, 38, 0, 0, 15, 23, 1, 9
INVAR-1, Run: 092, P, 0, 38, 0, 0, 22, 31, 8, 17
INVAR-1, Run: 093, P, 0, 38, 0, 1, 15, 24, 1, 11
INVAR-1, Run: 094, P, 0, 38, 0, 0, 19, 28, 5, 14
INVAR-1, Run: 095, P, 0, 0, 38, 5, 32, 13, 56, 42
INVAR-1, Run: 096, P, 0, 38, 0, 3, 19, 26, 5, 15
INVAR-1, Run: 097, P, 0, 38, 0, 0, 15, 24, 1, 10
INVAR-1, Run: 098, P, 0, 38, 0, 0, 43, 65, 29, 51
INVAR-1, Run: 099, P, 0, 38, 0, 2, 14, 24, 0, 12
INVAR-1, Run: 100, P, 0, 38, 0, 0, 20, 29, 6, 15
INVAR-10, Run: 001, P, 0, 12, 0, 1, 5, 8, 0, 4
INVAR-10, Run: 002, P, 0, 12, 0, 0, 6, 6, 1, 1
INVAR-10, Run: 003, P, 0, 12, 0, 2, 7, 14, 2, 11
INVAR-10, Run: 004, P, 0, 12, 0, 3, 5, 8, 0, 6
INVAR-10, Run: 005, P, 0, 0, 12, 0, 7, 9, 14, 16
INVAR-10, Run: 006, P, 0, 12, 0, 0, 6, 6, 1, 1
INVAR-10, Run: 007, P, 0, 12, 0, 0, 6, 7, 1, 2
INVAR-10, Run: 008, P, 0, 12, 0, 0, 12, 15, 7, 10
INVAR-10, Run: 009, P, 0, 0, 12, 1, 11, 6, 18, 14
INVAR-10, Run: 010, P, 0, 12, 0, 1, 8, 8, 3, 4
INVAR-10, Run: 011, P, 0, 0, 12, 1, 4, 0, 11, 8
