Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, P, 34, 3438, 0, 0, 0, 0, 5, 3419, 5, 0, 4, 1, 5
INVAR-1, Run: 002, P, 33, 3172, 0, 0, 0, 0, 5, 3152, 4, 1, 5, 0, 5
INVAR-1, Run: 003, P, 33, 3256, 0, 0, 0, 0, 5, 3236, 4, 1, 5, 0, 5
INVAR-1, Run: 004, P, 33, 3435, 0, 0, 0, 0, 5, 3416, 5, 0, 5, 0, 5
INVAR-1, Run: 005, P, 33, 3279, 0, 0, 0, 0, 5, 3260, 5, 0, 5, 0, 5
INVAR-1, Run: 006, P, 33, 3289, 0, 0, 0, 0, 5, 3270, 5, 0, 5, 0, 5
INVAR-1, Run: 007, P, 33, 3300, 0, 0, 0, 0, 5, 3280, 4, 1, 5, 0, 5
INVAR-1, Run: 008, P, 33, 3348, 0, 0, 0, 0, 5, 3328, 4, 1, 5, 0, 5
INVAR-1, Run: 009, P, 34, 3398, 0, 0, 0, 0, 5, 3379, 5, 0, 4, 1, 5
INVAR-1, Run: 010, P, 33, 3382, 0, 0, 0, 0, 5, 3363, 5, 0, 5, 0, 5
INVAR-1, Run: 011, P, 33, 3286, 0, 0, 0, 0, 5, 3267, 5, 0, 5, 0, 5
INVAR-1, Run: 012, P, 34, 3370, 0, 0, 0, 0, 5, 3351, 5, 0, 4, 1, 5
INVAR-1, Run: 013, P, 33, 3444, 0, 0, 0, 0, 5, 3423, 3, 2, 5, 0, 5
INVAR-1, Run: 014, P, 33, 3395, 0, 0, 0, 0, 5, 3375, 4, 1, 5, 0, 5
INVAR-1, Run: 015, P, 33, 3341, 0, 0, 0, 0, 5, 3322, 5, 0, 5, 0, 5
INVAR-1, Run: 016, P, 33, 3331, 0, 0, 0, 0, 5, 3312, 5, 0, 5, 0, 5
INVAR-1, Run: 017, P, 33, 3251, 0, 0, 0, 0, 5, 3232, 5, 0, 5, 0, 5
INVAR-1, Run: 018, P, 33, 3318, 0, 0, 0, 0, 5, 3299, 5, 0, 5, 0, 5
INVAR-1, Run: 019, P, 33, 3296, 0, 0, 0, 0, 5, 3277, 5, 0, 5, 0, 5
INVAR-1, Run: 020, P, 33, 3389, 0, 0, 0, 0, 5, 3369, 4, 1, 5, 0, 5
INVAR-1, Run: 021, P, 33, 3331, 0, 0, 0, 0, 5, 3312, 5, 0, 5, 0, 5
INVAR-1, Run: 022, P, 33, 3327, 0, 0, 0, 0, 5, 3308, 5, 0, 5, 0, 5
INVAR-1, Run: 023, P, 33, 3319, 0, 0, 0, 0, 5, 3299, 4, 1, 5, 0, 5
INVAR-1, Run: 024, P, 33, 3411, 0, 0, 0, 0, 5, 3392, 5, 0, 5, 0, 5
INVAR-1, Run: 025, P, 33, 3276, 0, 0, 0, 0, 5, 3257, 5, 0, 5, 0, 5
INVAR-1, Run: 026, P, 33, 3339, 0, 0, 0, 0, 5, 3320, 5, 0, 5, 0, 5
INVAR-1, Run: 027, P, 33, 3363, 0, 0, 0, 0, 5, 3343, 4, 1, 5, 0, 5
INVAR-1, Run: 028, P, 35, 3559, 0, 0, 0, 0, 5, 3539, 4, 1, 3, 2, 5
INVAR-1, Run: 029, P, 33, 3406, 0, 0, 0, 0, 5, 3387, 5, 0, 5, 0, 5
INVAR-1, Run: 030, P, 33, 3370, 0, 0, 0, 0, 5, 3351, 5, 0, 5, 0, 5
INVAR-1, Run: 031, P, 34, 3451, 0, 0, 0, 0, 5, 3431, 4, 1, 4, 1, 5
INVAR-1, Run: 032, P, 33, 3300, 0, 0, 0, 0, 5, 3279, 3, 2, 5, 0, 5
INVAR-1, Run: 033, P, 33, 3286, 0, 0, 0, 0, 5, 3266, 4, 1, 5, 0, 5
INVAR-1, Run: 034, P, 33, 3243, 0, 0, 0, 0, 5, 3224, 5, 0, 5, 0, 5
INVAR-1, Run: 035, P, 33, 3350, 0, 0, 0, 0, 5, 3330, 4, 1, 5, 0, 5
INVAR-1, Run: 036, P, 33, 3422, 0, 0, 0, 0, 5, 3403, 5, 0, 5, 0, 5
INVAR-1, Run: 037, P, 33, 3298, 0, 0, 0, 0, 5, 3279, 5, 0, 5, 0, 5
INVAR-1, Run: 038, P, 34, 3420, 0, 0, 0, 0, 5, 3401, 5, 0, 4, 1, 5
INVAR-1, Run: 039, P, 33, 3436, 0, 0, 0, 0, 5, 3417, 5, 0, 5, 0, 5
INVAR-1, Run: 040, P, 33, 3387, 0, 0, 0, 0, 5, 3368, 5, 0, 5, 0, 5
INVAR-1, Run: 041, P, 33, 3339, 0, 0, 0, 0, 5, 3320, 5, 0, 5, 0, 5
INVAR-1, Run: 042, P, 34, 3440, 0, 0, 0, 0, 5, 3421, 5, 0, 4, 1, 5
INVAR-1, Run: 043, P, 33, 3298, 0, 0, 0, 0, 5, 3278, 4, 1, 5, 0, 5
INVAR-1, Run: 044, P, 33, 3290, 0, 0, 0, 0, 5, 3271, 5, 0, 5, 0, 5
INVAR-1, Run: 045, P, 33, 3409, 0, 0, 0, 0, 5, 3390, 5, 0, 5, 0, 5
INVAR-1, Run: 046, P, 33, 3315, 0, 0, 0, 0, 5, 3296, 5, 0, 5, 0, 5
INVAR-1, Run: 047, P, 33, 3265, 0, 0, 0, 0, 5, 3246, 5, 0, 5, 0, 5
INVAR-1, Run: 048, P, 33, 3302, 0, 0, 0, 0, 5, 3281, 3, 2, 5, 0, 5
INVAR-1, Run: 049, P, 33, 3318, 0, 0, 0, 0, 5, 3299, 5, 0, 5, 0, 5
INVAR-1, Run: 050, P, 33, 3454, 0, 0, 0, 0, 5, 3434, 4, 1, 5, 0, 5
INVAR-1, Run: 051, P, 34, 3433, 0, 0, 0, 0, 5, 3414, 5, 0, 4, 1, 5
INVAR-1, Run: 052, P, 33, 3290, 0, 0, 0, 0, 5, 3271, 5, 0, 5, 0, 5
INVAR-1, Run: 053, P, 33, 3400, 0, 0, 0, 0, 5, 3381, 5, 0, 5, 0, 5
INVAR-1, Run: 054, P, 34, 3447, 0, 0, 0, 0, 5, 3428, 5, 0, 4, 1, 5
INVAR-1, Run: 055, P, 33, 3251, 0, 0, 0, 0, 5, 3231, 4, 1, 5, 0, 5
INVAR-1, Run: 056, P, 33, 3201, 0, 0, 0, 0, 5, 3182, 5, 0, 5, 0, 5
INVAR-1, Run: 057, P, 33, 3350, 0, 0, 0, 0, 5, 3329, 3, 2, 5, 0, 5
INVAR-1, Run: 058, P, 34, 3321, 0, 0, 0, 0, 5, 3301, 4, 1, 4, 1, 5
INVAR-1, Run: 059, P, 33, 3305, 0, 0, 0, 0, 5, 3286, 5, 0, 5, 0, 5
INVAR-1, Run: 060, P, 33, 3273, 0, 0, 0, 0, 5, 3253, 4, 1, 5, 0, 5
INVAR-1, Run: 061, P, 33, 3407, 0, 0, 0, 0, 5, 3387, 4, 1, 5, 0, 5
INVAR-1, Run: 062, P, 33, 3463, 0, 0, 0, 0, 5, 3443, 4, 1, 5, 0, 5
INVAR-1, Run: 063, P, 35, 3550, 0, 0, 0, 0, 5, 3531, 5, 0, 3, 2, 5
INVAR-1, Run: 064, P, 33, 3388, 0, 0, 0, 0, 5, 3367, 3, 2, 5, 0, 5
INVAR-1, Run: 065, P, 34, 3450, 0, 0, 0, 0, 5, 3431, 5, 0, 4, 1, 5
INVAR-1, Run: 066, P, 33, 3208, 0, 0, 0, 0, 5, 3188, 4, 1, 5, 0, 5
INVAR-1, Run: 067, P, 34, 3360, 0, 0, 0, 0, 5, 3341, 5, 0, 4, 1, 5
INVAR-1, Run: 068, P, 33, 3314, 0, 0, 0, 0, 5, 3295, 5, 0, 5, 0, 5
INVAR-1, Run: 069, P, 34, 3422, 0, 0, 0, 0, 5, 3402, 4, 1, 4, 1, 5
