Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A1,INVAR-1,100,14,0,0,0,14
A1,INVAR-10,100,84,0,0,0,84
A1,INVAR-11,100,1,0,0,0,1
A1,INVAR-12,100,3,0,0,0,3
A1,INVAR-13,100,31,0,0,0,31
A1,INVAR-14,100,5,0,0,0,5
A1,INVAR-15,100,2,0,0,0,2
A1,INVAR-16,100,17,0,0,0,17
A1,INVAR-17,100,3,0,0,0,3
A1,INVAR-18,100,2,0,0,0,2
A1,INVAR-19,100,100,0,0,0,100
A1,INVAR-2,100,10,0,0,0,10
A1,INVAR-20,100,100,0,0,0,100
A1,INVAR-21,100,100,0,0,0,100
A1,INVAR-22,100,100,0,0,0,100
A1,INVAR-23,100,100,0,0,0,100
A1,INVAR-24,100,100,0,0,0,100
A1,INVAR-25,100,100,0,0,0,100
A1,INVAR-26,100,10,0,0,0,10
A1,INVAR-27,100,4,0,0,0,4
A1,INVAR-28,100,2,0,0,0,2
A1,INVAR-3,100,4,0,0,0,4
A1,INVAR-4,100,50,0,0,0,50
A1,INVAR-5,100,9,0,0,0,9
A1,INVAR-6,100,5,0,0,0,5
A1,INVAR-7,100,34,0,0,0,34
A1,INVAR-8,100,6,0,0,0,6
A1,INVAR-9,100,1,0,0,0,1
A2,INVAR-1,100,0,0,0,0,0
A2,INVAR-10,100,0,0,0,0,0
A2,INVAR-11,100,0,0,0,0,0
A2,INVAR-12,100,0,0,0,0,0
A2,INVAR-13,100,0,0,0,0,0
A2,INVAR-14,100,0,0,0,0,0
A2,INVAR-15,100,0,0,0,0,0
A2,INVAR-16,100,0,0,0,0,0
A2,INVAR-17,100,0,0,0,0,0
A2,INVAR-18,100,0,0,0,0,0
A2,INVAR-19,100,0,0,0,0,0
A2,INVAR-2,100,0,0,0,0,0
A2,INVAR-20,100,0,0,0,0,0
A2,INVAR-21,100,0,0,0,0,0
A2,INVAR-22,100,0,0,0,0,0
A2,INVAR-23,100,0,0,0,0,0
A2,INVAR-24,100,0,0,0,0,0
A2,INVAR-25,100,0,0,0,0,0
A2,INVAR-26,100,0,0,0,0,0
A2,INVAR-27,100,0,0,0,0,0
A2,INVAR-28,100,0,0,0,0,0
A2,INVAR-3,100,0,0,0,0,0
A2,INVAR-4,100,0,0,0,0,0
A2,INVAR-5,100,0,0,0,0,0
A2,INVAR-6,100,0,0,0,0,0
A2,INVAR-7,100,0,0,0,0,0
A2,INVAR-8,100,0,0,0,0,0
A2,INVAR-9,100,0,0,0,0,0
