Input Number, Run_Number, Result@ 100, A1, F1, F1P, A2, F2, F2P
INVAR-1, Run: 001, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 002, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 003, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 004, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 005, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 006, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 007, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 008, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 009, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 010, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 011, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 012, E, 21, 0, 0, 33, 0, 0
INVAR-1, Run: 013, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 014, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 015, E, 20, 0, 0, 34, 0, 0
INVAR-1, Run: 016, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 017, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 018, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 019, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 020, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 021, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 022, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 023, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 024, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 025, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 026, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 027, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 028, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 029, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 030, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 031, E, 21, 0, 0, 33, 0, 0
INVAR-1, Run: 032, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 033, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 034, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 035, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 036, E, 19, 0, 0, 33, 0, 0
