Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y
INVAR-1, Run: 001, P, 33, 3317, 0, 0, 0, 0, 5
INVAR-1, Run: 002, P, 33, 3337, 0, 0, 0, 0, 5
INVAR-1, Run: 003, P, 33, 3294, 0, 0, 0, 0, 5
INVAR-1, Run: 004, P, 33, 3297, 0, 0, 0, 0, 5
INVAR-1, Run: 005, P, 33, 3304, 0, 0, 0, 0, 5
INVAR-1, Run: 006, P, 33, 3372, 0, 0, 0, 0, 5
INVAR-1, Run: 007, P, 34, 3470, 0, 0, 0, 0, 5
INVAR-1, Run: 008, P, 33, 3334, 0, 0, 0, 0, 5
INVAR-1, Run: 009, P, 33, 3294, 0, 0, 0, 0, 5
INVAR-1, Run: 010, P, 34, 3406, 0, 0, 0, 0, 5
INVAR-1, Run: 011, P, 33, 3203, 0, 0, 0, 0, 5
INVAR-1, Run: 012, P, 34, 3539, 0, 0, 0, 0, 5
INVAR-1, Run: 013, P, 33, 3401, 0, 0, 0, 0, 5
INVAR-1, Run: 014, P, 33, 3297, 0, 0, 0, 0, 5
INVAR-1, Run: 015, P, 33, 3173, 0, 0, 0, 0, 5
INVAR-1, Run: 016, P, 33, 3310, 0, 0, 0, 0, 5
INVAR-1, Run: 017, P, 33, 3335, 0, 0, 0, 0, 5
INVAR-1, Run: 018, P, 33, 3259, 0, 0, 0, 0, 5
INVAR-1, Run: 019, P, 33, 3272, 0, 0, 0, 0, 5
INVAR-1, Run: 020, P, 33, 3279, 0, 0, 0, 0, 5
INVAR-1, Run: 021, P, 34, 3457, 0, 0, 0, 0, 5
INVAR-1, Run: 022, P, 33, 3412, 0, 0, 0, 0, 5
INVAR-1, Run: 023, P, 33, 3302, 0, 0, 0, 0, 5
INVAR-1, Run: 024, P, 33, 3314, 0, 0, 0, 0, 5
INVAR-1, Run: 025, P, 33, 3408, 0, 0, 0, 0, 5
INVAR-1, Run: 026, P, 33, 3340, 0, 0, 0, 0, 5
INVAR-1, Run: 027, P, 34, 3283, 0, 0, 0, 0, 5
INVAR-1, Run: 028, P, 33, 3318, 0, 0, 0, 0, 5
INVAR-1, Run: 029, P, 34, 3526, 0, 0, 0, 0, 5
INVAR-1, Run: 030, P, 34, 3512, 0, 0, 0, 0, 5
INVAR-1, Run: 031, P, 33, 3297, 0, 0, 0, 0, 5
INVAR-1, Run: 032, P, 33, 3277, 0, 0, 0, 0, 5
INVAR-1, Run: 033, P, 33, 3265, 0, 0, 0, 0, 5
INVAR-1, Run: 034, P, 33, 3385, 0, 0, 0, 0, 5
INVAR-1, Run: 035, P, 34, 3394, 0, 0, 0, 0, 5
INVAR-1, Run: 036, P, 34, 3425, 0, 0, 0, 0, 5
INVAR-1, Run: 037, P, 33, 3285, 0, 0, 0, 0, 5
INVAR-1, Run: 038, P, 34, 3421, 0, 0, 0, 0, 5
INVAR-1, Run: 039, P, 33, 3382, 0, 0, 0, 0, 5
INVAR-1, Run: 040, P, 34, 3365, 0, 0, 0, 0, 5
INVAR-1, Run: 041, P, 33, 3413, 0, 0, 0, 0, 5
INVAR-1, Run: 042, P, 33, 3436, 0, 0, 0, 0, 5
INVAR-1, Run: 043, P, 34, 3309, 0, 0, 0, 0, 5
INVAR-1, Run: 044, P, 33, 3236, 0, 0, 0, 0, 5
INVAR-1, Run: 045, P, 34, 3381, 0, 0, 0, 0, 5
INVAR-1, Run: 046, P, 34, 3438, 0, 0, 0, 0, 5
INVAR-1, Run: 047, P, 34, 3419, 0, 0, 0, 0, 5
INVAR-1, Run: 048, P, 33, 3270, 0, 0, 0, 0, 5
INVAR-1, Run: 049, P, 33, 3284, 0, 0, 0, 0, 5
INVAR-1, Run: 050, P, 33, 3310, 0, 0, 0, 0, 5
INVAR-1, Run: 051, P, 33, 3257, 0, 0, 0, 0, 5
INVAR-1, Run: 052, P, 34, 3441, 0, 0, 0, 0, 5
INVAR-1, Run: 053, P, 33, 3345, 0, 0, 0, 0, 5
INVAR-1, Run: 054, P, 33, 3371, 0, 0, 0, 0, 5
INVAR-1, Run: 055, P, 33, 3254, 0, 0, 0, 0, 5
INVAR-1, Run: 056, P, 33, 3336, 0, 0, 0, 0, 5
INVAR-1, Run: 057, P, 33, 3282, 0, 0, 0, 0, 5
INVAR-1, Run: 058, P, 33, 3284, 0, 0, 0, 0, 5
INVAR-1, Run: 059, P, 33, 3402, 0, 0, 0, 0, 5
INVAR-1, Run: 060, P, 33, 3329, 0, 0, 0, 0, 5
