Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A3,INVAR-1,100,1,0,0,0,1
A3,INVAR-10,100,9,0,0,0,9
A3,INVAR-11,100,0,0,0,0,0
A3,INVAR-12,100,1,0,0,0,1
A3,INVAR-13,100,4,0,0,0,4
A3,INVAR-14,100,2,0,0,0,2
A3,INVAR-15,100,0,0,0,0,0
A3,INVAR-16,100,0,0,0,0,0
A3,INVAR-17,100,0,0,0,0,0
A3,INVAR-18,100,0,0,0,0,0
A3,INVAR-19,100,0,0,0,0,0
A3,INVAR-2,100,1,0,0,0,1
A3,INVAR-20,100,0,0,0,0,0
A3,INVAR-21,100,0,0,0,0,0
A3,INVAR-22,100,0,0,0,0,0
A3,INVAR-23,100,0,0,0,0,0
A3,INVAR-24,100,0,0,0,0,0
A3,INVAR-25,100,0,0,0,0,0
A3,INVAR-26,100,2,0,0,0,2
A3,INVAR-27,100,1,0,0,0,1
A3,INVAR-28,100,0,0,0,0,0
A3,INVAR-3,100,0,0,0,0,0
A3,INVAR-4,100,6,0,0,0,6
A3,INVAR-5,100,1,0,0,0,1
A3,INVAR-6,100,1,0,0,0,1
A3,INVAR-7,100,0,0,0,0,0
A3,INVAR-8,100,0,0,0,0,0
A3,INVAR-9,100,0,0,0,0,0
A4,INVAR-1,100,0,0,0,0,0
A4,INVAR-10,100,0,0,0,0,0
A4,INVAR-11,100,0,0,0,0,0
A4,INVAR-12,100,0,0,0,0,0
A4,INVAR-13,100,0,0,0,0,0
A4,INVAR-14,100,0,0,0,0,0
A4,INVAR-15,100,0,0,0,0,0
A4,INVAR-16,100,0,0,0,0,0
A4,INVAR-17,100,0,0,0,0,0
A4,INVAR-18,100,0,0,0,0,0
A4,INVAR-19,100,0,0,0,0,0
A4,INVAR-2,100,0,0,0,0,0
A4,INVAR-20,100,0,0,0,0,0
A4,INVAR-21,100,0,0,0,0,0
A4,INVAR-22,100,0,0,0,0,0
A4,INVAR-23,100,0,0,0,0,0
A4,INVAR-24,100,0,0,0,0,0
A4,INVAR-25,100,0,0,0,0,0
A4,INVAR-26,100,0,0,0,0,0
A4,INVAR-27,100,0,0,0,0,0
A4,INVAR-28,100,0,0,0,0,0
A4,INVAR-3,100,0,0,0,0,0
A4,INVAR-4,100,0,0,0,0,0
A4,INVAR-5,100,0,0,0,0,0
A4,INVAR-6,100,0,0,0,0,0
A4,INVAR-7,100,0,0,0,0,0
A4,INVAR-8,100,0,0,0,0,0
A4,INVAR-9,100,0,0,0,0,0
A5,INVAR-1,100,0,0,0,0,0
A5,INVAR-10,100,0,0,0,0,0
A5,INVAR-11,100,0,0,0,0,0
A5,INVAR-12,100,0,0,0,0,0
A5,INVAR-13,100,0,0,0,0,0
A5,INVAR-14,100,0,0,0,0,0
A5,INVAR-15,100,0,0,0,0,0
A5,INVAR-16,100,0,0,0,0,0
A5,INVAR-17,100,0,0,0,0,0
A5,INVAR-18,100,0,0,0,0,0
A5,INVAR-19,100,0,0,0,0,0
A5,INVAR-2,100,0,0,0,0,0
A5,INVAR-20,100,0,0,0,0,0
A5,INVAR-21,100,0,0,0,0,0
A5,INVAR-22,100,0,0,0,0,0
A5,INVAR-23,100,0,0,0,0,0
A5,INVAR-24,100,0,0,0,0,0
A5,INVAR-25,100,0,0,0,0,0
A5,INVAR-26,100,0,0,0,0,0
A5,INVAR-27,100,0,0,0,0,0
A5,INVAR-28,100,0,0,0,0,0
A5,INVAR-3,100,0,0,0,0,0
A5,INVAR-4,100,0,0,0,0,0
A5,INVAR-5,100,0,0,0,0,0
A5,INVAR-6,100,0,0,0,0,0
A5,INVAR-7,100,0,0,0,0,0
A5,INVAR-8,100,0,0,0,0,0
A5,INVAR-9,100,0,0,0,0,0
A6,INVAR-1,100,90,0,0,0,90
A6,INVAR-10,100,91,0,0,0,91
A6,INVAR-11,100,97,0,0,0,97
A6,INVAR-12,100,97,0,0,0,97
A6,INVAR-13,100,88,0,0,0,88
A6,INVAR-14,100,93,0,0,0,93
A6,INVAR-15,100,98,0,0,0,98
A6,INVAR-16,100,0,0,0,0,0
A6,INVAR-17,100,0,0,0,0,0
