Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y
INVAR-1, Run: 001, P, 34, 3342, 0, 0, 0, 0, 5
INVAR-1, Run: 002, P, 33, 3332, 0, 0, 0, 0, 5
INVAR-1, Run: 003, P, 33, 3404, 0, 0, 0, 0, 5
INVAR-1, Run: 004, P, 33, 3322, 0, 0, 0, 0, 5
INVAR-1, Run: 005, P, 33, 3325, 0, 0, 0, 0, 5
INVAR-1, Run: 006, P, 33, 3202, 0, 0, 0, 0, 5
INVAR-1, Run: 007, P, 34, 3432, 0, 0, 0, 0, 5
INVAR-1, Run: 008, P, 33, 3359, 0, 0, 0, 0, 5
INVAR-1, Run: 009, P, 33, 3253, 0, 0, 0, 0, 5
INVAR-1, Run: 010, P, 33, 3264, 0, 0, 0, 0, 5
INVAR-1, Run: 011, P, 33, 3364, 0, 0, 0, 0, 5
INVAR-1, Run: 012, P, 33, 3397, 0, 0, 0, 0, 5
INVAR-1, Run: 013, P, 33, 3330, 0, 0, 0, 0, 5
INVAR-1, Run: 014, P, 33, 3305, 0, 0, 0, 0, 5
INVAR-1, Run: 015, P, 33, 3329, 0, 0, 0, 0, 5
INVAR-1, Run: 016, P, 34, 3417, 0, 0, 0, 0, 5
INVAR-1, Run: 017, P, 34, 3394, 0, 0, 0, 0, 5
INVAR-1, Run: 018, P, 33, 3344, 0, 0, 0, 0, 5
INVAR-1, Run: 019, P, 33, 3330, 0, 0, 0, 0, 5
INVAR-1, Run: 020, P, 34, 3411, 0, 0, 0, 0, 5
INVAR-1, Run: 021, P, 35, 3478, 0, 0, 0, 0, 5
INVAR-1, Run: 022, P, 33, 3260, 0, 0, 0, 0, 5
INVAR-1, Run: 023, P, 33, 3350, 0, 0, 0, 0, 5
INVAR-1, Run: 024, P, 33, 3397, 0, 0, 0, 0, 5
INVAR-1, Run: 025, P, 33, 3342, 0, 0, 0, 0, 5
INVAR-1, Run: 026, P, 33, 3351, 0, 0, 0, 0, 5
INVAR-1, Run: 027, P, 33, 3236, 0, 0, 0, 0, 5
INVAR-1, Run: 028, P, 33, 3257, 0, 0, 0, 0, 5
INVAR-1, Run: 029, P, 33, 3413, 0, 0, 0, 0, 5
INVAR-1, Run: 030, P, 33, 3378, 0, 0, 0, 0, 5
INVAR-1, Run: 031, P, 33, 3272, 0, 0, 0, 0, 5
INVAR-1, Run: 032, P, 33, 3323, 0, 0, 0, 0, 5
INVAR-1, Run: 033, P, 33, 3372, 0, 0, 0, 0, 5
INVAR-1, Run: 034, P, 33, 3378, 0, 0, 0, 0, 5
INVAR-1, Run: 035, P, 33, 3263, 0, 0, 0, 0, 5
INVAR-1, Run: 036, P, 33, 3295, 0, 0, 0, 0, 5
INVAR-1, Run: 037, P, 34, 3445, 0, 0, 0, 0, 5
INVAR-1, Run: 038, P, 33, 3287, 0, 0, 0, 0, 5
INVAR-1, Run: 039, P, 33, 3367, 0, 0, 0, 0, 5
INVAR-1, Run: 040, P, 34, 3414, 0, 0, 0, 0, 5
INVAR-1, Run: 041, P, 33, 3327, 0, 0, 0, 0, 5
INVAR-1, Run: 042, P, 33, 3549, 0, 0, 0, 0, 5
INVAR-1, Run: 043, P, 34, 3477, 0, 0, 0, 0, 5
INVAR-1, Run: 044, P, 33, 3205, 0, 0, 0, 0, 5
INVAR-1, Run: 045, P, 33, 3282, 0, 0, 0, 0, 5
INVAR-1, Run: 046, P, 33, 3357, 0, 0, 0, 0, 5
INVAR-1, Run: 047, P, 33, 3375, 0, 0, 0, 0, 5
INVAR-1, Run: 048, P, 34, 3438, 0, 0, 0, 0, 5
INVAR-1, Run: 049, P, 33, 3308, 0, 0, 0, 0, 5
INVAR-1, Run: 050, P, 33, 3343, 0, 0, 0, 0, 5
INVAR-1, Run: 051, P, 33, 3302, 0, 0, 0, 0, 5
INVAR-1, Run: 052, P, 34, 3436, 0, 0, 0, 0, 5
INVAR-1, Run: 053, P, 33, 3346, 0, 0, 0, 0, 5
INVAR-1, Run: 054, P, 33, 3296, 0, 0, 0, 0, 5
INVAR-1, Run: 055, P, 33, 3373, 0, 0, 0, 0, 5
INVAR-1, Run: 056, P, 33, 3386, 0, 0, 0, 0, 5
INVAR-1, Run: 057, P, 33, 3424, 0, 0, 0, 0, 5
INVAR-1, Run: 058, P, 33, 3323, 0, 0, 0, 0, 5
INVAR-1, Run: 059, P, 33, 3270, 0, 0, 0, 0, 5
INVAR-1, Run: 060, P, 34, 3326, 0, 0, 0, 0, 5
INVAR-1, Run: 061, P, 33, 3381, 0, 0, 0, 0, 5
INVAR-1, Run: 062, P, 33, 3376, 0, 0, 0, 0, 5
INVAR-1, Run: 063, P, 33, 3445, 0, 0, 0, 0, 5
INVAR-1, Run: 064, P, 33, 3283, 0, 0, 0, 0, 5
INVAR-1, Run: 065, P, 33, 3322, 0, 0, 0, 0, 5
INVAR-1, Run: 066, P, 33, 3337, 0, 0, 0, 0, 5
INVAR-1, Run: 067, P, 33, 3300, 0, 0, 0, 0, 5
