Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
M1,1,100,0,0,0,0,0
M1,10,100,0,0,0,0,0
M1,11,100,0,0,0,0,0
M1,12,100,0,0,0,0,0
M1,13,100,0,0,0,0,0
M1,14,100,0,0,0,0,0
M1,15,100,0,0,0,0,0
M1,2,100,0,0,0,0,0
M1,3,100,0,0,0,0,0
M1,4,100,0,0,0,0,0
M1,5,100,0,0,0,0,0
M1,6,100,0,0,0,0,0
M11,25,100,0,0,0,0,0
M14,1,100,16,0,0,0,16
M14,10,100,33,0,0,0,33
M14,11,100,11,0,0,0,11
M14,12,100,3,0,0,0,3
M14,13,100,44,0,0,0,44
M14,14,100,16,0,0,0,16
M14,15,100,6,0,0,0,6
M14,16,100,0,0,0,0,0
M14,17,100,0,0,0,0,0
M14,18,100,0,0,0,0,0
M14,19,100,44,0,0,0,44
M14,2,100,11,0,0,0,11
M14,20,100,12,0,0,0,12
M14,21,100,8,0,0,0,8
M14,22,100,60,0,0,0,60
M14,23,100,15,0,0,0,15
M14,24,100,7,0,0,0,7
M14,25,100,0,0,0,0,0
M14,26,100,22,0,0,0,22
M14,27,100,4,0,0,0,4
M14,28,100,8,0,0,0,8
M14,3,100,2,0,0,0,2
M14,4,100,23,0,0,0,23
M14,5,100,20,0,0,0,20
M14,6,100,8,0,0,0,8
M14,7,100,0,0,0,0,0
M14,8,100,0,0,0,0,0
M14,9,100,0,0,0,0,0
M15,1,100,20,0,0,0,20
M15,10,100,42,0,0,0,42
M15,11,100,9,0,0,0,9
M15,12,100,6,0,0,0,6
M15,13,100,36,0,0,0,36
M15,14,100,20,0,0,0,20
M15,15,100,9,0,0,0,9
M15,16,100,0,0,0,0,0
M15,17,100,0,0,0,0,0
M15,18,100,0,0,0,0,0
M15,19,100,39,0,0,0,39
M15,2,100,10,0,0,0,10
M15,20,100,15,0,0,0,15
M15,21,100,7,0,0,0,7
M15,22,100,53,0,0,0,53
M15,23,100,7,0,0,0,7
M15,24,100,9,0,0,0,9
M15,25,100,0,0,0,0,0
M15,26,100,31,0,0,0,31
M15,27,100,13,0,0,0,13
M15,28,100,8,0,0,0,8
M15,3,100,8,0,0,0,8
M15,4,100,21,0,0,0,21
M15,5,100,14,0,0,0,14
M15,6,100,4,0,0,0,4
M15,7,100,0,0,0,0,0
M15,8,100,0,0,0,0,0
M15,9,100,0,0,0,0,0
M16,1,100,51,0,0,0,51
M16,10,100,92,0,0,0,92
M16,11,100,51,0,0,0,51
M16,12,100,49,0,0,0,49
M16,13,100,92,0,0,0,92
M16,14,100,61,0,0,0,61
M16,15,100,41,0,0,0,41
M16,16,100,0,0,0,0,0
M16,17,100,0,0,0,0,0
M16,18,100,0,0,0,0,0
M16,19,100,93,0,0,0,93
M16,2,100,56,0,0,0,56
M16,20,100,50,0,0,0,50
M16,21,100,26,0,0,0,26
M16,22,100,89,0,0,0,89
M16,23,100,31,0,0,0,31
M16,24,100,46,0,0,0,46
M16,25,100,0,0,0,0,0
M16,26,100,87,0,0,0,87
M16,27,100,20,0,0,0,20
M16,28,100,42,0,0,0,42
M16,3,100,18,0,0,0,18
M16,4,100,65,0,0,0,65
M16,5,100,34,0,0,0,34
M16,6,100,40,0,0,0,40
M16,7,100,0,0,0,0,0
M16,8,100,0,0,0,0,0
M16,9,100,0,0,0,0,0
M17,1,100,25,0,0,0,25
M17,10,100,44,0,0,0,44
M17,11,100,7,0,0,0,7
M17,12,100,5,0,0,0,5
M17,13,100,44,0,0,0,44
M17,14,100,11,0,0,0,11
M17,15,100,9,0,0,0,9
M17,16,100,0,0,0,0,0
M17,17,100,0,0,0,0,0
M17,18,100,0,0,0,0,0
M17,19,100,49,0,0,0,49
M17,2,100,13,0,0,0,13
M17,20,100,13,0,0,0,13
M17,21,100,6,0,0,0,6
M17,22,100,65,0,0,0,65
M17,23,100,11,0,0,0,11
M17,24,100,11,0,0,0,11
M17,25,100,0,0,0,0,0
M17,26,100,29,0,0,0,29
M17,27,100,11,0,0,0,11
M17,28,100,6,0,0,0,6
M17,3,100,9,0,0,0,9
M17,4,100,16,0,0,0,16
M17,5,100,18,0,0,0,18
M17,6,100,7,0,0,0,7
M17,7,100,0,0,0,0,0
M17,8,100,0,0,0,0,0
M17,9,100,0,0,0,0,0
M18,1,100,7,0,0,0,7
M18,10,100,19,0,0,0,19
M18,11,100,5,0,0,0,5
M18,12,100,4,0,0,0,4
M18,13,100,23,0,0,0,23
M18,14,100,6,0,0,0,6
M18,15,100,1,0,0,0,1
M18,16,100,0,0,0,0,0
M18,17,100,0,0,0,0,0
M18,18,100,0,0,0,0,0
M18,19,100,0,0,0,0,0
M18,2,100,9,0,0,0,9
M18,20,100,0,0,0,0,0
M18,21,100,0,0,0,0,0
M18,22,100,2,0,0,0,2
M18,23,100,0,0,0,0,0
M18,24,100,0,0,0,0,0
M18,25,100,0,0,0,0,0
M18,26,100,12,0,0,0,12
M18,27,100,9,0,0,0,9
M18,28,100,4,0,0,0,4
M18,3,100,4,0,0,0,4
M18,4,100,7,0,0,0,7
M18,5,100,11,0,0,0,11
M18,6,100,2,0,0,0,2
M18,7,100,0,0,0,0,0
M18,8,100,0,0,0,0,0
M18,9,100,0,0,0,0,0
M19,1,100,10,0,0,0,10
M19,10,100,19,0,0,0,19
M19,11,100,3,0,0,0,3
M19,12,100,5,0,0,0,5
M19,13,100,21,0,0,0,21
M19,14,100,6,0,0,0,6
M19,15,100,5,0,0,0,5
M19,16,100,0,0,0,0,0
M19,17,100,0,0,0,0,0
M19,18,100,0,0,0,0,0
M19,19,100,0,0,0,0,0
M19,2,100,7,0,0,0,7
M19,20,100,0,0,0,0,0
M19,21,100,0,0,0,0,0
M19,22,100,3,0,0,0,3
M19,23,100,0,0,0,0,0
M19,24,100,0,0,0,0,0
M19,25,100,0,0,0,0,0
M19,26,100,18,0,0,0,18
M19,27,100,10,0,0,0,10
M19,28,100,5,0,0,0,5
M19,3,100,5,0,0,0,5
M19,4,100,4,0,0,0,4
M19,5,100,10,0,0,0,10
M19,6,100,0,0,0,0,0
M19,7,100,0,0,0,0,0
M19,8,100,0,0,0,0,0
M19,9,100,0,0,0,0,0
M2,19,100,25,0,0,0,25
M2,20,100,7,0,0,0,7
M2,21,100,5,0,0,0,5
M2,22,100,43,0,0,0,43
M2,23,100,4,0,0,0,4
M2,24,100,4,0,0,0,4
M2,25,100,0,0,0,0,0
M20,1,100,5,0,0,0,5
M20,10,100,5,0,0,0,5
M20,11,100,2,0,0,0,2
M20,12,100,3,0,0,0,3
M20,13,100,6,0,0,0,6
M20,14,100,4,0,0,0,4
M20,15,100,2,0,0,0,2
M20,16,100,0,0,0,0,0
M20,17,100,0,0,0,0,0
M20,18,100,0,0,0,0,0
M20,19,100,22,0,0,0,22
M20,2,100,5,0,0,0,5
M20,20,100,7,0,0,0,7
M20,21,100,5,0,0,0,5
M20,22,100,33,0,0,0,33
M20,23,100,4,0,0,0,4
M20,24,100,3,0,0,0,3
M20,25,100,0,0,0,0,0
M20,26,100,8,0,0,0,8
M20,27,100,5,0,0,0,5
M20,28,100,2,0,0,0,2
M20,3,100,2,0,0,0,2
M20,4,100,3,0,0,0,3
M20,5,100,4,0,0,0,4
M20,6,100,4,0,0,0,4
M20,7,100,0,0,0,0,0
M20,8,100,0,0,0,0,0
M20,9,100,0,0,0,0,0
M21,1,100,2,0,0,0,2
M21,10,100,1,0,0,0,1
M21,11,100,7,0,0,0,7
M21,12,100,2,0,0,0,2
M21,13,100,1,0,0,0,1
M21,14,100,5,0,0,0,5
M21,15,100,1,0,0,0,1
M21,16,100,0,0,0,0,0
M21,17,100,0,0,0,0,0
M21,18,100,0,0,0,0,0
M21,19,100,24,0,0,0,24
M21,2,100,6,0,0,0,6
M21,20,100,7,0,0,0,7
M21,21,100,5,0,0,0,5
M21,22,100,36,0,0,0,36
M21,23,100,4,0,0,0,4
M21,24,100,4,0,0,0,4
M21,25,100,0,0,0,0,0
M21,26,100,4,0,0,0,4
M21,27,100,1,0,0,0,1
M21,28,100,3,0,0,0,3
M21,3,100,7,0,0,0,7
M21,4,100,5,0,0,0,5
M21,5,100,0,0,0,0,0
M21,6,100,4,0,0,0,4
M21,7,100,0,0,0,0,0
M21,8,100,0,0,0,0,0
M21,9,100,0,0,0,0,0
M3,16,100,0,0,0,0,0
M3,17,100,0,0,0,0,0
M3,18,100,0,0,0,0,0
M3,7,100,0,0,0,0,0
M3,8,100,0,0,0,0,0
M3,9,100,0,0,0,0,0
M4,1,100,0,0,0,0,0
M4,10,100,0,0,0,0,0
M4,11,100,0,0,0,0,0
M4,12,100,0,0,0,0,0
M4,13,100,0,0,0,0,0
M4,14,100,0,0,0,0,0
M4,15,100,0,0,0,0,0
M4,2,100,0,0,0,0,0
M4,3,100,0,0,0,0,0
M4,4,100,0,0,0,0,0
M4,5,100,0,0,0,0,0
M4,6,100,0,0,0,0,0
