Input Number, Run_Number, Result@ 100, A1, Y, F1P, F1, A2, F2, F2P
16, Run: 001, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 002, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 003, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 004, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 005, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 006, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 007, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 008, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 009, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 010, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 011, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 012, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 013, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 014, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 015, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 016, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 017, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 018, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 019, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 020, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 021, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 022, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 023, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 024, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 025, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 026, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 027, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 028, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 029, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 030, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 031, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 032, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 033, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 034, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 035, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 036, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 037, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 038, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 039, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 040, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 041, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 042, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 043, P, 35, 0, 0, 5, 0, 5, 0
