Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A1,INVAR-1,100,100,0,0,0,100
A10,INVAR-1,100,100,0,0,0,100
A11,INVAR-1,100,100,0,0,0,100
A12,INVAR-1,100,0,0,0,0,0
A13,INVAR-1,100,100,0,0,0,100
A14,INVAR-1,100,100,0,0,0,100
A15,INVAR-1,100,0,0,0,0,0
A16,INVAR-1,100,100,0,0,0,100
A17,INVAR-1,100,0,0,0,0,0
A18,INVAR-1,100,0,0,0,0,0
A19,INVAR-1,100,100,0,0,0,100
A2,INVAR-1,100,0,0,0,0,0
A20,INVAR-1,100,0,0,0,0,0
A21,INVAR-1,100,100,0,0,0,100
A22,INVAR-1,100,0,0,0,0,0
A23,INVAR-1,100,0,0,0,0,0
A24,INVAR-1,100,0,0,0,0,0
A25,INVAR-1,100,0,0,0,0,0
A26,INVAR-1,100,0,0,0,0,0
A27,INVAR-1,100,0,0,0,0,0
A28,INVAR-1,100,0,0,0,0,0
A29,INVAR-1,100,0,0,0,0,0
A3,INVAR-1,100,100,0,0,0,100
A30,INVAR-1,100,0,0,0,0,0
A31,INVAR-1,100,100,0,0,0,100
A32,INVAR-1,100,0,0,0,0,0
A33,INVAR-1,100,0,0,0,0,0
A34,INVAR-1,100,0,0,0,0,0
A35,INVAR-1,100,0,0,0,0,0
A36,INVAR-1,100,0,0,0,0,0
A37,INVAR-1,100,0,0,0,0,0
A38,INVAR-1,100,0,0,0,0,0
A39,INVAR-1,100,0,0,0,0,0
A4,INVAR-1,100,0,0,0,0,0
A40,INVAR-1,100,0,0,0,0,0
A41,INVAR-1,100,0,0,0,0,0
A42,INVAR-1,100,0,0,0,0,0
A43,INVAR-1,100,0,0,0,0,0
A44,INVAR-1,100,0,0,0,0,0
A45,INVAR-1,100,0,0,0,0,0
A46,INVAR-1,100,100,0,0,0,100
A47,INVAR-1,100,0,0,0,0,0
A48,INVAR-1,100,100,0,0,0,100
A49,INVAR-1,100,0,0,0,0,0
A5,INVAR-1,100,100,0,0,0,100
A50,INVAR-1,100,0,0,0,0,0
A51,INVAR-1,100,0,0,0,0,0
A52,INVAR-1,100,0,0,0,0,0
A53,INVAR-1,100,0,0,0,0,0
A54,INVAR-1,100,0,0,0,0,0
A55,INVAR-1,100,0,0,0,0,0
A56,INVAR-1,100,0,0,0,0,0
A57,INVAR-1,100,0,0,0,0,0
A58,INVAR-1,100,0,0,0,0,0
A59,INVAR-1,100,0,0,0,0,0
A6,INVAR-1,100,100,0,0,0,100
A60,INVAR-1,100,0,0,0,0,0
A61,INVAR-1,100,0,0,0,0,0
A62,INVAR-1,100,0,0,0,0,0
A63,INVAR-1,100,0,0,0,0,0
A64,INVAR-1,100,0,0,0,0,0
A65,INVAR-1,100,0,0,0,0,0
A66,INVAR-1,100,0,0,0,0,0
A67,INVAR-1,100,0,0,0,0,0
A68,INVAR-1,100,0,0,0,0,0
A69,INVAR-1,100,0,0,0,0,0
A7,INVAR-1,100,0,0,0,0,0
A70,INVAR-1,100,0,0,0,0,0
A8,INVAR-1,100,0,0,0,0,0
A9,INVAR-1,100,100,0,0,0,100
