Input Number, Run_Number, Result@ 100, cpd00089_c0_, cpd00290_c0_, cpd00079_c0_, cpd00008_c0_, cpd00061_c0_, cpd00067_c0_, cpd00002_c0_, cpd00020_c0_, cpd00009_c0_, cpd00022_c0_, cpd00010_c0_, cpd00029_c0_, cpd00169_c0_, cpd11620_c0_, cpd00001_c0_, cpd00102_c0_, cpd11621_c0_, cpd00072_c0_, cpd00095_c0_, cpd00003_c0_, cpd00004_c0_, cpd00203_c0_, cpd00482_c0_, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 4, 46, 46, 0, 23, 23, 0, 0, 0, 27, 0, 23, 23, 46, 0, 0, 0
INVAR-1, Run: 002, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 2, 0, 24, 0, 0, 50, 50, 0, 26, 26, 0, 0, 0, 24, 0, 26, 26, 50, 0, 0, 0
INVAR-1, Run: 003, F, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 4, 46, 46, 0, 23, 23, 0, 0, 0, 27, 0, 23, 23, 46, 0, 0, 0
INVAR-1, Run: 004, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 50, 0, 25, 25, 0, 0, 0, 25, 0, 25, 25, 50, 0, 0, 0
INVAR-1, Run: 005, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 4, 0, 23, 0, 0, 50, 50, 0, 27, 27, 0, 0, 0, 23, 0, 27, 27, 50, 0, 0, 0
INVAR-1, Run: 006, F, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 4, 46, 46, 0, 23, 23, 0, 0, 0, 27, 0, 23, 23, 46, 0, 0, 0
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 4, 46, 46, 0, 23, 23, 0, 0, 0, 27, 0, 23, 23, 46, 0, 0, 0
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 4, 46, 46, 0, 23, 23, 0, 0, 0, 27, 0, 23, 23, 46, 0, 0, 0
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 44, 0, 0, 6, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 6, 44, 44, 0, 22, 22, 0, 0, 0, 28, 0, 22, 22, 44, 0, 0, 0
INVAR-1, Run: 010, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 4, 0, 23, 0, 0, 50, 50, 0, 27, 27, 0, 0, 0, 23, 0, 27, 27, 50, 0, 0, 0
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 44, 0, 0, 6, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 6, 44, 44, 0, 22, 22, 0, 0, 0, 28, 0, 22, 22, 44, 0, 0, 0
INVAR-1, Run: 012, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 50, 0, 25, 25, 0, 0, 0, 25, 0, 25, 25, 50, 0, 0, 0
INVAR-1, Run: 013, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 6, 0, 22, 0, 0, 50, 50, 0, 28, 28, 0, 0, 0, 22, 0, 28, 28, 50, 0, 0, 0
INVAR-1, Run: 014, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 8, 0, 21, 0, 0, 50, 50, 0, 29, 29, 0, 0, 0, 21, 0, 29, 29, 50, 0, 0, 0
INVAR-1, Run: 015, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 8, 0, 21, 0, 0, 50, 50, 0, 29, 29, 0, 0, 0, 21, 0, 29, 29, 50, 0, 0, 0
INVAR-1, Run: 016, F, 0, 0, 0, 0, 0, 44, 0, 0, 6, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 6, 44, 44, 0, 22, 22, 0, 0, 0, 28, 0, 22, 22, 44, 0, 0, 0
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 48, 0, 0, 2, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 2, 48, 48, 0, 24, 24, 0, 0, 0, 26, 0, 24, 24, 48, 0, 0, 0
INVAR-1, Run: 018, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 4, 0, 23, 0, 0, 50, 50, 0, 27, 27, 0, 0, 0, 23, 0, 27, 27, 50, 0, 0, 0
INVAR-1, Run: 019, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 12, 0, 19, 0, 0, 50, 50, 0, 31, 31, 0, 0, 0, 19, 0, 31, 31, 50, 0, 0, 0
INVAR-1, Run: 020, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 6, 0, 22, 0, 0, 50, 50, 0, 28, 28, 0, 0, 0, 22, 0, 28, 28, 50, 0, 0, 0
INVAR-1, Run: 021, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 6, 0, 22, 0, 0, 50, 50, 0, 28, 28, 0, 0, 0, 22, 0, 28, 28, 50, 0, 0, 0
INVAR-1, Run: 022, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 6, 0, 22, 0, 0, 50, 50, 0, 28, 28, 0, 0, 0, 22, 0, 28, 28, 50, 0, 0, 0
INVAR-1, Run: 023, F, 0, 0, 0, 0, 0, 44, 0, 0, 6, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 6, 44, 44, 0, 22, 22, 0, 0, 0, 28, 0, 22, 22, 44, 0, 0, 0
INVAR-1, Run: 024, F, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 4, 46, 46, 0, 23, 23, 0, 0, 0, 27, 0, 23, 23, 46, 0, 0, 0
INVAR-1, Run: 025, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 2, 0, 24, 0, 0, 50, 50, 0, 26, 26, 0, 0, 0, 24, 0, 26, 26, 50, 0, 0, 0
INVAR-1, Run: 026, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 4, 0, 23, 0, 0, 50, 50, 0, 27, 27, 0, 0, 0, 23, 0, 27, 27, 50, 0, 0, 0
INVAR-1, Run: 027, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 10, 0, 20, 0, 0, 50, 50, 0, 30, 30, 0, 0, 0, 20, 0, 30, 30, 50, 0, 0, 0
INVAR-1, Run: 028, F, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 4, 46, 46, 0, 23, 23, 0, 0, 0, 27, 0, 23, 23, 46, 0, 0, 0
INVAR-1, Run: 029, F, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 4, 46, 46, 0, 23, 23, 0, 0, 0, 27, 0, 23, 23, 46, 0, 0, 0
INVAR-1, Run: 030, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 8, 0, 21, 0, 0, 50, 50, 0, 29, 29, 0, 0, 0, 21, 0, 29, 29, 50, 0, 0, 0
INVAR-1, Run: 031, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 6, 0, 22, 0, 0, 50, 50, 0, 28, 28, 0, 0, 0, 22, 0, 28, 28, 50, 0, 0, 0
INVAR-1, Run: 032, F, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 4, 46, 46, 0, 23, 23, 0, 0, 0, 27, 0, 23, 23, 46, 0, 0, 0
INVAR-1, Run: 033, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 14, 0, 18, 0, 0, 50, 50, 0, 32, 32, 0, 0, 0, 18, 0, 32, 32, 50, 0, 0, 0
INVAR-1, Run: 034, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 50, 0, 25, 25, 0, 0, 0, 25, 0, 25, 25, 50, 0, 0, 0
INVAR-1, Run: 035, F, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 4, 46, 46, 0, 23, 23, 0, 0, 0, 27, 0, 23, 23, 46, 0, 0, 0
INVAR-1, Run: 036, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 50, 0, 25, 25, 0, 0, 0, 25, 0, 25, 25, 50, 0, 0, 0
INVAR-1, Run: 037, F, 0, 0, 0, 0, 0, 44, 0, 0, 6, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 6, 44, 44, 0, 22, 22, 0, 0, 0, 28, 0, 22, 22, 44, 0, 0, 0
INVAR-1, Run: 038, F, 0, 0, 0, 0, 0, 42, 0, 0, 8, 50, 0, 0, 0, 50, 0, 0, 0, 29, 0, 8, 42, 42, 0, 21, 21, 0, 0, 0, 29, 0, 21, 21, 42, 0, 0, 0
INVAR-1, Run: 039, F, 0, 0, 0, 0, 0, 48, 0, 0, 2, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 2, 48, 48, 0, 24, 24, 0, 0, 0, 26, 0, 24, 24, 48, 0, 0, 0
INVAR-1, Run: 040, F, 0, 0, 0, 0, 0, 48, 0, 0, 2, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 2, 48, 48, 0, 24, 24, 0, 0, 0, 26, 0, 24, 24, 48, 0, 0, 0
INVAR-1, Run: 041, F, 0, 0, 0, 0, 0, 44, 0, 0, 6, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 6, 44, 44, 0, 22, 22, 0, 0, 0, 28, 0, 22, 22, 44, 0, 0, 0
INVAR-1, Run: 042, F, 0, 0, 0, 0, 0, 48, 0, 0, 2, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 2, 48, 48, 0, 24, 24, 0, 0, 0, 26, 0, 24, 24, 48, 0, 0, 0
INVAR-1, Run: 043, F, 0, 0, 0, 0, 0, 48, 0, 0, 2, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 2, 48, 48, 0, 24, 24, 0, 0, 0, 26, 0, 24, 24, 48, 0, 0, 0
INVAR-1, Run: 044, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 6, 0, 22, 0, 0, 50, 50, 0, 28, 28, 0, 0, 0, 22, 0, 28, 28, 50, 0, 0, 0
INVAR-1, Run: 045, F, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 50, 0, 25, 25, 0, 0, 0, 25, 0, 25, 25, 50, 0, 0, 0
INVAR-1, Run: 046, F, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 4, 46, 46, 0, 23, 23, 0, 0, 0, 27, 0, 23, 23, 46, 0, 0, 0
