Input Number, Run_Number, Result@ 100, X1, H, M, PE, PO, CE, Y, D, CO, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 30, 188, 9, 15, 11, 9, 18, 27, 39, 188
INVAR-1, Run: 002, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 28, 168, 9, 17, 9, 9, 18, 27, 37, 168
INVAR-1, Run: 003, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 20, 48, 9, 13, 13, 9, 18, 27, 29, 48
INVAR-1, Run: 004, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 26, 135, 9, 10, 16, 9, 18, 27, 35, 135
INVAR-1, Run: 005, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 22, 138, 9, 12, 14, 9, 18, 27, 31, 138
INVAR-1, Run: 006, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 23, 93, 9, 18, 8, 9, 18, 27, 32, 93
INVAR-1, Run: 007, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 23, 135, 9, 14, 12, 9, 18, 27, 32, 135
INVAR-1, Run: 008, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 9, 116, 9, 13, 13, 9, 18, 27, 18, 116
INVAR-1, Run: 009, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 35, 129, 9, 11, 15, 9, 18, 27, 44, 129
INVAR-1, Run: 010, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 33, 118, 9, 12, 14, 9, 18, 27, 42, 118
INVAR-1, Run: 011, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 27, 123, 9, 12, 14, 9, 18, 27, 36, 123
INVAR-1, Run: 012, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 24, 64, 9, 15, 11, 9, 18, 27, 33, 64
INVAR-1, Run: 013, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 31, 111, 9, 12, 14, 9, 18, 27, 40, 111
INVAR-1, Run: 014, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 28, 205, 9, 13, 13, 9, 18, 27, 37, 205
INVAR-1, Run: 015, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 19, 95, 9, 14, 12, 9, 18, 27, 28, 95
INVAR-1, Run: 016, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 16, 127, 9, 10, 16, 9, 18, 27, 25, 127
INVAR-1, Run: 017, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 22, 72, 9, 9, 17, 9, 18, 27, 31, 72
INVAR-1, Run: 018, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 12, 94, 9, 11, 15, 9, 18, 27, 21, 94
INVAR-1, Run: 019, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 15, 72, 9, 14, 12, 9, 18, 27, 24, 72
INVAR-1, Run: 020, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 21, 76, 9, 11, 15, 9, 18, 27, 30, 76
INVAR-1, Run: 021, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 17, 74, 9, 12, 14, 9, 18, 27, 26, 74
INVAR-1, Run: 022, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 24, 131, 9, 12, 14, 9, 18, 27, 33, 131
INVAR-1, Run: 023, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 35, 175, 9, 15, 11, 9, 18, 27, 44, 175
INVAR-1, Run: 024, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 15, 45, 9, 11, 15, 9, 18, 27, 24, 45
INVAR-1, Run: 025, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 21, 85, 9, 10, 16, 9, 18, 27, 30, 85
INVAR-1, Run: 026, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 27, 141, 9, 10, 16, 9, 18, 27, 36, 141
INVAR-1, Run: 027, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 33, 131, 9, 10, 16, 9, 18, 27, 42, 131
INVAR-1, Run: 028, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 21, 195, 9, 14, 12, 9, 18, 27, 30, 195
INVAR-1, Run: 029, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 22, 85, 9, 10, 16, 9, 18, 27, 31, 85
INVAR-1, Run: 030, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 23, 102, 9, 13, 13, 9, 18, 27, 32, 102
INVAR-1, Run: 031, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 13, 15, 9, 4, 22, 9, 18, 27, 22, 15
INVAR-1, Run: 032, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 21, 134, 9, 9, 17, 9, 18, 27, 30, 134
INVAR-1, Run: 033, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 21, 143, 9, 19, 7, 9, 18, 27, 30, 143
INVAR-1, Run: 034, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 31, 136, 9, 11, 15, 9, 18, 27, 40, 136
INVAR-1, Run: 035, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 25, 166, 9, 13, 13, 9, 18, 27, 34, 166
INVAR-1, Run: 036, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 45, 250, 9, 15, 11, 9, 18, 27, 54, 250
INVAR-1, Run: 037, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 14, 62, 9, 7, 19, 9, 18, 27, 23, 62
INVAR-1, Run: 038, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 22, 67, 9, 10, 16, 9, 18, 27, 31, 67
INVAR-1, Run: 039, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 17, 73, 9, 15, 11, 9, 18, 27, 26, 73
INVAR-1, Run: 040, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 16, 38, 9, 6, 20, 9, 18, 27, 25, 38
INVAR-1, Run: 041, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 29, 111, 9, 17, 9, 9, 18, 27, 38, 111
INVAR-1, Run: 042, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 29, 120, 9, 14, 12, 9, 18, 27, 38, 120
INVAR-1, Run: 043, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 28, 88, 9, 8, 18, 9, 18, 27, 37, 88
INVAR-1, Run: 044, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 39, 150, 9, 12, 14, 9, 18, 27, 48, 150
INVAR-1, Run: 045, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 15, 157, 9, 11, 15, 9, 18, 27, 24, 157
INVAR-1, Run: 046, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 18, 103, 9, 14, 12, 9, 18, 27, 27, 103
INVAR-1, Run: 047, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 29, 94, 9, 16, 10, 9, 18, 27, 38, 94
INVAR-1, Run: 048, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 20, 89, 9, 14, 12, 9, 18, 27, 29, 89
INVAR-1, Run: 049, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 33, 129, 9, 12, 14, 9, 18, 27, 42, 129
INVAR-1, Run: 050, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 19, 78, 9, 20, 6, 9, 18, 27, 28, 78
INVAR-1, Run: 051, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 38, 277, 9, 16, 10, 9, 18, 27, 47, 277
INVAR-1, Run: 052, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 47, 190, 9, 15, 11, 9, 18, 27, 56, 190
INVAR-1, Run: 053, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 40, 133, 9, 7, 19, 9, 18, 27, 49, 133
INVAR-1, Run: 054, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 22, 111, 9, 9, 17, 9, 18, 27, 31, 111
INVAR-1, Run: 055, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 18, 49, 9, 12, 14, 9, 18, 27, 27, 49
INVAR-1, Run: 056, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 13, 29, 9, 13, 13, 9, 18, 27, 22, 29
INVAR-1, Run: 057, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 20, 167, 9, 16, 10, 9, 18, 27, 29, 167
INVAR-1, Run: 058, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 23, 54, 9, 6, 20, 9, 18, 27, 32, 54
INVAR-1, Run: 059, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 31, 111, 9, 16, 10, 9, 18, 27, 40, 111
INVAR-1, Run: 060, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 27, 161, 9, 10, 16, 9, 18, 27, 36, 161
INVAR-1, Run: 061, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 31, 116, 9, 14, 12, 9, 18, 27, 40, 116
INVAR-1, Run: 062, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 13, 96, 9, 14, 12, 9, 18, 27, 22, 96
INVAR-1, Run: 063, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 27, 152, 9, 14, 12, 9, 18, 27, 36, 152
INVAR-1, Run: 064, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 17, 154, 9, 11, 15, 9, 18, 27, 26, 154
INVAR-1, Run: 065, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 22, 102, 9, 12, 14, 9, 18, 27, 31, 102
INVAR-1, Run: 066, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 25, 139, 9, 11, 15, 9, 18, 27, 34, 139
INVAR-1, Run: 067, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 18, 64, 9, 10, 16, 9, 18, 27, 27, 64
INVAR-1, Run: 068, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 28, 168, 9, 14, 12, 9, 18, 27, 37, 168
INVAR-1, Run: 069, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 29, 153, 9, 10, 16, 9, 18, 27, 38, 153
INVAR-1, Run: 070, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 22, 85, 9, 13, 13, 9, 18, 27, 31, 85
INVAR-1, Run: 071, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 29, 81, 9, 15, 11, 9, 18, 27, 38, 81
INVAR-1, Run: 072, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 23, 61, 9, 12, 14, 9, 18, 27, 32, 61
INVAR-1, Run: 073, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 17, 87, 9, 12, 14, 9, 18, 27, 26, 87
INVAR-1, Run: 074, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 30, 134, 9, 14, 12, 9, 18, 27, 39, 134
INVAR-1, Run: 075, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 23, 74, 9, 9, 17, 9, 18, 27, 32, 74
INVAR-1, Run: 076, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 35, 251, 9, 12, 14, 9, 18, 27, 44, 251
INVAR-1, Run: 077, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 24, 78, 9, 7, 19, 9, 18, 27, 33, 78
INVAR-1, Run: 078, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 19, 121, 9, 14, 12, 9, 18, 27, 28, 121
INVAR-1, Run: 079, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 15, 55, 9, 12, 14, 9, 18, 27, 24, 55
INVAR-1, Run: 080, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 19, 101, 9, 16, 10, 9, 18, 27, 28, 101
INVAR-1, Run: 081, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 42, 173, 9, 14, 12, 9, 18, 27, 51, 173
INVAR-1, Run: 082, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 15, 40, 9, 10, 16, 9, 18, 27, 24, 40
INVAR-1, Run: 083, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 29, 142, 9, 14, 12, 9, 18, 27, 38, 142
INVAR-1, Run: 084, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 28, 150, 9, 11, 15, 9, 18, 27, 37, 150
