Input Number, Run_Number, Result@ 100, H, B, PE, X1, M, PO, CE, Y, D, CO, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 11, 76, 9, 7, 7, 6, 18, 30, 17, 76
INVAR-1, Run: 002, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 17, 99, 9, 6, 6, 7, 18, 29, 24, 99
INVAR-1, Run: 003, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 11, 125, 9, 10, 6, 5, 18, 31, 16, 125
INVAR-1, Run: 004, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 26, 193, 9, 9, 3, 7, 18, 29, 33, 193
INVAR-1, Run: 005, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 19, 114, 9, 9, 5, 6, 18, 30, 25, 114
INVAR-1, Run: 006, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 7, 20, 9, 4, 8, 7, 18, 29, 14, 20
INVAR-1, Run: 007, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 18, 134, 9, 7, 7, 6, 18, 30, 24, 134
INVAR-1, Run: 008, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 27, 125, 9, 4, 6, 8, 18, 28, 35, 125
INVAR-1, Run: 009, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 28, 110, 9, 9, 3, 7, 18, 29, 35, 110
INVAR-1, Run: 010, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 3, 45, 9, 9, 5, 6, 18, 30, 9, 45
INVAR-1, Run: 011, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 20, 161, 9, 9, 3, 7, 18, 29, 27, 161
INVAR-1, Run: 012, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 11, 96, 9, 5, 9, 6, 18, 30, 17, 96
INVAR-1, Run: 013, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 21, 100, 9, 5, 7, 7, 18, 29, 28, 100
INVAR-1, Run: 014, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 18, 183, 9, 7, 7, 6, 18, 30, 24, 183
INVAR-1, Run: 015, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 17, 83, 9, 7, 7, 6, 18, 30, 23, 83
