Input Number, Run_Number, Result@ 100, H, X1, M, PO, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 6, 71, 9, 4, 4, 8, 18, 27, 14, 71
INVAR-1, Run: 002, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 8, 43, 9, 4, 4, 7, 18, 27, 15, 43
INVAR-1, Run: 003, P, 0, 0, 0, 0, 4, 4, 0, 0, 1, 54, 0, 10, 18, 6, 106, 9, 8, 0, 4, 18, 27, 10, 106
INVAR-1, Run: 004, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 6, 81, 9, 5, 3, 7, 18, 27, 13, 81
INVAR-1, Run: 005, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 4, 80, 9, 7, 1, 6, 18, 27, 10, 80
INVAR-1, Run: 006, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 9, 61, 9, 0, 8, 5, 18, 27, 14, 61
INVAR-1, Run: 007, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 5, 48, 9, 5, 3, 6, 18, 27, 11, 48
INVAR-1, Run: 008, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 38, 232, 9, 7, 1, 7, 18, 27, 45, 232
INVAR-1, Run: 009, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 3, 48, 9, 7, 1, 7, 18, 27, 10, 48
INVAR-1, Run: 010, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 18, 96, 9, 3, 5, 7, 18, 27, 25, 96
INVAR-1, Run: 011, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 8, 69, 9, 6, 2, 7, 18, 27, 15, 69
INVAR-1, Run: 012, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 9, 104, 9, 6, 2, 6, 18, 27, 15, 104
INVAR-1, Run: 013, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 17, 137, 9, 5, 3, 6, 18, 27, 23, 137
INVAR-1, Run: 014, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 10, 223, 9, 7, 1, 6, 18, 27, 16, 223
INVAR-1, Run: 015, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 20, 156, 9, 5, 3, 8, 18, 27, 28, 156
INVAR-1, Run: 016, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 9, 124, 9, 6, 2, 5, 18, 27, 14, 124
INVAR-1, Run: 017, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 10, 56, 9, 5, 3, 7, 18, 27, 17, 56
INVAR-1, Run: 018, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 12, 75, 9, 7, 1, 7, 18, 27, 19, 75
INVAR-1, Run: 019, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 13, 104, 9, 7, 1, 6, 18, 27, 19, 104
INVAR-1, Run: 020, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 12, 69, 9, 8, 0, 8, 18, 27, 20, 69
INVAR-1, Run: 021, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 12, 157, 9, 5, 3, 6, 18, 27, 18, 157
INVAR-1, Run: 022, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 20, 153, 9, 6, 2, 7, 18, 27, 27, 153
