Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 43, 29, 9, 4, 4, 9, 18, 27, 69, 46
INVAR-1, Run: 002, F, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0, 15, 18, 31, 27, 9, 4, 4, 9, 18, 27, 55, 42
INVAR-1, Run: 003, F, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0, 13, 18, 12, 15, 9, 6, 2, 9, 18, 27, 34, 28
INVAR-1, Run: 004, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 35, 24, 9, 6, 2, 9, 18, 27, 67, 47
INVAR-1, Run: 005, F, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0, 18, 18, 46, 20, 9, 4, 4, 9, 18, 27, 73, 38
INVAR-1, Run: 006, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 44, 18, 9, 3, 5, 9, 18, 27, 78, 43
INVAR-1, Run: 007, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 33, 21, 9, 5, 3, 9, 18, 27, 59, 38
INVAR-1, Run: 008, F, 22, 0, 0, 0, 0, 0, 0, 25, 41, 1, 0, 16, 18, 19, 15, 9, 8, 0, 9, 18, 27, 44, 31
INVAR-1, Run: 009, F, 30, 0, 0, 0, 0, 0, 0, 21, 33, 1, 0, 12, 18, 32, 22, 9, 6, 2, 9, 18, 27, 53, 34
INVAR-1, Run: 010, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 22, 15, 9, 3, 5, 9, 18, 27, 48, 32
INVAR-1, Run: 011, F, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0, 13, 18, 28, 15, 9, 5, 3, 9, 18, 27, 50, 28
INVAR-1, Run: 012, F, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0, 13, 18, 15, 16, 9, 5, 3, 9, 18, 27, 37, 29
INVAR-1, Run: 013, F, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0, 20, 18, 31, 23, 9, 4, 4, 9, 18, 27, 60, 43
INVAR-1, Run: 014, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 18, 26, 9, 4, 4, 9, 18, 27, 49, 48
INVAR-1, Run: 015, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 81, 25, 9, 6, 2, 9, 18, 27, 111, 46
INVAR-1, Run: 016, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 26, 11, 9, 7, 1, 9, 18, 27, 60, 36
INVAR-1, Run: 017, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0, 14, 18, 22, 12, 9, 6, 2, 9, 18, 27, 45, 26
INVAR-1, Run: 018, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 36, 23, 9, 5, 3, 9, 18, 27, 66, 44
INVAR-1, Run: 019, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 22, 16, 9, 5, 3, 9, 18, 27, 48, 33
INVAR-1, Run: 020, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 29, 28, 9, 5, 3, 9, 18, 27, 62, 52
INVAR-1, Run: 021, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 38, 32, 9, 5, 3, 9, 18, 27, 70, 55
INVAR-1, Run: 022, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0, 14, 18, 38, 18, 9, 4, 4, 9, 18, 27, 61, 32
INVAR-1, Run: 023, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0, 14, 18, 12, 13, 9, 7, 1, 9, 18, 27, 35, 27
INVAR-1, Run: 024, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 30, 16, 9, 5, 3, 9, 18, 27, 58, 35
INVAR-1, Run: 025, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0, 26, 18, 23, 27, 9, 5, 3, 9, 18, 27, 58, 53
INVAR-1, Run: 026, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 16, 9, 9, 7, 1, 9, 18, 27, 49, 33
INVAR-1, Run: 027, F, 34, 0, 0, 0, 0, 0, 0, 19, 29, 1, 0, 10, 18, 31, 17, 9, 5, 3, 9, 18, 27, 50, 27
INVAR-1, Run: 028, F, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0, 18, 18, 67, 20, 9, 5, 3, 9, 18, 27, 94, 38
INVAR-1, Run: 029, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 70, 23, 9, 4, 4, 9, 18, 27, 103, 47
INVAR-1, Run: 030, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 43, 16, 9, 1, 7, 9, 18, 27, 77, 41
INVAR-1, Run: 031, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 31, 14, 9, 5, 3, 9, 18, 27, 57, 31
INVAR-1, Run: 032, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 47, 14, 9, 2, 6, 9, 18, 27, 73, 31
INVAR-1, Run: 033, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 27, 12, 9, 8, 0, 9, 18, 27, 60, 36
INVAR-1, Run: 034, F, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0, 15, 18, 33, 27, 9, 6, 2, 9, 18, 27, 57, 42
INVAR-1, Run: 035, F, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0, 18, 18, 43, 31, 9, 7, 1, 9, 18, 27, 70, 49
INVAR-1, Run: 036, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 42, 20, 9, 6, 2, 9, 18, 27, 72, 41
INVAR-1, Run: 037, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 62, 20, 9, 4, 4, 9, 18, 27, 96, 45
INVAR-1, Run: 038, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 49, 24, 9, 4, 4, 9, 18, 27, 79, 45
INVAR-1, Run: 039, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0, 14, 18, 27, 19, 9, 4, 4, 9, 18, 27, 50, 33
INVAR-1, Run: 040, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 43, 15, 9, 5, 3, 9, 18, 27, 75, 38
INVAR-1, Run: 041, F, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0, 20, 18, 18, 15, 9, 4, 4, 9, 18, 27, 47, 35
INVAR-1, Run: 042, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 52, 15, 9, 5, 3, 9, 18, 27, 85, 39
INVAR-1, Run: 043, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 59, 32, 9, 5, 3, 9, 18, 27, 93, 57
INVAR-1, Run: 044, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 75, 24, 9, 6, 2, 9, 18, 27, 105, 45
INVAR-1, Run: 045, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 28, 9, 9, 8, 0, 9, 18, 27, 60, 32
INVAR-1, Run: 046, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 53, 29, 9, 4, 4, 9, 18, 27, 87, 54
INVAR-1, Run: 047, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0, 26, 18, 53, 17, 9, 8, 0, 9, 18, 27, 88, 43
INVAR-1, Run: 048, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 86, 25, 9, 5, 3, 9, 18, 27, 114, 44
INVAR-1, Run: 049, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 48, 20, 9, 6, 2, 9, 18, 27, 82, 45
INVAR-1, Run: 050, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 26, 17, 9, 5, 3, 9, 18, 27, 59, 41
INVAR-1, Run: 051, F, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0, 13, 18, 18, 7, 9, 6, 2, 9, 18, 27, 40, 20
INVAR-1, Run: 052, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 75, 12, 9, 7, 1, 9, 18, 27, 106, 34
INVAR-1, Run: 053, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 33, 27, 9, 6, 2, 9, 18, 27, 63, 48
INVAR-1, Run: 054, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 19, 14, 9, 6, 2, 9, 18, 27, 45, 31
INVAR-1, Run: 055, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 53, 44, 9, 6, 2, 9, 18, 27, 84, 66
INVAR-1, Run: 056, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 61, 37, 9, 8, 0, 9, 18, 27, 91, 58
INVAR-1, Run: 057, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 25, 10, 9, 5, 3, 9, 18, 27, 53, 29
INVAR-1, Run: 058, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 33, 22, 9, 7, 1, 9, 18, 27, 63, 43
INVAR-1, Run: 059, F, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0, 15, 18, 32, 14, 9, 6, 2, 9, 18, 27, 56, 29
INVAR-1, Run: 060, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 37, 25, 9, 8, 0, 9, 18, 27, 71, 50
INVAR-1, Run: 061, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 54, 26, 9, 4, 4, 9, 18, 27, 80, 43
INVAR-1, Run: 062, F, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0, 13, 18, 19, 14, 9, 5, 3, 9, 18, 27, 41, 27
INVAR-1, Run: 063, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 121, 34, 9, 5, 3, 9, 18, 27, 154, 58
INVAR-1, Run: 064, F, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0, 15, 18, 42, 18, 9, 4, 4, 9, 18, 27, 66, 33
INVAR-1, Run: 065, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 43, 22, 9, 5, 3, 9, 18, 27, 76, 46
INVAR-1, Run: 066, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 53, 23, 9, 6, 2, 9, 18, 27, 81, 42
INVAR-1, Run: 067, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 67, 28, 9, 6, 2, 9, 18, 27, 100, 52
INVAR-1, Run: 068, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 47, 17, 9, 6, 2, 9, 18, 27, 79, 40
INVAR-1, Run: 069, F, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0, 15, 18, 32, 13, 9, 4, 4, 9, 18, 27, 56, 28
INVAR-1, Run: 070, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 66, 38, 9, 6, 2, 9, 18, 27, 98, 61
INVAR-1, Run: 071, F, 0, 0, 0, 0, 0, 0, 0, 36, 63, 1, 0, 27, 18, 25, 18, 9, 7, 1, 9, 18, 27, 61, 45
INVAR-1, Run: 072, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0, 14, 18, 30, 19, 9, 4, 4, 9, 18, 27, 53, 33
INVAR-1, Run: 073, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 47, 27, 9, 4, 4, 9, 18, 27, 78, 49
INVAR-1, Run: 074, F, 38, 0, 0, 0, 0, 0, 0, 17, 25, 1, 0, 8, 18, 8, 15, 9, 5, 3, 9, 18, 27, 25, 23
INVAR-1, Run: 075, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 19, 17, 9, 8, 0, 9, 18, 27, 53, 42
INVAR-1, Run: 076, F, 0, 0, 0, 0, 0, 0, 0, 36, 63, 1, 0, 27, 18, 19, 12, 9, 7, 1, 9, 18, 27, 55, 39
INVAR-1, Run: 077, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 20, 15, 9, 5, 3, 9, 18, 27, 48, 34
INVAR-1, Run: 078, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 56, 17, 9, 4, 4, 9, 18, 27, 89, 41
INVAR-1, Run: 079, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 23, 13, 9, 6, 2, 9, 18, 27, 54, 35
INVAR-1, Run: 080, F, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0, 18, 18, 40, 24, 9, 7, 1, 9, 18, 27, 67, 42
INVAR-1, Run: 081, F, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0, 13, 18, 35, 18, 9, 5, 3, 9, 18, 27, 57, 31
INVAR-1, Run: 082, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 18, 16, 9, 7, 1, 9, 18, 27, 46, 35
INVAR-1, Run: 083, F, 22, 0, 0, 0, 0, 0, 0, 25, 41, 1, 0, 16, 18, 32, 13, 9, 3, 5, 9, 18, 27, 57, 29
INVAR-1, Run: 084, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0, 14, 18, 46, 10, 9, 4, 4, 9, 18, 27, 69, 24
INVAR-1, Run: 085, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 38, 25, 9, 6, 2, 9, 18, 27, 68, 46
INVAR-1, Run: 086, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 14, 15, 9, 6, 2, 9, 18, 27, 48, 40
INVAR-1, Run: 087, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 42, 24, 9, 6, 2, 9, 18, 27, 72, 45
INVAR-1, Run: 088, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 31, 9, 9, 7, 1, 9, 18, 27, 63, 32
INVAR-1, Run: 089, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0, 26, 18, 43, 17, 9, 5, 3, 9, 18, 27, 78, 43
INVAR-1, Run: 090, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 47, 28, 9, 7, 1, 9, 18, 27, 81, 53
INVAR-1, Run: 091, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 51, 21, 9, 7, 1, 9, 18, 27, 85, 46
INVAR-1, Run: 092, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 54, 25, 9, 7, 1, 9, 18, 27, 85, 47
INVAR-1, Run: 093, F, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0, 20, 18, 29, 15, 9, 6, 2, 9, 18, 27, 58, 35
INVAR-1, Run: 094, F, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0, 20, 18, 49, 21, 9, 4, 4, 9, 18, 27, 78, 41
INVAR-1, Run: 095, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 25, 12, 9, 8, 0, 9, 18, 27, 53, 31
INVAR-1, Run: 096, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 56, 32, 9, 3, 5, 9, 18, 27, 89, 56
INVAR-1, Run: 097, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 37, 5, 9, 7, 1, 9, 18, 27, 70, 29
INVAR-1, Run: 098, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 45, 21, 9, 8, 0, 9, 18, 27, 79, 46
INVAR-1, Run: 099, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 38, 28, 9, 4, 4, 9, 18, 27, 64, 45
INVAR-1, Run: 100, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0, 14, 18, 18, 5, 9, 5, 3, 9, 18, 27, 41, 19
INVAR-10, Run: 001, F, 46, 0, 0, 0, 0, 0, 0, 377, 654, 1, 0, 277, 200, 2717, 847, 100, 54, 45, 100, 200, 300, 3094, 1124
INVAR-10, Run: 002, F, 78, 0, 0, 0, 0, 0, 0, 361, 622, 1, 0, 261, 200, 2909, 992, 100, 60, 39, 100, 200, 300, 3270, 1253
INVAR-10, Run: 003, F, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0, 296, 200, 2237, 741, 100, 67, 32, 100, 200, 300, 2633, 1037
INVAR-10, Run: 004, F, 16, 0, 0, 0, 0, 0, 0, 392, 684, 1, 0, 292, 200, 1790, 813, 100, 62, 37, 100, 200, 300, 2182, 1105
INVAR-10, Run: 005, F, 40, 0, 0, 0, 0, 0, 0, 380, 660, 1, 0, 280, 200, 1921, 680, 100, 64, 35, 100, 200, 300, 2301, 960
INVAR-10, Run: 006, F, 12, 0, 0, 0, 0, 0, 0, 394, 688, 1, 0, 294, 200, 1813, 799, 100, 65, 34, 100, 200, 300, 2207, 1093
INVAR-10, Run: 007, F, 76, 0, 0, 0, 0, 0, 0, 362, 624, 1, 0, 262, 200, 2721, 863, 100, 50, 49, 100, 200, 300, 3083, 1125
INVAR-10, Run: 008, F, 108, 0, 0, 0, 0, 0, 0, 346, 592, 1, 0, 246, 200, 1807, 710, 100, 61, 38, 100, 200, 300, 2153, 956
INVAR-10, Run: 009, F, 20, 0, 0, 0, 0, 0, 0, 390, 680, 1, 0, 290, 200, 1698, 671, 100, 70, 29, 100, 200, 300, 2088, 961
INVAR-10, Run: 010, F, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0, 296, 200, 2702, 889, 100, 61, 38, 100, 200, 300, 3098, 1185
INVAR-10, Run: 011, F, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0, 298, 200, 2083, 754, 100, 70, 29, 100, 200, 300, 2481, 1052
INVAR-10, Run: 012, F, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0, 298, 200, 2231, 859, 100, 63, 36, 100, 200, 300, 2629, 1157
INVAR-10, Run: 013, F, 42, 0, 0, 0, 0, 0, 0, 379, 658, 1, 0, 279, 200, 2626, 948, 100, 73, 26, 100, 200, 300, 3005, 1227
INVAR-10, Run: 014, F, 78, 0, 0, 0, 0, 0, 0, 361, 622, 1, 0, 261, 200, 3411, 869, 100, 62, 37, 100, 200, 300, 3772, 1130
