Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 14, 7, 9, 5, 3, 9, 9, 13, 23, 7
INVAR-1, Run: 002, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 3, 17, 9, 7, 1, 9, 9, 13, 12, 17
INVAR-1, Run: 003, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 5, 18, 9, 5, 3, 9, 9, 13, 14, 18
INVAR-1, Run: 004, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 15, 33, 9, 4, 4, 9, 9, 13, 24, 33
INVAR-1, Run: 005, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 19, 8, 9, 2, 6, 9, 9, 13, 28, 8
INVAR-1, Run: 006, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 12, 9, 9, 7, 1, 9, 9, 13, 21, 9
INVAR-1, Run: 007, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 7, 3, 9, 5, 3, 9, 9, 13, 16, 3
INVAR-1, Run: 008, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 10, 28, 9, 2, 6, 9, 9, 13, 19, 28
INVAR-1, Run: 009, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 22, 21, 9, 5, 3, 9, 9, 13, 31, 21
INVAR-1, Run: 010, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 10, 0, 9, 5, 3, 9, 9, 13, 19, 0
INVAR-1, Run: 011, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 16, 7, 9, 7, 1, 9, 9, 13, 25, 7
INVAR-1, Run: 012, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 5, 3, 9, 7, 1, 9, 9, 13, 14, 3
INVAR-1, Run: 013, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 4, 10, 9, 6, 2, 9, 9, 13, 13, 10
INVAR-1, Run: 014, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 16, 23, 9, 3, 5, 9, 9, 13, 25, 23
INVAR-1, Run: 015, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 8, 18, 9, 7, 1, 9, 9, 13, 17, 18
INVAR-1, Run: 016, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 8, 10, 9, 7, 1, 9, 9, 13, 17, 10
INVAR-1, Run: 017, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 16, 16, 9, 7, 1, 9, 9, 13, 25, 16
INVAR-1, Run: 018, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 11, 12, 9, 4, 4, 9, 9, 13, 20, 12
INVAR-1, Run: 019, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 6, 37, 9, 7, 1, 9, 9, 13, 15, 37
INVAR-1, Run: 020, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 10, 12, 9, 4, 4, 9, 9, 13, 19, 12
INVAR-1, Run: 021, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 11, 28, 9, 7, 1, 9, 9, 13, 20, 28
INVAR-1, Run: 022, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 3, 9, 9, 5, 3, 9, 9, 13, 12, 9
INVAR-1, Run: 023, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 20, 16, 9, 4, 4, 9, 9, 13, 29, 16
