Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9, NEW_REACTION
INVAR-1, Run: 001, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 2, 66, 7, 4, 2, 9, 18, 27, 11, 66, 4
INVAR-1, Run: 002, F, 0, 0, 0, 1, 0, 54, 4, 54, 0, 0, 0, 18, 4, 19, 6, 4, 2, 9, 18, 27, 9, 73, 5
INVAR-1, Run: 003, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 2, 103, 7, 4, 2, 9, 18, 27, 11, 103, 4
INVAR-1, Run: 004, F, 0, 0, 0, 0, 1, 1, 0, 0, 1, 54, 0, 18, 5, 55, 5, 2, 2, 9, 18, 27, 14, 55, 8
INVAR-1, Run: 005, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 3, 78, 7, 3, 3, 9, 18, 27, 12, 78, 4
INVAR-1, Run: 006, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 3, 64, 7, 5, 1, 9, 18, 27, 12, 64, 4
INVAR-1, Run: 007, F, 0, 0, 0, 0, 1, 1, 0, 0, 1, 54, 0, 18, 8, 74, 5, 2, 2, 9, 18, 27, 17, 74, 8
INVAR-1, Run: 008, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 3, 99, 6, 3, 2, 9, 18, 27, 12, 99, 6
INVAR-1, Run: 009, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 3, 102, 7, 3, 3, 9, 18, 27, 12, 102, 4
INVAR-1, Run: 010, F, 0, 0, 0, 0, 1, 8, 2, 7, 0, 47, 0, 18, 2, 40, 6, 5, 1, 9, 18, 27, 9, 47, 6
INVAR-1, Run: 011, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 7, 34, 7, 4, 2, 9, 18, 27, 16, 34, 4
INVAR-1, Run: 012, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 7, 120, 7, 6, 0, 9, 18, 27, 16, 120, 4
INVAR-1, Run: 013, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 6, 70, 7, 5, 1, 9, 18, 27, 15, 70, 4
INVAR-1, Run: 014, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 4, 18, 6, 4, 1, 9, 18, 27, 13, 18, 6
INVAR-1, Run: 015, F, 0, 0, 0, 1, 0, 54, 4, 54, 0, 0, 0, 18, 8, 107, 6, 6, 0, 9, 18, 27, 13, 161, 5
INVAR-1, Run: 016, F, 0, 0, 0, 0, 1, 1, 0, 0, 1, 54, 0, 18, 5, 70, 5, 1, 3, 9, 18, 27, 14, 70, 8
INVAR-1, Run: 017, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 5, 30, 7, 5, 1, 9, 18, 27, 14, 30, 4
