Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 23, 136, 9, 7, 9, 18, 27, 32, 136
INVAR-1, Run: 002, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 16, 110, 9, 7, 9, 18, 27, 25, 110
INVAR-1, Run: 003, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 19, 81, 9, 8, 9, 18, 27, 28, 81
INVAR-1, Run: 004, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 33, 79, 9, 7, 9, 18, 27, 42, 79
INVAR-1, Run: 005, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 7, 85, 9, 7, 9, 18, 27, 16, 85
INVAR-1, Run: 006, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 24, 116, 9, 7, 9, 18, 27, 33, 116
INVAR-1, Run: 007, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 28, 118, 9, 6, 9, 18, 27, 37, 118
INVAR-1, Run: 008, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 34, 156, 9, 7, 9, 18, 27, 43, 156
INVAR-1, Run: 009, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 35, 175, 9, 7, 9, 18, 27, 44, 175
INVAR-1, Run: 010, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 92, 9, 8, 9, 18, 27, 21, 92
INVAR-1, Run: 011, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 23, 138, 9, 8, 9, 18, 27, 32, 138
INVAR-1, Run: 012, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 14, 91, 9, 7, 9, 18, 27, 23, 91
INVAR-1, Run: 013, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 18, 74, 9, 7, 9, 18, 27, 27, 74
INVAR-1, Run: 014, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 39, 228, 9, 8, 9, 18, 27, 48, 228
INVAR-1, Run: 015, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 21, 76, 9, 7, 9, 18, 27, 30, 76
INVAR-1, Run: 016, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 41, 158, 9, 7, 9, 18, 27, 50, 158
INVAR-1, Run: 017, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 9, 80, 9, 8, 9, 18, 27, 18, 80
INVAR-1, Run: 018, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 148, 9, 8, 9, 18, 27, 23, 148
INVAR-1, Run: 019, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 41, 216, 9, 6, 9, 18, 27, 50, 216
INVAR-1, Run: 020, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 34, 150, 9, 8, 9, 18, 27, 43, 150
INVAR-1, Run: 021, P, 0, 0, 0, 0, 9, 9, 0, 0, 4, 54, 0, 18, 3, 22, 9, 5, 9, 18, 27, 12, 22
INVAR-1, Run: 022, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 30, 130, 9, 7, 9, 18, 27, 39, 130
INVAR-1, Run: 023, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 80, 9, 8, 9, 18, 27, 23, 80
INVAR-1, Run: 024, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 21, 194, 9, 8, 9, 18, 27, 30, 194
INVAR-1, Run: 025, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 8, 97, 9, 8, 9, 18, 27, 17, 97
INVAR-1, Run: 026, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 13, 109, 9, 8, 9, 18, 27, 22, 109
INVAR-1, Run: 027, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 33, 144, 9, 8, 9, 18, 27, 42, 144
INVAR-1, Run: 028, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 13, 113, 9, 7, 9, 18, 27, 22, 113
INVAR-1, Run: 029, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 25, 128, 9, 8, 9, 18, 27, 34, 128
INVAR-1, Run: 030, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 24, 198, 9, 8, 9, 18, 27, 33, 198
INVAR-1, Run: 031, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 27, 163, 9, 7, 9, 18, 27, 36, 163
INVAR-1, Run: 032, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 23, 124, 9, 7, 9, 18, 27, 32, 124
INVAR-1, Run: 033, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 17, 51, 9, 7, 9, 18, 27, 26, 51
INVAR-1, Run: 034, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 13, 126, 9, 7, 9, 18, 27, 22, 126
INVAR-1, Run: 035, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 32, 135, 9, 8, 9, 18, 27, 41, 135
INVAR-1, Run: 036, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 47, 9, 8, 9, 18, 27, 21, 47
INVAR-1, Run: 037, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 21, 84, 9, 6, 9, 18, 27, 30, 84
INVAR-1, Run: 038, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 65, 278, 9, 8, 9, 18, 27, 74, 278
INVAR-1, Run: 039, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 26, 79, 9, 7, 9, 18, 27, 35, 79
INVAR-1, Run: 040, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 20, 47, 9, 6, 9, 18, 27, 29, 47
INVAR-1, Run: 041, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 42, 126, 9, 8, 9, 18, 27, 51, 126
INVAR-1, Run: 042, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 102, 9, 8, 9, 18, 27, 27, 102
INVAR-1, Run: 043, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 11, 127, 9, 8, 9, 18, 27, 20, 127
INVAR-1, Run: 044, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 109, 9, 8, 9, 18, 27, 27, 109
INVAR-1, Run: 045, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 114, 9, 8, 9, 18, 27, 24, 114
INVAR-1, Run: 046, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 25, 144, 9, 8, 9, 18, 27, 34, 144
INVAR-1, Run: 047, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 22, 68, 9, 8, 9, 18, 27, 31, 68
INVAR-1, Run: 048, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 25, 111, 9, 8, 9, 18, 27, 34, 111
INVAR-1, Run: 049, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 21, 92, 9, 8, 9, 18, 27, 30, 92
INVAR-1, Run: 050, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 22, 170, 9, 8, 9, 18, 27, 31, 170
INVAR-1, Run: 051, P, 0, 0, 0, 0, 9, 9, 0, 0, 4, 54, 0, 18, 25, 73, 9, 5, 9, 18, 27, 34, 73
INVAR-1, Run: 052, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 30, 132, 9, 8, 9, 18, 27, 39, 132
INVAR-1, Run: 053, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 26, 64, 9, 8, 9, 18, 27, 35, 64
INVAR-1, Run: 054, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 7, 69, 9, 7, 9, 18, 27, 16, 69
INVAR-1, Run: 055, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 95, 9, 8, 9, 18, 27, 25, 95
INVAR-1, Run: 056, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 14, 106, 9, 7, 9, 18, 27, 23, 106
INVAR-1, Run: 057, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 14, 151, 9, 7, 9, 18, 27, 23, 151
INVAR-1, Run: 058, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 17, 75, 9, 8, 9, 18, 27, 26, 75
INVAR-1, Run: 059, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 11, 84, 9, 8, 9, 18, 27, 20, 84
INVAR-1, Run: 060, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 23, 85, 9, 8, 9, 18, 27, 32, 85
INVAR-1, Run: 061, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 31, 116, 9, 8, 9, 18, 27, 40, 116
INVAR-1, Run: 062, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 27, 97, 9, 8, 9, 18, 27, 36, 97
INVAR-1, Run: 063, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 32, 133, 9, 7, 9, 18, 27, 41, 133
INVAR-1, Run: 064, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 24, 143, 9, 7, 9, 18, 27, 33, 143
INVAR-1, Run: 065, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 31, 160, 9, 8, 9, 18, 27, 40, 160
