Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 21, 0, 0, 0, 0, 37, 11, 37, 0, 0, 4, 18, 23, 96, 7, 6, 1, 11, 18, 27, 23, 133
INVAR-1, Run: 002, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 17, 69, 6, 2, 3, 12, 18, 27, 29, 69
INVAR-1, Run: 003, P, 0, 5, 0, 0, 0, 0, 55, 12, 55, 0, 0, 6, 18, 7, 49, 6, 5, 1, 12, 18, 27, 7, 104
INVAR-1, Run: 004, P, 0, 43, 0, 0, 0, 0, 15, 11, 15, 0, 0, 4, 18, 11, 9, 7, 3, 4, 11, 18, 27, 11, 24
INVAR-1, Run: 005, P, 0, 54, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 18, 20, 65, 9, 2, 6, 9, 18, 27, 29, 65
INVAR-1, Run: 006, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 8, 88, 6, 3, 2, 12, 18, 27, 20, 88
INVAR-1, Run: 007, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 13, 104, 6, 4, 1, 12, 18, 27, 25, 104
INVAR-1, Run: 008, P, 0, 36, 0, 0, 0, 0, 22, 11, 22, 0, 0, 4, 18, 7, 56, 7, 7, 0, 11, 18, 27, 7, 78
INVAR-1, Run: 009, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 19, 50, 7, 2, 4, 11, 18, 27, 30, 50
INVAR-1, Run: 010, P, 0, 6, 0, 0, 0, 0, 54, 12, 54, 0, 0, 6, 18, 24, 75, 6, 4, 2, 12, 18, 27, 24, 129
INVAR-1, Run: 011, P, 0, 1, 0, 0, 0, 0, 57, 11, 57, 0, 0, 4, 18, 35, 168, 7, 5, 2, 11, 18, 27, 35, 225
INVAR-1, Run: 012, P, 0, 39, 0, 0, 0, 0, 25, 14, 25, 0, 0, 10, 18, 18, 67, 4, 3, 1, 14, 18, 27, 18, 92
INVAR-1, Run: 013, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 28, 156, 6, 5, 0, 12, 18, 27, 40, 156
INVAR-1, Run: 014, P, 0, 35, 0, 0, 0, 0, 29, 14, 29, 0, 0, 10, 18, 4, 3, 4, 2, 2, 14, 18, 27, 4, 32
INVAR-1, Run: 015, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 12, 73, 7, 4, 2, 11, 18, 27, 23, 73
INVAR-1, Run: 016, P, 0, 1, 0, 0, 0, 0, 57, 11, 57, 0, 0, 4, 18, 18, 61, 7, 6, 1, 11, 18, 27, 18, 118
