Input Number, Run_Number, Result@ 100, PO, H, PE, X1, M, CE, Y, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 30, 82, 5, 8, 4, 13, 18, 27, 43, 82
INVAR-1, Run: 002, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 42, 242, 6, 7, 4, 12, 18, 27, 54, 242
INVAR-1, Run: 003, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 24, 70, 6, 6, 5, 12, 18, 27, 36, 70
INVAR-1, Run: 004, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 30, 67, 5, 7, 5, 13, 18, 27, 43, 67
INVAR-1, Run: 005, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 15, 50, 7, 5, 5, 11, 18, 27, 26, 50
INVAR-1, Run: 006, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 30, 86, 5, 7, 5, 13, 18, 27, 43, 86
INVAR-1, Run: 007, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 28, 155, 6, 9, 2, 12, 18, 27, 40, 155
INVAR-1, Run: 008, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 20, 78, 7, 7, 3, 11, 18, 27, 31, 78
INVAR-1, Run: 009, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 28, 104, 6, 7, 4, 12, 18, 27, 40, 104
INVAR-1, Run: 010, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 18, 73, 7, 8, 2, 11, 18, 27, 29, 73
INVAR-1, Run: 011, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 27, 99, 6, 5, 6, 12, 18, 27, 39, 99
INVAR-1, Run: 012, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 31, 76, 6, 6, 5, 12, 18, 27, 43, 76
INVAR-1, Run: 013, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 37, 64, 5, 3, 9, 13, 18, 27, 50, 64
INVAR-1, Run: 014, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 16, 60, 6, 6, 5, 12, 18, 27, 28, 60
INVAR-1, Run: 015, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 33, 90, 6, 6, 5, 12, 18, 27, 45, 90
INVAR-1, Run: 016, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 31, 78, 6, 8, 3, 12, 18, 27, 43, 78
INVAR-1, Run: 017, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 17, 82, 7, 5, 5, 11, 18, 27, 28, 82
INVAR-1, Run: 018, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 17, 59, 8, 3, 6, 10, 18, 27, 27, 59
INVAR-1, Run: 019, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 22, 121, 5, 6, 6, 13, 18, 27, 35, 121
INVAR-1, Run: 020, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 20, 92, 8, 5, 4, 10, 18, 27, 30, 92
INVAR-1, Run: 021, P, 0, 0, 1, 0, 0, 14, 14, 0, 0, 54, 0, 10, 18, 42, 191, 4, 7, 6, 14, 18, 27, 56, 191
INVAR-1, Run: 022, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 12, 79, 8, 7, 2, 10, 18, 27, 22, 79
INVAR-1, Run: 023, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 18, 81, 7, 5, 5, 11, 18, 27, 29, 81
INVAR-1, Run: 024, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 27, 107, 7, 4, 6, 11, 18, 27, 38, 107
INVAR-1, Run: 025, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 33, 136, 5, 6, 6, 13, 18, 27, 46, 136
INVAR-1, Run: 026, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 29, 106, 5, 7, 5, 13, 18, 27, 42, 106
INVAR-1, Run: 027, P, 0, 0, 1, 0, 0, 14, 14, 0, 0, 54, 0, 10, 18, 21, 91, 4, 7, 6, 14, 18, 27, 35, 91
INVAR-1, Run: 028, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 18, 111, 8, 3, 6, 10, 18, 27, 28, 111
INVAR-1, Run: 029, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 22, 62, 6, 8, 3, 12, 18, 27, 34, 62
INVAR-1, Run: 030, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 28, 96, 6, 8, 3, 12, 18, 27, 40, 96
INVAR-1, Run: 031, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 26, 52, 6, 6, 5, 12, 18, 27, 38, 52
INVAR-1, Run: 032, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 17, 90, 7, 6, 4, 11, 18, 27, 28, 90
INVAR-1, Run: 033, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 30, 85, 6, 7, 4, 12, 18, 27, 42, 85
INVAR-1, Run: 034, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 29, 94, 6, 7, 4, 12, 18, 27, 41, 94
INVAR-1, Run: 035, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 18, 71, 7, 3, 7, 11, 18, 27, 29, 71
INVAR-1, Run: 036, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 13, 97, 5, 8, 4, 13, 18, 27, 26, 97
INVAR-1, Run: 037, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 23, 118, 6, 8, 3, 12, 18, 27, 35, 118
INVAR-1, Run: 038, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 21, 110, 6, 8, 3, 12, 18, 27, 33, 110
INVAR-1, Run: 039, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 21, 119, 7, 9, 1, 11, 18, 27, 32, 119
INVAR-1, Run: 040, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 23, 40, 7, 1, 9, 11, 18, 27, 34, 40
INVAR-1, Run: 041, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 21, 77, 6, 6, 5, 12, 18, 27, 33, 77
INVAR-1, Run: 042, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 25, 139, 7, 6, 4, 11, 18, 27, 36, 139
INVAR-1, Run: 043, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 24, 131, 7, 9, 1, 11, 18, 27, 35, 131
INVAR-1, Run: 044, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 29, 99, 7, 6, 4, 11, 18, 27, 40, 99
INVAR-1, Run: 045, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 24, 47, 5, 8, 4, 13, 18, 27, 37, 47
INVAR-1, Run: 046, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 33, 117, 6, 6, 5, 12, 18, 27, 45, 117
