Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 236, 1, 0, 0, 0, 0, 122, 0, 1, 54, 0, 114, 18, 17, 107, 9, 7, 1, 9, 18, 27, 139, 107
INVAR-1, Run: 002, P, 199, 2, 0, 0, 0, 0, 103, 0, 1, 54, 0, 96, 18, 25, 91, 9, 5, 3, 9, 18, 27, 128, 91
INVAR-1, Run: 003, P, 206, 1, 0, 0, 0, 0, 107, 0, 1, 54, 0, 99, 18, 36, 155, 9, 5, 3, 9, 18, 27, 143, 155
INVAR-1, Run: 004, P, 159, 0, 0, 0, 0, 0, 84, 0, 1, 54, 0, 75, 18, 40, 205, 9, 7, 1, 9, 18, 27, 124, 205
INVAR-1, Run: 005, P, 226, 1, 0, 0, 0, 0, 117, 0, 1, 54, 0, 109, 18, 26, 78, 9, 6, 2, 9, 18, 27, 143, 78
INVAR-1, Run: 006, P, 201, 0, 0, 0, 0, 0, 105, 0, 1, 54, 0, 96, 18, 16, 54, 9, 4, 4, 9, 18, 27, 121, 54
INVAR-1, Run: 007, P, 164, 1, 0, 0, 0, 0, 86, 0, 1, 54, 0, 78, 18, 36, 108, 9, 5, 3, 9, 18, 27, 122, 108
INVAR-1, Run: 008, P, 187, 0, 0, 0, 0, 0, 98, 0, 1, 54, 0, 89, 18, 17, 90, 9, 5, 3, 9, 18, 27, 115, 90
INVAR-1, Run: 009, P, 176, 1, 0, 0, 0, 0, 92, 0, 1, 54, 0, 84, 18, 20, 65, 9, 3, 5, 9, 18, 27, 112, 65
INVAR-1, Run: 010, P, 190, 1, 0, 0, 0, 0, 99, 0, 1, 54, 0, 91, 18, 11, 60, 9, 7, 1, 9, 18, 27, 110, 60
INVAR-1, Run: 011, P, 194, 1, 0, 0, 0, 0, 101, 0, 1, 54, 0, 93, 18, 28, 73, 9, 2, 6, 9, 18, 27, 129, 73
INVAR-1, Run: 012, P, 215, 0, 0, 0, 0, 0, 112, 0, 1, 54, 0, 103, 18, 25, 85, 9, 6, 2, 9, 18, 27, 137, 85
INVAR-1, Run: 013, P, 200, 1, 0, 0, 0, 0, 104, 0, 1, 54, 0, 96, 18, 11, 51, 9, 5, 3, 9, 18, 27, 115, 51
