Input Number, Run_Number, Result@ 100, CE, X1, H, M, PO, Y, D, CO, PE, A, B
INVAR-1, Run: 001, F, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1
INVAR-1, Run: 002, F, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 003, F, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 004, F, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 005, F, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 006, F, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1
INVAR-1, Run: 007, F, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 008, F, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 009, F, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 010, F, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 011, P, 9, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 012, F, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 013, F, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 014, F, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 015, F, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
INVAR-1, Run: 016, F, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 017, F, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1
INVAR-1, Run: 018, F, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1
INVAR-1, Run: 019, F, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 020, F, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1
INVAR-1, Run: 021, F, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 022, F, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 023, F, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 024, F, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1
INVAR-1, Run: 025, F, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
