Input Number, Run_Number, Result@ 100, PE, Y, M, X1, H, PO, CE, D, CO, A, B
INVAR-1, Run: 001, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
INVAR-1, Run: 002, F, 1, 0, 0, 0, 0, 0, 9, 0, 9, 99, 0
INVAR-1, Run: 003, F, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0
INVAR-1, Run: 004, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 005, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
INVAR-1, Run: 006, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 007, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
INVAR-1, Run: 008, F, 1, 0, 0, 0, 0, 0, 9, 0, 9, 99, 0
INVAR-1, Run: 009, F, 1, 0, 0, 0, 0, 0, 9, 0, 6, 94, 1
INVAR-1, Run: 010, F, 1, 0, 0, 0, 0, 0, 9, 0, 8, 98, 1
INVAR-1, Run: 011, F, 1, 0, 0, 0, 0, 0, 9, 0, 12, 106, 1
INVAR-1, Run: 012, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
INVAR-1, Run: 013, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
INVAR-1, Run: 014, F, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0
INVAR-1, Run: 015, F, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
INVAR-1, Run: 016, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
INVAR-1, Run: 017, F, 1, 0, 0, 0, 0, 0, 9, 0, 4, 90, 1
INVAR-1, Run: 018, F, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
INVAR-1, Run: 019, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
INVAR-1, Run: 020, F, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0
INVAR-1, Run: 021, F, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
INVAR-1, Run: 022, F, 1, 0, 0, 0, 0, 0, 9, 0, 8, 98, 1
INVAR-1, Run: 023, F, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0
INVAR-1, Run: 024, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
INVAR-1, Run: 025, F, 1, 0, 0, 0, 0, 0, 9, 0, 4, 90, 1
INVAR-1, Run: 026, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 027, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 028, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 029, F, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
INVAR-1, Run: 030, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
INVAR-1, Run: 031, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 032, F, 1, 0, 0, 0, 0, 0, 9, 0, 7, 95, 0
INVAR-1, Run: 033, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
INVAR-1, Run: 034, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 035, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 036, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
INVAR-1, Run: 037, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
INVAR-1, Run: 038, F, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
INVAR-1, Run: 039, F, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
INVAR-1, Run: 040, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 041, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
INVAR-1, Run: 042, F, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
INVAR-1, Run: 043, F, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
INVAR-1, Run: 044, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
INVAR-1, Run: 045, F, 1, 0, 0, 0, 0, 0, 9, 0, 4, 90, 1
INVAR-1, Run: 046, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
INVAR-1, Run: 047, F, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
INVAR-1, Run: 048, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 049, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
INVAR-1, Run: 050, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 051, F, 1, 0, 0, 0, 0, 0, 9, 0, 9, 99, 0
INVAR-1, Run: 052, F, 1, 0, 0, 0, 0, 0, 9, 0, 11, 103, 0
INVAR-1, Run: 053, F, 1, 0, 0, 0, 0, 0, 9, 0, 4, 90, 1
INVAR-1, Run: 054, F, 1, 0, 0, 0, 0, 0, 9, 0, 4, 90, 1
INVAR-1, Run: 055, F, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0
INVAR-1, Run: 056, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 057, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
INVAR-1, Run: 058, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
INVAR-1, Run: 059, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
INVAR-1, Run: 060, F, 1, 0, 0, 0, 0, 0, 9, 0, 8, 98, 1
INVAR-1, Run: 061, F, 1, 0, 0, 0, 0, 0, 9, 0, 6, 94, 1
INVAR-1, Run: 062, F, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0
INVAR-1, Run: 063, F, 1, 0, 0, 0, 0, 0, 9, 0, 8, 98, 1
INVAR-1, Run: 064, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
INVAR-1, Run: 065, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
INVAR-1, Run: 066, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
INVAR-1, Run: 067, F, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0
INVAR-1, Run: 068, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
INVAR-1, Run: 069, F, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
INVAR-1, Run: 070, F, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0
