Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B
INVAR-1, Run: 001, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 002, F, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 003, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 004, F, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 005, F, 0, 64, 0, 0, 0, 14, 14, 0, 0, 1, 0
INVAR-1, Run: 006, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 007, F, 0, 1, 0, 0, 0, 0, 59, 12, 59, 0, 0
INVAR-1, Run: 008, F, 0, 51, 0, 0, 0, 2, 9, 9, 7, 0, 0
INVAR-1, Run: 009, F, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 010, F, 0, 39, 0, 0, 0, 0, 23, 13, 23, 0, 0
INVAR-1, Run: 011, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 012, F, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 013, F, 0, 15, 0, 0, 0, 0, 45, 12, 45, 0, 0
INVAR-1, Run: 014, F, 0, 20, 0, 0, 0, 0, 40, 12, 40, 0, 0
INVAR-1, Run: 015, F, 0, 26, 0, 0, 0, 0, 32, 11, 32, 0, 0
INVAR-1, Run: 016, F, 0, 8, 0, 0, 0, 0, 52, 12, 52, 0, 0
INVAR-1, Run: 017, F, 0, 7, 0, 0, 0, 0, 51, 11, 51, 0, 0
INVAR-1, Run: 018, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 019, F, 0, 41, 0, 0, 0, 0, 19, 12, 19, 0, 0
INVAR-1, Run: 020, F, 0, 49, 0, 0, 0, 0, 9, 11, 9, 0, 0
INVAR-1, Run: 021, F, 0, 11, 0, 0, 0, 0, 53, 14, 53, 0, 0
INVAR-1, Run: 022, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 023, F, 0, 11, 0, 0, 0, 0, 49, 12, 49, 0, 0
INVAR-1, Run: 024, F, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 025, F, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 026, F, 0, 15, 0, 0, 0, 0, 47, 13, 47, 0, 0
INVAR-1, Run: 027, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 028, F, 0, 10, 0, 0, 0, 0, 50, 12, 50, 0, 0
INVAR-1, Run: 029, F, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 030, F, 0, 13, 0, 0, 0, 0, 45, 11, 45, 0, 0
INVAR-1, Run: 031, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 032, F, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 033, F, 0, 20, 0, 0, 0, 0, 36, 10, 36, 0, 0
INVAR-1, Run: 034, F, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0
INVAR-1, Run: 035, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 036, F, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 037, F, 0, 46, 0, 0, 0, 0, 14, 12, 14, 0, 0
INVAR-1, Run: 038, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 039, F, 0, 15, 0, 0, 0, 0, 43, 11, 43, 0, 0
INVAR-1, Run: 040, F, 0, 24, 0, 0, 0, 0, 36, 12, 36, 0, 0
INVAR-1, Run: 041, F, 0, 22, 0, 0, 0, 0, 38, 12, 38, 0, 0
INVAR-1, Run: 042, F, 0, 36, 0, 0, 0, 0, 24, 12, 24, 0, 0
INVAR-1, Run: 043, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 044, F, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 045, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 046, F, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 047, F, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 048, F, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 049, F, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0
INVAR-1, Run: 050, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 051, F, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0
INVAR-1, Run: 052, F, 0, 32, 0, 0, 0, 0, 26, 11, 26, 0, 0
INVAR-1, Run: 053, F, 0, 53, 0, 0, 0, 0, 5, 11, 5, 0, 0
INVAR-1, Run: 054, F, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 055, F, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 056, F, 0, 43, 0, 0, 0, 1, 16, 10, 15, 0, 0
INVAR-1, Run: 057, F, 0, 15, 0, 0, 0, 0, 45, 12, 45, 0, 0
INVAR-1, Run: 058, F, 0, 4, 0, 0, 0, 0, 54, 11, 54, 0, 0
INVAR-1, Run: 059, F, 0, 13, 0, 0, 0, 0, 47, 12, 47, 0, 0
INVAR-1, Run: 060, F, 0, 30, 0, 0, 0, 0, 30, 12, 30, 0, 0
INVAR-1, Run: 061, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 062, F, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 063, F, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 064, F, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 065, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 066, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 067, F, 0, 43, 0, 0, 0, 0, 13, 10, 13, 0, 0
INVAR-1, Run: 068, F, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 069, F, 0, 17, 0, 0, 0, 0, 45, 13, 45, 0, 0
INVAR-1, Run: 070, F, 0, 17, 0, 0, 0, 0, 43, 12, 43, 0, 0
INVAR-1, Run: 071, F, 0, 31, 0, 0, 0, 0, 27, 11, 27, 0, 0
INVAR-1, Run: 072, F, 0, 44, 0, 0, 0, 0, 16, 12, 16, 0, 0
INVAR-1, Run: 073, F, 0, 9, 0, 0, 0, 0, 49, 11, 49, 0, 0
INVAR-1, Run: 074, F, 0, 32, 0, 0, 0, 0, 30, 13, 30, 0, 0
INVAR-1, Run: 075, F, 0, 18, 0, 0, 0, 0, 42, 12, 42, 0, 0
INVAR-1, Run: 076, F, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 077, F, 0, 10, 0, 0, 0, 0, 46, 10, 46, 0, 0
INVAR-1, Run: 078, F, 0, 24, 0, 0, 0, 0, 34, 11, 34, 0, 0
INVAR-1, Run: 079, F, 0, 54, 0, 0, 0, 1, 7, 11, 6, 0, 0
INVAR-1, Run: 080, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 081, F, 0, 8, 0, 0, 0, 0, 52, 12, 52, 0, 0
INVAR-1, Run: 082, F, 0, 34, 0, 0, 0, 0, 26, 12, 26, 0, 0
INVAR-1, Run: 083, F, 0, 9, 0, 0, 0, 0, 51, 12, 51, 0, 0
INVAR-1, Run: 084, F, 0, 54, 0, 0, 0, 1, 7, 11, 6, 0, 0
INVAR-1, Run: 085, F, 0, 32, 0, 0, 0, 0, 28, 12, 28, 0, 0
INVAR-1, Run: 086, F, 0, 22, 0, 0, 0, 0, 38, 12, 38, 0, 0
INVAR-1, Run: 087, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 088, F, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
