Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B
INVAR-1, Run: 001, F, 239, 0, 0, 0, 0, 0, 124, 0, 1, 54, 0
INVAR-1, Run: 002, F, 185, 2, 0, 0, 0, 0, 96, 0, 1, 54, 0
INVAR-1, Run: 003, F, 223, 2, 0, 0, 0, 0, 115, 0, 1, 54, 0
INVAR-1, Run: 004, F, 179, 0, 0, 0, 0, 0, 94, 0, 1, 54, 0
INVAR-1, Run: 005, F, 239, 0, 0, 0, 0, 0, 124, 0, 1, 54, 0
INVAR-1, Run: 006, F, 240, 1, 0, 0, 0, 0, 124, 0, 1, 54, 0
INVAR-1, Run: 007, F, 243, 2, 0, 0, 0, 0, 125, 0, 1, 54, 0
INVAR-1, Run: 008, F, 220, 1, 0, 0, 0, 0, 114, 0, 1, 54, 0
INVAR-1, Run: 009, F, 206, 1, 0, 0, 0, 0, 107, 0, 1, 54, 0
INVAR-1, Run: 010, F, 218, 1, 0, 0, 0, 0, 113, 0, 1, 54, 0
INVAR-1, Run: 011, F, 170, 1, 0, 0, 0, 0, 89, 0, 1, 54, 0
INVAR-1, Run: 012, F, 200, 1, 0, 0, 0, 0, 104, 0, 1, 54, 0
INVAR-1, Run: 013, F, 193, 0, 0, 0, 0, 0, 101, 0, 1, 54, 0
INVAR-1, Run: 014, F, 196, 1, 0, 0, 0, 0, 102, 0, 1, 54, 0
INVAR-1, Run: 015, F, 222, 1, 0, 0, 0, 0, 115, 0, 1, 54, 0
INVAR-1, Run: 016, F, 239, 0, 0, 0, 0, 0, 124, 0, 1, 54, 0
INVAR-1, Run: 017, F, 204, 1, 0, 0, 0, 0, 106, 0, 1, 54, 0
INVAR-1, Run: 018, F, 222, 1, 0, 0, 0, 0, 115, 0, 1, 54, 0
INVAR-1, Run: 019, F, 210, 1, 0, 0, 0, 0, 109, 0, 1, 54, 0
INVAR-1, Run: 020, F, 198, 1, 0, 0, 0, 0, 103, 0, 1, 54, 0
INVAR-1, Run: 021, F, 219, 0, 0, 0, 0, 0, 114, 0, 1, 54, 0
INVAR-1, Run: 022, F, 197, 0, 0, 0, 0, 0, 103, 0, 1, 54, 0
INVAR-1, Run: 023, F, 217, 0, 0, 0, 0, 0, 113, 0, 1, 54, 0
INVAR-1, Run: 024, F, 205, 0, 0, 0, 0, 0, 107, 0, 1, 54, 0
INVAR-1, Run: 025, F, 172, 1, 0, 0, 0, 0, 90, 0, 1, 54, 0
INVAR-1, Run: 026, F, 224, 1, 0, 0, 0, 0, 116, 0, 1, 54, 0
INVAR-1, Run: 027, F, 212, 1, 0, 0, 0, 0, 110, 0, 1, 54, 0
INVAR-1, Run: 028, F, 168, 1, 0, 0, 0, 0, 88, 0, 1, 54, 0
INVAR-1, Run: 029, F, 201, 0, 0, 0, 0, 0, 105, 0, 1, 54, 0
INVAR-1, Run: 030, F, 215, 0, 0, 0, 0, 0, 112, 0, 1, 54, 0
INVAR-1, Run: 031, F, 193, 2, 0, 0, 0, 0, 100, 0, 1, 54, 0
INVAR-1, Run: 032, F, 193, 0, 0, 0, 0, 0, 101, 0, 1, 54, 0
INVAR-1, Run: 033, F, 203, 0, 0, 0, 0, 0, 106, 0, 1, 54, 0
INVAR-1, Run: 034, F, 256, 1, 0, 0, 0, 0, 132, 0, 1, 54, 0
INVAR-1, Run: 035, F, 168, 3, 0, 0, 0, 0, 87, 0, 1, 54, 0
INVAR-1, Run: 036, F, 187, 0, 0, 0, 0, 0, 98, 0, 1, 54, 0
INVAR-1, Run: 037, F, 233, 2, 0, 0, 0, 0, 120, 0, 1, 54, 0
INVAR-1, Run: 038, F, 223, 2, 0, 0, 0, 0, 115, 0, 1, 54, 0
INVAR-1, Run: 039, F, 222, 1, 0, 0, 0, 0, 115, 0, 1, 54, 0
INVAR-1, Run: 040, F, 253, 0, 0, 0, 0, 0, 131, 0, 1, 54, 0
INVAR-1, Run: 041, F, 215, 2, 0, 0, 0, 0, 111, 0, 1, 54, 0
INVAR-1, Run: 042, F, 221, 2, 0, 0, 0, 0, 114, 0, 1, 54, 0
INVAR-1, Run: 043, F, 213, 0, 0, 0, 0, 0, 111, 0, 1, 54, 0
INVAR-1, Run: 044, F, 202, 1, 0, 0, 0, 0, 105, 0, 1, 54, 0
INVAR-1, Run: 045, F, 219, 0, 0, 0, 0, 0, 114, 0, 1, 54, 0
INVAR-1, Run: 046, F, 212, 1, 0, 0, 0, 0, 110, 0, 1, 54, 0
INVAR-1, Run: 047, F, 203, 0, 0, 0, 0, 0, 106, 0, 1, 54, 0
INVAR-1, Run: 048, F, 199, 0, 0, 0, 0, 0, 104, 0, 1, 54, 0
INVAR-1, Run: 049, F, 223, 2, 0, 0, 0, 0, 115, 0, 1, 54, 0
INVAR-1, Run: 050, F, 208, 1, 0, 0, 0, 0, 108, 0, 1, 54, 0
INVAR-1, Run: 051, F, 197, 0, 0, 0, 0, 0, 103, 0, 1, 54, 0
INVAR-1, Run: 052, F, 210, 1, 0, 0, 0, 0, 109, 0, 1, 54, 0
INVAR-1, Run: 053, F, 210, 1, 0, 0, 0, 0, 109, 0, 1, 54, 0
INVAR-1, Run: 054, F, 246, 1, 0, 0, 0, 0, 127, 0, 1, 54, 0
INVAR-1, Run: 055, F, 167, 2, 0, 0, 0, 0, 87, 0, 1, 54, 0
INVAR-1, Run: 056, F, 206, 1, 0, 0, 0, 0, 107, 0, 1, 54, 0
INVAR-1, Run: 057, F, 207, 0, 0, 0, 0, 0, 108, 0, 1, 54, 0
INVAR-1, Run: 058, F, 197, 0, 0, 0, 0, 0, 103, 0, 1, 54, 0
INVAR-1, Run: 059, F, 197, 0, 0, 0, 0, 0, 103, 0, 1, 54, 0
INVAR-1, Run: 060, F, 214, 1, 0, 0, 0, 0, 111, 0, 1, 54, 0
INVAR-1, Run: 061, F, 229, 0, 0, 0, 0, 0, 119, 0, 1, 54, 0
INVAR-1, Run: 062, F, 218, 1, 0, 0, 0, 0, 113, 0, 1, 54, 0
INVAR-1, Run: 063, F, 233, 0, 0, 0, 0, 0, 121, 0, 1, 54, 0
INVAR-1, Run: 064, F, 220, 1, 0, 0, 0, 0, 114, 0, 1, 54, 0
INVAR-1, Run: 065, F, 215, 0, 0, 0, 0, 0, 112, 0, 1, 54, 0
INVAR-1, Run: 066, F, 247, 0, 0, 0, 0, 0, 128, 0, 1, 54, 0
INVAR-1, Run: 067, F, 216, 1, 0, 0, 0, 0, 112, 0, 1, 54, 0
INVAR-1, Run: 068, F, 203, 2, 0, 0, 0, 0, 105, 0, 1, 54, 0
INVAR-1, Run: 069, F, 168, 3, 0, 0, 0, 0, 87, 0, 1, 54, 0
INVAR-1, Run: 070, F, 190, 1, 0, 0, 0, 0, 99, 0, 1, 54, 0
INVAR-1, Run: 071, F, 224, 3, 0, 0, 0, 0, 115, 0, 1, 54, 0
INVAR-1, Run: 072, F, 197, 6, 0, 0, 0, 0, 100, 0, 1, 54, 0
INVAR-1, Run: 073, F, 203, 2, 0, 0, 0, 0, 105, 0, 1, 54, 0
INVAR-1, Run: 074, F, 205, 0, 0, 0, 0, 0, 107, 0, 1, 54, 0
INVAR-1, Run: 075, F, 231, 2, 0, 0, 0, 0, 119, 0, 1, 54, 0
INVAR-1, Run: 076, F, 173, 0, 0, 0, 0, 0, 91, 0, 1, 54, 0
INVAR-1, Run: 077, F, 221, 0, 0, 0, 0, 0, 115, 0, 1, 54, 0
INVAR-1, Run: 078, F, 223, 0, 0, 0, 0, 0, 116, 0, 1, 54, 0
INVAR-1, Run: 079, F, 238, 1, 0, 0, 0, 0, 123, 0, 1, 54, 0
INVAR-1, Run: 080, F, 204, 1, 0, 0, 0, 0, 106, 0, 1, 54, 0
INVAR-1, Run: 081, F, 219, 0, 0, 0, 0, 0, 114, 0, 1, 54, 0
INVAR-1, Run: 082, F, 221, 0, 0, 0, 0, 0, 115, 0, 1, 54, 0
INVAR-1, Run: 083, F, 212, 1, 0, 0, 0, 0, 110, 0, 1, 54, 0
INVAR-1, Run: 084, F, 212, 1, 0, 0, 0, 0, 110, 0, 1, 54, 0
INVAR-1, Run: 085, F, 179, 0, 0, 0, 0, 0, 94, 0, 1, 54, 0
INVAR-1, Run: 086, F, 217, 0, 0, 0, 0, 0, 113, 0, 1, 54, 0
INVAR-1, Run: 087, F, 209, 2, 0, 0, 0, 0, 108, 0, 1, 54, 0
INVAR-1, Run: 088, F, 215, 0, 0, 0, 0, 0, 112, 0, 1, 54, 0
INVAR-1, Run: 089, F, 204, 1, 0, 0, 0, 0, 106, 0, 1, 54, 0
INVAR-1, Run: 090, F, 203, 2, 0, 0, 0, 0, 105, 0, 1, 54, 0
INVAR-1, Run: 091, F, 192, 1, 0, 0, 0, 0, 100, 0, 1, 54, 0
INVAR-1, Run: 092, F, 189, 0, 0, 0, 0, 0, 99, 0, 1, 54, 0
INVAR-1, Run: 093, F, 208, 1, 0, 0, 0, 0, 108, 0, 1, 54, 0
INVAR-1, Run: 094, F, 233, 2, 0, 0, 0, 0, 120, 0, 1, 54, 0
INVAR-1, Run: 095, F, 208, 1, 0, 0, 0, 0, 108, 0, 1, 54, 0
INVAR-1, Run: 096, F, 202, 1, 0, 0, 0, 0, 105, 0, 1, 54, 0
INVAR-1, Run: 097, F, 179, 0, 0, 0, 0, 0, 94, 0, 1, 54, 0
INVAR-1, Run: 098, F, 222, 1, 0, 0, 0, 0, 115, 0, 1, 54, 0
INVAR-1, Run: 099, F, 223, 2, 0, 0, 0, 0, 115, 0, 1, 54, 0
INVAR-1, Run: 100, F, 212, 1, 0, 0, 0, 0, 110, 0, 1, 54, 0
INVAR-10, Run: 001, F, 278, 0, 0, 0, 0, 0, 189, 0, 1, 600, 0
INVAR-10, Run: 002, F, 322, 0, 0, 0, 0, 0, 211, 0, 1, 600, 0
INVAR-10, Run: 003, F, 320, 2, 0, 0, 0, 0, 209, 0, 1, 600, 0
INVAR-10, Run: 004, F, 294, 2, 0, 0, 0, 0, 196, 0, 1, 600, 0
INVAR-10, Run: 005, F, 313, 1, 0, 0, 0, 0, 206, 0, 1, 600, 0
INVAR-10, Run: 006, F, 312, 0, 0, 0, 0, 0, 206, 0, 1, 600, 0
INVAR-10, Run: 007, F, 288, 0, 0, 0, 0, 0, 194, 0, 1, 600, 0
INVAR-10, Run: 008, F, 299, 1, 0, 0, 0, 0, 199, 0, 1, 600, 0
INVAR-10, Run: 009, F, 296, 2, 0, 0, 0, 0, 197, 0, 1, 600, 0
INVAR-10, Run: 010, F, 306, 0, 0, 0, 0, 0, 203, 0, 1, 600, 0
INVAR-10, Run: 011, F, 290, 2, 0, 0, 0, 0, 194, 0, 1, 600, 0
INVAR-10, Run: 012, F, 277, 1, 0, 0, 0, 0, 188, 0, 1, 600, 0
INVAR-10, Run: 013, F, 307, 1, 0, 0, 0, 0, 203, 0, 1, 600, 0
INVAR-10, Run: 014, F, 325, 3, 0, 0, 0, 0, 211, 0, 1, 600, 0
INVAR-10, Run: 015, F, 265, 1, 0, 0, 0, 0, 182, 0, 1, 600, 0
INVAR-10, Run: 016, F, 301, 1, 0, 0, 0, 0, 200, 0, 1, 600, 0
INVAR-10, Run: 017, F, 303, 1, 0, 0, 0, 0, 201, 0, 1, 600, 0
INVAR-10, Run: 018, F, 300, 0, 0, 0, 0, 0, 200, 0, 1, 600, 0
INVAR-10, Run: 019, F, 279, 1, 0, 0, 0, 0, 189, 0, 1, 600, 0
INVAR-10, Run: 020, F, 263, 1, 0, 0, 0, 0, 181, 0, 1, 600, 0
INVAR-10, Run: 021, F, 301, 1, 0, 0, 0, 0, 200, 0, 1, 600, 0
INVAR-10, Run: 022, F, 316, 2, 0, 0, 0, 0, 207, 0, 1, 600, 0
INVAR-10, Run: 023, F, 300, 0, 0, 0, 0, 0, 200, 0, 1, 600, 0
INVAR-10, Run: 024, F, 311, 1, 0, 0, 0, 0, 205, 0, 1, 600, 0
INVAR-10, Run: 025, F, 292, 0, 0, 0, 0, 0, 196, 0, 1, 600, 0
INVAR-10, Run: 026, F, 307, 1, 0, 0, 0, 0, 203, 0, 1, 600, 0
INVAR-10, Run: 027, F, 302, 0, 0, 0, 0, 0, 201, 0, 1, 600, 0
INVAR-10, Run: 028, F, 279, 1, 0, 0, 0, 0, 189, 0, 1, 600, 0
INVAR-10, Run: 029, F, 288, 0, 0, 0, 0, 0, 194, 0, 1, 600, 0
INVAR-10, Run: 030, F, 312, 0, 0, 0, 0, 0, 206, 0, 1, 600, 0
INVAR-10, Run: 031, F, 301, 1, 0, 0, 0, 0, 200, 0, 1, 600, 0
