Input Number, Run_Number, Result@ 100, Y, X1, H, M, PO, CE, D, CO, PE, A, B
INVAR-1, Run: 001, F, 0, 0, 0, 0, 0, 9, 0, 40, 1, 14, 0
INVAR-1, Run: 002, F, 0, 0, 0, 0, 0, 9, 0, 9, 1, 45, 0
INVAR-1, Run: 003, F, 0, 0, 0, 0, 0, 9, 0, 20, 1, 34, 0
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 005, F, 0, 0, 0, 0, 0, 9, 0, 13, 1, 41, 0
INVAR-1, Run: 006, F, 0, 0, 0, 0, 0, 9, 0, 13, 1, 41, 0
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 9, 0, 3, 1, 51, 0
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 9, 0, 40, 1, 14, 0
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0
INVAR-1, Run: 010, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0
INVAR-1, Run: 012, F, 0, 0, 0, 0, 0, 9, 0, 4, 1, 50, 0
INVAR-1, Run: 013, F, 0, 0, 0, 0, 0, 9, 0, 4, 1, 50, 0
INVAR-1, Run: 014, F, 0, 0, 0, 0, 0, 9, 0, 12, 1, 42, 0
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 016, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 9, 0, 10, 1, 44, 0
INVAR-1, Run: 018, F, 0, 0, 0, 0, 0, 9, 0, 1, 1, 53, 0
INVAR-1, Run: 019, F, 0, 0, 0, 0, 0, 9, 0, 41, 1, 13, 0
INVAR-1, Run: 020, F, 0, 0, 0, 0, 0, 9, 0, 9, 1, 45, 0
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 022, F, 0, 0, 0, 0, 0, 9, 0, 32, 1, 22, 0
INVAR-1, Run: 023, F, 0, 0, 0, 0, 0, 9, 0, 13, 1, 41, 0
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 025, F, 0, 0, 0, 0, 0, 9, 0, 23, 1, 31, 0
INVAR-1, Run: 026, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0
INVAR-1, Run: 027, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0
INVAR-1, Run: 028, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0
