Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A4,INVAR-1,100,0,0,0,0,0
A4,INVAR-10,100,0,0,0,0,0
A4,INVAR-2,100,0,0,0,0,0
A4,INVAR-3,100,0,0,0,0,0
A4,INVAR-4,100,33,0,0,0,33
A4,INVAR-5,100,29,0,0,0,29
A4,INVAR-6,100,34,0,0,0,34
A4,INVAR-7,100,0,0,0,0,0
A4,INVAR-8,100,0,0,0,0,0
A4,INVAR-9,100,0,0,0,0,0
A5,INVAR-1,100,0,0,0,0,0
A5,INVAR-10,100,0,0,0,0,0
A5,INVAR-2,100,0,0,0,0,0
A5,INVAR-3,100,0,0,0,0,0
A5,INVAR-4,100,90,0,0,0,90
A5,INVAR-5,100,90,0,0,0,90
A5,INVAR-6,100,91,0,0,0,91
A5,INVAR-7,100,0,0,0,0,0
A5,INVAR-8,100,0,0,0,0,0
A5,INVAR-9,100,0,0,0,0,0
A6,INVAR-1,100,20,0,0,0,20
A6,INVAR-10,100,13,0,0,0,13
A6,INVAR-2,100,13,0,0,0,13
A6,INVAR-3,100,12,0,0,0,12
A6,INVAR-4,100,90,0,0,0,90
A6,INVAR-5,100,90,0,0,0,90
A6,INVAR-6,100,91,0,0,0,91
A6,INVAR-7,100,0,0,0,0,0
A6,INVAR-8,100,14,0,0,0,14
A6,INVAR-9,100,13,0,0,0,13
A7,INVAR-1,100,0,0,0,0,0
A7,INVAR-10,100,0,0,0,0,0
A7,INVAR-2,100,0,0,0,0,0
A7,INVAR-3,100,0,0,0,0,0
A7,INVAR-4,100,0,0,0,0,0
A7,INVAR-5,100,0,0,0,0,0
A7,INVAR-6,100,0,0,0,0,0
A7,INVAR-7,100,0,0,0,0,0
A7,INVAR-8,100,0,0,0,0,0
A7,INVAR-9,100,0,0,0,0,0
A8,INVAR-1,100,0,0,0,0,0
A8,INVAR-10,100,0,0,0,0,0
A8,INVAR-2,100,0,0,0,0,0
A8,INVAR-3,100,0,0,0,0,0
A8,INVAR-4,100,33,0,0,0,33
A8,INVAR-5,100,29,0,0,0,29
A8,INVAR-6,100,34,0,0,0,34
A8,INVAR-7,100,0,0,0,0,0
A8,INVAR-8,100,0,0,0,0,0
A8,INVAR-9,100,0,0,0,0,0
A9,INVAR-1,100,0,0,0,0,0
A9,INVAR-10,100,0,0,0,0,0
A9,INVAR-2,100,0,0,0,0,0
A9,INVAR-3,100,0,0,0,0,0
A9,INVAR-4,100,33,0,0,0,33
A9,INVAR-5,100,29,0,0,0,29
A9,INVAR-6,100,34,0,0,0,34
A9,INVAR-7,100,0,0,0,0,0
A9,INVAR-8,100,0,0,0,0,0
A9,INVAR-9,100,0,0,0,0,0
