Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B
INVAR-1, Run: 001, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 002, P, 0, 12, 0, 0, 0, 0, 52, 14, 52, 0, 0
INVAR-1, Run: 003, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 004, P, 0, 19, 0, 0, 0, 0, 43, 13, 43, 0, 0
INVAR-1, Run: 005, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 006, P, 0, 41, 0, 0, 0, 0, 17, 11, 17, 0, 0
INVAR-1, Run: 007, P, 0, 19, 0, 0, 0, 0, 43, 13, 43, 0, 0
INVAR-1, Run: 008, P, 0, 17, 0, 0, 0, 0, 41, 11, 41, 0, 0
INVAR-1, Run: 009, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 010, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 011, P, 0, 21, 0, 0, 0, 0, 39, 12, 39, 0, 0
INVAR-1, Run: 012, P, 0, 6, 0, 0, 0, 0, 52, 11, 52, 0, 0
INVAR-1, Run: 013, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 014, P, 0, 4, 0, 0, 0, 0, 58, 13, 58, 0, 0
INVAR-1, Run: 015, P, 0, 45, 0, 0, 0, 0, 15, 12, 15, 0, 0
INVAR-1, Run: 016, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 017, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 018, P, 0, 22, 0, 0, 0, 0, 38, 12, 38, 0, 0
INVAR-1, Run: 019, P, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0
INVAR-1, Run: 020, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 021, P, 0, 38, 0, 0, 0, 0, 20, 11, 20, 0, 0
INVAR-1, Run: 022, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 023, P, 0, 13, 0, 0, 0, 0, 47, 12, 47, 0, 0
INVAR-1, Run: 024, P, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0
INVAR-1, Run: 025, P, 0, 26, 0, 0, 0, 0, 34, 12, 34, 0, 0
INVAR-1, Run: 026, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 027, P, 0, 15, 0, 0, 0, 0, 43, 11, 43, 0, 0
INVAR-1, Run: 028, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 029, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 030, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 031, P, 0, 31, 0, 0, 0, 0, 31, 13, 31, 0, 0
INVAR-1, Run: 032, P, 0, 54, 0, 0, 0, 3, 11, 10, 8, 0, 0
INVAR-1, Run: 033, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 034, P, 0, 45, 0, 0, 0, 0, 17, 13, 17, 0, 0
INVAR-1, Run: 035, P, 0, 23, 0, 0, 0, 0, 37, 12, 37, 0, 0
INVAR-1, Run: 036, P, 0, 44, 0, 0, 0, 0, 14, 11, 14, 0, 0
INVAR-1, Run: 037, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 038, P, 0, 23, 0, 0, 0, 0, 39, 13, 39, 0, 0
INVAR-1, Run: 039, P, 0, 33, 0, 0, 0, 0, 27, 12, 27, 0, 0
INVAR-1, Run: 040, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 041, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 042, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 043, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 044, P, 0, 14, 0, 0, 0, 0, 46, 12, 46, 0, 0
INVAR-1, Run: 045, P, 0, 29, 0, 0, 0, 0, 31, 12, 31, 0, 0
INVAR-1, Run: 046, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 047, P, 0, 48, 0, 0, 0, 0, 8, 10, 8, 0, 0
INVAR-1, Run: 048, P, 0, 4, 0, 0, 0, 0, 54, 11, 54, 0, 0
