Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A
INVAR-1, Run: 001, P, 32, 0, 1, 0, 0, 0, 0, 0, 37, 9, 13
INVAR-1, Run: 002, P, 3, 0, 0, 0, 0, 0, 0, 1, 10, 8, 39
INVAR-1, Run: 003, P, 3, 0, 1, 0, 0, 0, 0, 0, 8, 9, 42
INVAR-1, Run: 004, P, 35, 0, 1, 0, 0, 0, 0, 0, 38, 9, 14
INVAR-1, Run: 005, P, 13, 0, 0, 0, 0, 0, 0, 0, 17, 9, 33
INVAR-1, Run: 006, P, 28, 0, 1, 0, 0, 0, 0, 0, 35, 9, 13
INVAR-1, Run: 007, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
INVAR-1, Run: 008, P, 19, 0, 1, 0, 0, 0, 0, 0, 24, 9, 26
INVAR-1, Run: 009, P, 16, 0, 1, 0, 0, 0, 0, 0, 21, 9, 29
INVAR-1, Run: 010, P, 26, 0, 0, 0, 0, 0, 0, 0, 32, 9, 16
INVAR-1, Run: 011, P, 0, 1, 1, 0, 0, 0, 0, 9, 16, 0, 41
INVAR-1, Run: 012, P, 4, 0, 0, 0, 0, 0, 0, 1, 9, 8, 42
INVAR-1, Run: 013, P, 1, 0, 0, 0, 0, 0, 0, 1, 6, 8, 45
INVAR-1, Run: 014, P, 4, 0, 1, 0, 0, 0, 0, 0, 9, 9, 41
INVAR-1, Run: 015, P, 27, 0, 0, 0, 0, 0, 0, 0, 33, 9, 15
INVAR-1, Run: 016, P, 5, 0, 0, 0, 0, 0, 0, 2, 13, 7, 37
INVAR-1, Run: 017, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
INVAR-1, Run: 018, P, 17, 0, 0, 0, 0, 0, 0, 0, 23, 9, 25
INVAR-1, Run: 019, P, 15, 0, 1, 0, 0, 0, 0, 0, 22, 9, 26
INVAR-1, Run: 020, P, 20, 0, 1, 0, 0, 0, 0, 0, 25, 9, 25
INVAR-1, Run: 021, P, 19, 0, 0, 0, 0, 0, 0, 0, 25, 9, 23
INVAR-1, Run: 022, P, 2, 0, 1, 0, 0, 0, 0, 1, 8, 8, 43
INVAR-1, Run: 023, P, 3, 0, 1, 0, 0, 0, 0, 0, 6, 9, 46
INVAR-1, Run: 024, P, 6, 0, 1, 0, 0, 0, 0, 2, 11, 7, 43
INVAR-1, Run: 025, P, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49
INVAR-1, Run: 026, P, 14, 0, 0, 0, 0, 0, 0, 0, 18, 9, 32
INVAR-1, Run: 027, P, 8, 0, 1, 0, 0, 0, 0, 1, 14, 8, 37
INVAR-1, Run: 028, P, 5, 0, 1, 0, 0, 0, 0, 2, 12, 7, 40
INVAR-1, Run: 029, P, 5, 0, 1, 0, 0, 0, 0, 1, 13, 8, 36
INVAR-1, Run: 030, P, 23, 0, 1, 0, 0, 0, 0, 0, 28, 9, 22
INVAR-1, Run: 031, P, 14, 0, 0, 0, 0, 0, 0, 0, 18, 9, 32
INVAR-1, Run: 032, P, 16, 0, 1, 0, 0, 0, 0, 0, 21, 9, 29
INVAR-1, Run: 033, P, 38, 0, 0, 0, 0, 0, 0, 0, 42, 9, 8
INVAR-1, Run: 034, P, 2, 0, 0, 0, 0, 0, 0, 2, 10, 7, 40
INVAR-1, Run: 035, P, 12, 0, 1, 0, 0, 0, 0, 0, 17, 9, 33
INVAR-1, Run: 036, P, 7, 0, 0, 0, 0, 0, 0, 0, 13, 9, 35
INVAR-1, Run: 037, P, 13, 0, 1, 0, 0, 0, 0, 0, 20, 9, 28
INVAR-1, Run: 038, P, 18, 0, 0, 0, 0, 0, 0, 0, 22, 9, 28
INVAR-1, Run: 039, P, 2, 0, 1, 0, 0, 0, 0, 0, 7, 9, 43
INVAR-1, Run: 040, P, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46
INVAR-1, Run: 041, P, 9, 0, 0, 0, 0, 0, 0, 0, 13, 9, 37
INVAR-1, Run: 042, P, 0, 1, 0, 0, 0, 0, 0, 9, 15, 0, 42
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 46
INVAR-1, Run: 044, P, 0, 1, 1, 0, 0, 0, 0, 9, 16, 0, 41
INVAR-1, Run: 045, P, 17, 0, 1, 0, 0, 0, 0, 0, 20, 9, 32
INVAR-1, Run: 046, P, 30, 0, 1, 0, 0, 0, 0, 0, 35, 9, 15
INVAR-1, Run: 047, P, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46
INVAR-1, Run: 048, P, 17, 0, 1, 0, 0, 0, 0, 0, 22, 9, 28
INVAR-1, Run: 049, P, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49
INVAR-1, Run: 050, P, 2, 0, 1, 0, 0, 0, 0, 1, 8, 8, 43
INVAR-1, Run: 051, P, 17, 0, 1, 0, 0, 0, 0, 0, 22, 9, 28
INVAR-1, Run: 052, P, 27, 0, 0, 0, 0, 0, 0, 0, 29, 9, 23
INVAR-1, Run: 053, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
INVAR-1, Run: 054, P, 11, 0, 1, 0, 0, 0, 0, 0, 18, 9, 30
INVAR-1, Run: 055, P, 5, 0, 1, 0, 0, 0, 0, 1, 11, 8, 40
INVAR-1, Run: 056, P, 30, 0, 0, 0, 0, 0, 0, 0, 36, 9, 12
INVAR-1, Run: 057, P, 27, 0, 1, 0, 0, 0, 0, 0, 34, 9, 14
INVAR-1, Run: 058, P, 6, 0, 0, 0, 0, 0, 0, 1, 13, 8, 36
INVAR-1, Run: 059, P, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46
INVAR-1, Run: 060, P, 17, 0, 1, 0, 0, 0, 0, 0, 20, 9, 32
INVAR-1, Run: 061, P, 0, 1, 0, 0, 0, 0, 0, 9, 15, 0, 42
INVAR-1, Run: 062, P, 0, 1, 0, 0, 0, 0, 0, 9, 11, 0, 50
INVAR-1, Run: 063, P, 6, 0, 0, 0, 0, 0, 0, 2, 12, 7, 40
INVAR-1, Run: 064, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
INVAR-1, Run: 065, P, 34, 0, 0, 0, 0, 0, 0, 0, 36, 9, 16
INVAR-1, Run: 066, P, 29, 0, 1, 0, 0, 0, 0, 0, 34, 9, 16
INVAR-1, Run: 067, P, 44, 0, 1, 0, 0, 0, 0, 0, 47, 9, 5
INVAR-1, Run: 068, P, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46
INVAR-1, Run: 069, P, 24, 0, 0, 0, 0, 0, 0, 0, 30, 9, 18
INVAR-1, Run: 070, P, 7, 0, 1, 0, 0, 0, 0, 1, 15, 8, 34
INVAR-1, Run: 071, P, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46
INVAR-1, Run: 072, P, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46
INVAR-1, Run: 073, P, 8, 0, 1, 0, 0, 0, 0, 0, 13, 9, 37
INVAR-1, Run: 074, P, 32, 0, 1, 0, 0, 0, 0, 0, 37, 9, 13
INVAR-1, Run: 075, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
INVAR-1, Run: 076, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
INVAR-1, Run: 077, P, 41, 0, 1, 0, 0, 0, 0, 0, 46, 9, 4
INVAR-1, Run: 078, P, 15, 0, 1, 0, 0, 0, 0, 0, 20, 9, 30
INVAR-1, Run: 079, P, 4, 0, 0, 0, 0, 0, 0, 0, 8, 9, 42
INVAR-1, Run: 080, P, 33, 0, 0, 0, 0, 0, 0, 0, 37, 9, 13
INVAR-1, Run: 081, P, 16, 0, 0, 0, 0, 0, 0, 0, 20, 9, 30
INVAR-1, Run: 082, P, 19, 0, 0, 0, 0, 0, 0, 0, 23, 9, 27
INVAR-1, Run: 083, P, 21, 0, 1, 0, 0, 0, 0, 0, 26, 9, 24
INVAR-1, Run: 084, P, 22, 0, 0, 0, 0, 0, 0, 0, 26, 9, 24
INVAR-1, Run: 085, P, 9, 0, 1, 0, 0, 0, 0, 1, 17, 8, 32
INVAR-1, Run: 086, P, 19, 0, 0, 0, 0, 0, 0, 0, 25, 9, 23
INVAR-1, Run: 087, P, 0, 1, 0, 0, 0, 0, 0, 9, 15, 0, 42
INVAR-1, Run: 088, P, 0, 1, 1, 0, 0, 0, 0, 9, 10, 0, 53
INVAR-1, Run: 089, P, 16, 0, 1, 0, 0, 0, 0, 0, 23, 9, 25
INVAR-1, Run: 090, P, 8, 0, 1, 0, 0, 0, 0, 0, 15, 9, 33
INVAR-1, Run: 091, P, 5, 0, 1, 0, 0, 0, 0, 0, 10, 9, 40
INVAR-1, Run: 092, P, 36, 0, 0, 0, 0, 0, 0, 0, 42, 9, 6
INVAR-1, Run: 093, P, 21, 0, 0, 0, 0, 0, 0, 0, 27, 9, 21
INVAR-1, Run: 094, P, 0, 1, 0, 0, 0, 0, 0, 9, 15, 0, 42
INVAR-1, Run: 095, P, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49
INVAR-1, Run: 096, P, 15, 0, 1, 0, 0, 0, 0, 0, 20, 9, 30
INVAR-1, Run: 097, P, 13, 0, 1, 0, 0, 0, 0, 0, 18, 9, 32
INVAR-1, Run: 098, P, 10, 0, 1, 0, 0, 0, 0, 0, 15, 9, 35
INVAR-1, Run: 099, P, 25, 0, 0, 0, 0, 0, 0, 0, 29, 9, 21
INVAR-1, Run: 100, P, 3, 0, 1, 0, 0, 0, 0, 1, 7, 8, 46
INVAR-10, Run: 001, P, 14, 0, 1, 0, 0, 0, 0, 1, 68, 99, 481
INVAR-10, Run: 002, P, 379, 0, 1, 0, 0, 0, 0, 0, 430, 100, 120
INVAR-10, Run: 003, P, 24, 0, 1, 0, 0, 0, 0, 4, 79, 96, 475
INVAR-10, Run: 004, P, 113, 0, 1, 0, 0, 0, 0, 0, 164, 100, 386
INVAR-10, Run: 005, P, 244, 0, 1, 0, 0, 0, 0, 0, 295, 100, 255
INVAR-10, Run: 006, P, 153, 0, 1, 0, 0, 0, 0, 0, 198, 100, 358
INVAR-10, Run: 007, P, 0, 1, 0, 0, 0, 0, 0, 100, 140, 0, 520
INVAR-10, Run: 008, P, 136, 0, 1, 0, 0, 0, 0, 2, 185, 98, 371
INVAR-10, Run: 009, P, 0, 1, 1, 0, 0, 0, 0, 100, 149, 0, 503
INVAR-10, Run: 010, P, 303, 0, 0, 0, 0, 0, 0, 0, 349, 100, 205
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 0, 0, 11, 59, 89, 504
INVAR-10, Run: 012, P, 175, 0, 1, 0, 0, 0, 0, 0, 220, 100, 336
