Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B
INVAR-1, Run: 001, P, 189, 0, 0, 0, 0, 0, 99, 0, 1, 54, 0
INVAR-1, Run: 002, P, 203, 0, 0, 0, 0, 0, 106, 0, 1, 54, 0
INVAR-1, Run: 003, P, 223, 0, 0, 0, 0, 0, 116, 0, 1, 54, 0
INVAR-1, Run: 004, P, 199, 0, 0, 0, 0, 0, 104, 0, 1, 54, 0
INVAR-1, Run: 005, P, 236, 1, 0, 0, 0, 0, 122, 0, 1, 54, 0
INVAR-1, Run: 006, P, 200, 1, 0, 0, 0, 0, 104, 0, 1, 54, 0
INVAR-1, Run: 007, P, 205, 0, 0, 0, 0, 0, 107, 0, 1, 54, 0
INVAR-1, Run: 008, P, 259, 0, 0, 0, 0, 0, 134, 0, 1, 54, 0
INVAR-1, Run: 009, P, 215, 0, 0, 0, 0, 0, 112, 0, 1, 54, 0
INVAR-1, Run: 010, P, 222, 1, 0, 0, 0, 0, 115, 0, 1, 54, 0
INVAR-1, Run: 011, P, 218, 1, 0, 0, 0, 0, 113, 0, 1, 54, 0
INVAR-1, Run: 012, P, 214, 3, 0, 0, 0, 0, 110, 0, 1, 54, 0
INVAR-1, Run: 013, P, 203, 0, 0, 0, 0, 0, 106, 0, 1, 54, 0
INVAR-1, Run: 014, P, 216, 1, 0, 0, 0, 0, 112, 0, 1, 54, 0
INVAR-1, Run: 015, P, 211, 0, 0, 0, 0, 0, 110, 0, 1, 54, 0
INVAR-1, Run: 016, P, 247, 2, 0, 0, 0, 0, 127, 0, 1, 54, 0
INVAR-1, Run: 017, P, 207, 0, 0, 0, 0, 0, 108, 0, 1, 54, 0
INVAR-1, Run: 018, P, 205, 2, 0, 0, 0, 0, 106, 0, 1, 54, 0
INVAR-1, Run: 019, P, 210, 1, 0, 0, 0, 0, 109, 0, 1, 54, 0
INVAR-1, Run: 020, P, 224, 1, 0, 0, 0, 0, 116, 0, 1, 54, 0
INVAR-1, Run: 021, P, 241, 0, 0, 0, 0, 0, 125, 0, 1, 54, 0
INVAR-1, Run: 022, P, 183, 0, 0, 0, 0, 0, 96, 0, 1, 54, 0
INVAR-1, Run: 023, P, 200, 1, 0, 0, 0, 0, 104, 0, 1, 54, 0
INVAR-1, Run: 024, P, 236, 1, 0, 0, 0, 0, 122, 0, 1, 54, 0
INVAR-1, Run: 025, P, 181, 0, 0, 0, 0, 0, 95, 0, 1, 54, 0
INVAR-1, Run: 026, P, 242, 1, 0, 0, 0, 0, 125, 0, 1, 54, 0
INVAR-1, Run: 027, P, 216, 1, 0, 0, 0, 0, 112, 0, 1, 54, 0
