Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B
1, Run: 001, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 370, 1
1, Run: 002, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 342, 0
1, Run: 003, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 378, 0
1, Run: 004, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 306, 0
1, Run: 005, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 324, 0
1, Run: 006, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 352, 1
1, Run: 007, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 352, 1
1, Run: 008, P, 6, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1
1, Run: 009, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 322, 1
1, Run: 010, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 304, 1
1, Run: 011, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 414, 0
1, Run: 012, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 360, 0
1, Run: 013, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0
1, Run: 014, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0
1, Run: 015, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 348, 0
1, Run: 016, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 334, 1
1, Run: 017, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 390, 0
1, Run: 018, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0
1, Run: 019, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1
1, Run: 020, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 388, 1
1, Run: 021, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 354, 0
1, Run: 022, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 352, 1
1, Run: 023, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 378, 0
1, Run: 024, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 366, 0
1, Run: 025, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0
1, Run: 026, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 384, 0
1, Run: 027, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1
1, Run: 028, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 304, 1
1, Run: 029, P, 4, 0, 0, 0, 9, 9, 0, 0, 1, 388, 1
1, Run: 030, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 312, 0
1, Run: 031, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 352, 1
1, Run: 032, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 384, 0
1, Run: 033, P, 3, 0, 0, 0, 9, 9, 0, 0, 1, 370, 1
1, Run: 034, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1
1, Run: 035, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 352, 1
1, Run: 036, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0
1, Run: 037, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 310, 1
1, Run: 038, P, 3, 0, 0, 0, 9, 9, 0, 0, 1, 348, 0
1, Run: 039, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 324, 0
1, Run: 040, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1
1, Run: 041, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 336, 0
1, Run: 042, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1
