Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B
1, Run: 001, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 002, P, 34, 0, 0, 0, 0, 0, 0, 19, 29, 1, 0
1, Run: 003, P, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0
1, Run: 004, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
1, Run: 005, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
1, Run: 006, P, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0
1, Run: 007, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
1, Run: 008, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 009, P, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
1, Run: 010, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 011, P, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
1, Run: 012, P, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0
1, Run: 013, P, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0
1, Run: 014, P, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
1, Run: 015, P, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
1, Run: 016, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 017, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 018, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
1, Run: 019, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
1, Run: 020, P, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
1, Run: 021, P, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
1, Run: 022, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
1, Run: 023, P, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
1, Run: 024, P, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
1, Run: 025, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 026, P, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
1, Run: 027, P, 22, 0, 0, 0, 0, 0, 0, 25, 41, 1, 0
1, Run: 028, P, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
1, Run: 029, P, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
1, Run: 030, P, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
1, Run: 031, P, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
1, Run: 032, P, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
1, Run: 033, P, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0
1, Run: 034, P, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
1, Run: 035, P, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
1, Run: 036, P, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0
1, Run: 037, P, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
1, Run: 038, P, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0
1, Run: 039, P, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0
1, Run: 040, P, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0
1, Run: 041, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
1, Run: 042, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
1, Run: 043, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
1, Run: 044, P, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0
1, Run: 045, P, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
1, Run: 046, P, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
1, Run: 047, P, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0
1, Run: 048, P, 36, 0, 0, 0, 0, 0, 0, 18, 27, 1, 0
1, Run: 049, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
1, Run: 050, P, 40, 0, 0, 0, 0, 0, 0, 16, 23, 1, 0
1, Run: 051, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
1, Run: 052, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
1, Run: 053, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 054, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 055, P, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
1, Run: 056, P, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0
1, Run: 057, P, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
1, Run: 058, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
1, Run: 059, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
1, Run: 060, P, 22, 0, 0, 0, 0, 0, 0, 25, 41, 1, 0
1, Run: 061, P, 22, 0, 0, 0, 0, 0, 0, 25, 41, 1, 0
1, Run: 062, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
1, Run: 063, P, 0, 0, 0, 0, 0, 0, 0, 36, 63, 1, 0
1, Run: 064, P, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0
1, Run: 065, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 066, P, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
1, Run: 067, P, 0, 0, 0, 0, 0, 0, 0, 36, 63, 1, 0
1, Run: 068, P, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
1, Run: 069, P, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0
1, Run: 070, P, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
1, Run: 071, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 072, P, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
1, Run: 073, P, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
1, Run: 074, P, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
1, Run: 075, P, 32, 0, 0, 0, 0, 0, 0, 20, 31, 1, 0
1, Run: 076, P, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0
1, Run: 077, P, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0
1, Run: 078, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 079, P, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
1, Run: 080, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 081, P, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0
1, Run: 082, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
1, Run: 083, P, 30, 0, 0, 0, 0, 0, 0, 21, 33, 1, 0
1, Run: 084, P, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
1, Run: 085, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 086, P, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
1, Run: 087, P, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0
1, Run: 088, P, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
1, Run: 089, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
1, Run: 090, P, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
1, Run: 091, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
1, Run: 092, P, 36, 0, 0, 0, 0, 0, 0, 18, 27, 1, 0
1, Run: 093, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
1, Run: 094, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
1, Run: 095, P, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
1, Run: 096, P, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
1, Run: 097, P, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0
1, Run: 098, P, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0
1, Run: 099, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
1, Run: 100, P, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0
10, Run: 001, P, 2, 0, 0, 0, 0, 0, 0, 399, 698, 1, 0
10, Run: 002, P, 128, 0, 0, 0, 0, 0, 0, 336, 572, 1, 0
10, Run: 003, P, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0
10, Run: 004, P, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0
10, Run: 005, P, 16, 0, 0, 0, 0, 0, 0, 392, 684, 1, 0
10, Run: 006, P, 6, 0, 0, 0, 0, 0, 0, 397, 694, 1, 0
10, Run: 007, P, 2, 0, 0, 0, 0, 0, 0, 399, 698, 1, 0
10, Run: 008, P, 44, 0, 0, 0, 0, 0, 0, 378, 656, 1, 0
10, Run: 009, P, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0
10, Run: 010, P, 20, 0, 0, 0, 0, 0, 0, 390, 680, 1, 0
10, Run: 011, P, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0
10, Run: 012, P, 28, 0, 0, 0, 0, 0, 0, 386, 672, 1, 0
10, Run: 013, P, 90, 0, 0, 0, 0, 0, 0, 355, 610, 1, 0
10, Run: 014, P, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0
10, Run: 015, P, 32, 0, 0, 0, 0, 0, 0, 384, 668, 1, 0
10, Run: 016, P, 44, 0, 0, 0, 0, 0, 0, 378, 656, 1, 0
10, Run: 017, P, 16, 0, 0, 0, 0, 0, 0, 392, 684, 1, 0
10, Run: 018, P, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0
10, Run: 019, P, 12, 0, 0, 0, 0, 0, 0, 394, 688, 1, 0
10, Run: 020, P, 14, 0, 0, 0, 0, 0, 0, 393, 686, 1, 0
10, Run: 021, P, 44, 0, 0, 0, 0, 0, 0, 378, 656, 1, 0
10, Run: 022, P, 6, 0, 0, 0, 0, 0, 0, 397, 694, 1, 0
10, Run: 023, P, 2, 0, 0, 0, 0, 0, 0, 399, 698, 1, 0
10, Run: 024, P, 40, 0, 0, 0, 0, 0, 0, 380, 660, 1, 0
10, Run: 025, P, 40, 0, 0, 0, 0, 0, 0, 380, 660, 1, 0
10, Run: 026, P, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0
