Input Number, Run_Number, Result@ 100, CO, D, A, X1, H, M, PO, CE, Y, PE, B
4, Run: 001, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 002, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 003, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 004, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 005, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 006, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 007, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 008, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 009, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 010, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 011, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 012, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 013, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 014, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 015, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 016, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 017, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 018, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 019, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 020, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 021, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 022, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 023, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 024, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 025, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 026, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 027, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 028, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 029, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 030, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 031, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 032, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 033, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 034, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 035, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 036, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 037, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 038, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 039, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 040, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 041, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 042, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 043, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 044, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 045, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 046, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 047, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 048, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 049, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 050, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 051, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 052, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 053, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 054, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 055, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 056, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 057, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 058, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 059, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 060, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 061, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 062, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 063, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 064, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 065, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 066, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 067, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 068, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 069, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 070, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 071, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 072, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 073, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 074, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 075, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 076, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 077, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 078, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 079, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 080, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 081, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 082, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 083, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 084, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 085, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 086, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 087, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 088, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 089, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 090, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 091, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 092, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 093, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 094, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 095, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 096, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 097, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 098, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 099, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
4, Run: 100, F, 118, 0, 0, 0, 1, 0, 1, 0, 137, 0, 1
5, Run: 001, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 002, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 003, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 004, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 005, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 006, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 007, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 008, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 009, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 010, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 011, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 012, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 013, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 014, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 015, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 016, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 017, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 018, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 019, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 020, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 021, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 022, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 023, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 024, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 025, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 026, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 027, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 028, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 029, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 030, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 031, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 032, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 033, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 034, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 035, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 036, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 037, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 038, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 039, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 040, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 041, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 042, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 043, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 044, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 045, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 046, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 047, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 048, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 049, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 050, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 051, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 052, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 053, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 054, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 055, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 056, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 057, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 058, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 059, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 060, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 061, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 062, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 063, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 064, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 065, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 066, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 067, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 068, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 069, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 070, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 071, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 072, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 073, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 074, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 075, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 076, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 077, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 078, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 079, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 080, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 081, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 082, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 083, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 084, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 085, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 086, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 087, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 088, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 089, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 090, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 091, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 092, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 093, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 094, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 095, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 096, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 097, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 098, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 099, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
5, Run: 100, F, 160, 0, 0, 0, 1, 0, 1, 0, 186, 0, 1
6, Run: 001, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 002, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 003, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 004, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 005, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 006, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 007, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 008, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 009, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 010, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 011, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 012, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 013, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 014, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 015, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 016, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 017, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 018, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 019, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 020, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 021, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 022, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 023, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 024, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 025, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 026, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 027, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 028, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 029, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 030, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 031, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 032, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 033, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 034, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 035, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 036, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 037, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 038, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
