Input Number, Run_Number, Result@ 100, X1, H, PO, CE, Y, D, CO, PE, A, M, B
1, Run: 001, F, 18, 3, 1, 47, 47, 649, 0, 3, 0, 0, 0
1, Run: 002, F, 18, 4, 4, 22, 22, 646, 0, 3, 0, 0, 0
1, Run: 003, F, 18, 3, 1, 33, 33, 638, 0, 2, 0, 0, 0
1, Run: 004, F, 18, 4, 2, 26, 26, 672, 0, 3, 0, 0, 0
1, Run: 005, F, 18, 2, 2, 20, 20, 642, 0, 1, 0, 0, 0
1, Run: 006, F, 18, 3, 3, 24, 24, 643, 0, 3, 0, 0, 0
1, Run: 007, F, 18, 2, 2, 17, 17, 648, 0, 1, 0, 0, 0
1, Run: 008, F, 18, 2, 4, 21, 21, 657, 0, 2, 0, 0, 0
1, Run: 009, F, 18, 2, 2, 22, 22, 655, 0, 2, 0, 0, 0
1, Run: 010, F, 18, 1, 1, 41, 41, 633, 0, 3, 0, 0, 0
1, Run: 011, F, 18, 4, 2, 27, 27, 632, 0, 3, 0, 0, 0
1, Run: 012, F, 18, 5, 3, 28, 28, 654, 0, 2, 0, 0, 0
1, Run: 013, F, 18, 3, 3, 27, 27, 664, 0, 2, 0, 0, 0
1, Run: 014, F, 18, 4, 4, 16, 16, 666, 0, 1, 0, 0, 0
1, Run: 015, F, 18, 2, 2, 26, 26, 621, 0, 2, 0, 0, 0
1, Run: 016, F, 18, 2, 2, 17, 17, 646, 0, 1, 0, 0, 0
1, Run: 017, F, 18, 5, 1, 54, 54, 609, 0, 3, 0, 0, 0
1, Run: 018, F, 18, 3, 5, 26, 26, 663, 0, 3, 0, 0, 0
1, Run: 019, F, 18, 5, 3, 27, 27, 635, 0, 3, 0, 0, 0
1, Run: 020, F, 18, 3, 3, 22, 22, 662, 0, 2, 0, 0, 0
1, Run: 021, F, 18, 6, 4, 25, 25, 650, 0, 3, 0, 0, 0
1, Run: 022, F, 18, 2, 2, 38, 38, 636, 0, 3, 0, 0, 0
1, Run: 023, F, 18, 2, 2, 24, 24, 665, 0, 2, 0, 0, 0
1, Run: 024, F, 18, 5, 3, 25, 25, 658, 0, 2, 0, 0, 0
1, Run: 025, F, 18, 2, 4, 28, 28, 650, 0, 3, 0, 0, 0
1, Run: 026, F, 18, 2, 2, 27, 27, 637, 0, 2, 0, 0, 0
1, Run: 027, F, 18, 4, 4, 25, 25, 664, 0, 3, 0, 0, 0
1, Run: 028, F, 18, 3, 3, 29, 29, 637, 0, 3, 0, 0, 0
1, Run: 029, F, 18, 1, 1, 47, 47, 624, 0, 2, 0, 0, 0
1, Run: 030, F, 18, 1, 1, 38, 38, 626, 0, 2, 0, 0, 0
1, Run: 031, F, 18, 3, 3, 31, 31, 648, 0, 4, 0, 0, 0
1, Run: 032, F, 18, 3, 3, 23, 23, 647, 0, 3, 0, 0, 0
1, Run: 033, F, 18, 3, 3, 31, 31, 625, 0, 3, 0, 0, 0
1, Run: 034, F, 18, 4, 4, 26, 26, 654, 0, 3, 0, 0, 0
1, Run: 035, F, 18, 1, 5, 15, 15, 666, 0, 2, 0, 0, 0
1, Run: 036, F, 18, 4, 4, 18, 18, 627, 0, 2, 0, 0, 0
1, Run: 037, F, 18, 1, 3, 24, 24, 615, 0, 3, 0, 0, 0
1, Run: 038, F, 18, 0, 4, 22, 22, 680, 0, 3, 0, 0, 0
1, Run: 039, F, 18, 6, 4, 23, 23, 646, 0, 3, 0, 0, 0
1, Run: 040, F, 18, 6, 6, 18, 18, 656, 0, 3, 0, 0, 0
1, Run: 041, F, 18, 6, 2, 31, 31, 646, 0, 3, 0, 0, 0
1, Run: 042, F, 18, 6, 4, 25, 25, 648, 0, 3, 0, 0, 0
1, Run: 043, F, 18, 4, 4, 25, 25, 654, 0, 3, 0, 0, 0
1, Run: 044, F, 18, 5, 1, 60, 60, 599, 0, 3, 0, 0, 0
1, Run: 045, F, 18, 3, 5, 9, 9, 673, 0, 1, 0, 0, 0
1, Run: 046, F, 18, 2, 2, 25, 25, 658, 0, 3, 0, 0, 0
1, Run: 047, F, 18, 2, 4, 20, 20, 661, 0, 2, 0, 0, 0
1, Run: 048, F, 18, 1, 3, 26, 26, 663, 0, 3, 0, 0, 0
1, Run: 049, F, 18, 2, 4, 16, 16, 667, 0, 2, 0, 0, 0
1, Run: 050, F, 18, 3, 5, 23, 23, 670, 0, 4, 0, 0, 0
1, Run: 051, F, 18, 5, 3, 31, 31, 633, 0, 5, 0, 0, 0
1, Run: 052, F, 18, 6, 4, 12, 12, 654, 0, 1, 0, 0, 0
1, Run: 053, F, 18, 4, 4, 17, 17, 633, 0, 2, 0, 0, 0
1, Run: 054, F, 18, 6, 4, 20, 20, 661, 0, 2, 0, 0, 0
1, Run: 055, F, 18, 6, 4, 21, 21, 645, 0, 2, 0, 0, 0
1, Run: 056, F, 18, 3, 5, 19, 19, 657, 0, 3, 0, 0, 0
1, Run: 057, F, 18, 1, 3, 24, 24, 635, 0, 3, 0, 0, 0
1, Run: 058, F, 18, 3, 3, 26, 26, 629, 0, 3, 0, 0, 0
1, Run: 059, F, 18, 2, 4, 22, 22, 652, 0, 3, 0, 0, 0
1, Run: 060, F, 18, 4, 4, 23, 23, 646, 0, 3, 0, 0, 0
1, Run: 061, F, 18, 0, 2, 37, 37, 625, 0, 2, 0, 0, 0
