Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B
7, Run: 001, P, 101, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 002, P, 90, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 003, P, 101, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 004, P, 102, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 005, P, 107, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 006, P, 97, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 007, P, 109, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 008, P, 92, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 009, P, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 010, P, 123, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 011, P, 92, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 012, P, 107, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 013, P, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 014, P, 105, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 015, P, 112, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 016, P, 99, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 017, P, 93, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 018, P, 79, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 019, P, 96, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 020, P, 107, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 021, P, 106, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 022, P, 95, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 023, P, 101, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 024, P, 104, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 025, P, 95, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 026, P, 88, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 027, P, 99, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 028, P, 93, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 029, P, 110, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 030, P, 93, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 031, P, 104, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 032, P, 99, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 033, P, 84, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 034, P, 107, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 035, P, 96, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 036, P, 87, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 037, P, 91, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 038, P, 88, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 039, P, 103, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 040, P, 133, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 041, P, 101, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 042, P, 87, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 043, P, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 044, P, 98, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 045, P, 92, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 046, P, 96, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 047, P, 101, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 048, P, 102, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 049, P, 104, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 050, P, 106, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 051, P, 99, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 052, P, 107, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 053, P, 92, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 054, P, 113, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 055, P, 90, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 056, P, 80, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 057, P, 98, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 058, P, 90, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 059, P, 92, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 060, P, 91, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 061, P, 104, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 062, P, 117, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 063, P, 92, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 064, P, 95, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 065, P, 96, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 066, P, 107, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 067, P, 107, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 068, P, 83, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 069, P, 98, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 070, P, 112, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 071, P, 94, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 072, P, 114, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 073, P, 108, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 074, P, 116, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 075, P, 95, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 076, P, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 077, P, 99, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 078, P, 82, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 079, P, 96, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 080, P, 101, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 081, P, 117, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 082, P, 87, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 083, P, 115, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 084, P, 104, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 085, P, 78, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0
