Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B
1, Run: 001, P, 185, 4, 0, 0, 0, 0, 95, 0, 1, 54, 0
1, Run: 002, P, 200, 1, 0, 0, 0, 0, 104, 0, 1, 54, 0
1, Run: 003, P, 206, 1, 0, 0, 0, 0, 107, 0, 1, 54, 0
1, Run: 004, P, 221, 2, 0, 0, 0, 0, 114, 0, 1, 54, 0
1, Run: 005, P, 239, 2, 0, 0, 0, 0, 123, 0, 1, 54, 0
1, Run: 006, P, 190, 3, 0, 0, 0, 0, 98, 0, 1, 54, 0
1, Run: 007, P, 175, 0, 0, 0, 0, 0, 92, 0, 1, 54, 0
1, Run: 008, P, 237, 2, 0, 0, 0, 0, 122, 0, 1, 54, 0
1, Run: 009, P, 213, 0, 0, 0, 0, 0, 111, 0, 1, 54, 0
1, Run: 010, P, 208, 1, 0, 0, 0, 0, 108, 0, 1, 54, 0
1, Run: 011, P, 204, 1, 0, 0, 0, 0, 106, 0, 1, 54, 0
1, Run: 012, P, 235, 2, 0, 0, 0, 0, 121, 0, 1, 54, 0
1, Run: 013, P, 232, 1, 0, 0, 0, 0, 120, 0, 1, 54, 0
1, Run: 014, P, 192, 1, 0, 0, 0, 0, 100, 0, 1, 54, 0
1, Run: 015, P, 175, 2, 0, 0, 0, 0, 91, 0, 1, 54, 0
1, Run: 016, P, 200, 1, 0, 0, 0, 0, 104, 0, 1, 54, 0
1, Run: 017, P, 212, 1, 0, 0, 0, 0, 110, 0, 1, 54, 0
1, Run: 018, P, 203, 0, 0, 0, 0, 0, 106, 0, 1, 54, 0
1, Run: 019, P, 237, 0, 0, 0, 0, 0, 123, 0, 1, 54, 0
1, Run: 020, P, 216, 1, 0, 0, 0, 0, 112, 0, 1, 54, 0
1, Run: 021, P, 226, 1, 0, 0, 0, 0, 117, 0, 1, 54, 0
1, Run: 022, P, 215, 0, 0, 0, 0, 0, 112, 0, 1, 54, 0
1, Run: 023, P, 188, 1, 0, 0, 0, 0, 98, 0, 1, 54, 0
1, Run: 024, P, 189, 2, 0, 0, 0, 0, 98, 0, 1, 54, 0
1, Run: 025, P, 225, 0, 0, 0, 0, 0, 117, 0, 1, 54, 0
1, Run: 026, P, 182, 3, 0, 0, 0, 0, 94, 0, 1, 54, 0
1, Run: 027, P, 216, 1, 0, 0, 0, 0, 112, 0, 1, 54, 0
1, Run: 028, P, 196, 1, 0, 0, 0, 0, 102, 0, 1, 54, 0
1, Run: 029, P, 166, 1, 0, 0, 0, 0, 87, 0, 1, 54, 0
1, Run: 030, P, 201, 0, 0, 0, 0, 0, 105, 0, 1, 54, 0
1, Run: 031, P, 229, 0, 0, 0, 0, 0, 119, 0, 1, 54, 0
1, Run: 032, P, 202, 1, 0, 0, 0, 0, 105, 0, 1, 54, 0
1, Run: 033, P, 198, 1, 0, 0, 0, 0, 103, 0, 1, 54, 0
1, Run: 034, P, 236, 3, 0, 0, 0, 0, 121, 0, 1, 54, 0
1, Run: 035, P, 198, 1, 0, 0, 0, 0, 103, 0, 1, 54, 0
1, Run: 036, P, 243, 2, 0, 0, 0, 0, 125, 0, 1, 54, 0
1, Run: 037, P, 215, 0, 0, 0, 0, 0, 112, 0, 1, 54, 0
1, Run: 038, P, 208, 1, 0, 0, 0, 0, 108, 0, 1, 54, 0
1, Run: 039, P, 193, 2, 0, 0, 0, 0, 100, 0, 1, 54, 0
1, Run: 040, P, 176, 1, 0, 0, 0, 0, 92, 0, 1, 54, 0
1, Run: 041, P, 204, 1, 0, 0, 0, 0, 106, 0, 1, 54, 0
1, Run: 042, P, 230, 1, 0, 0, 0, 0, 119, 0, 1, 54, 0
1, Run: 043, P, 222, 1, 0, 0, 0, 0, 115, 0, 1, 54, 0
1, Run: 044, P, 212, 1, 0, 0, 0, 0, 110, 0, 1, 54, 0
1, Run: 045, P, 214, 1, 0, 0, 0, 0, 111, 0, 1, 54, 0
1, Run: 046, P, 226, 1, 0, 0, 0, 0, 117, 0, 1, 54, 0
1, Run: 047, P, 189, 0, 0, 0, 0, 0, 99, 0, 1, 54, 0
1, Run: 048, P, 223, 0, 0, 0, 0, 0, 116, 0, 1, 54, 0
1, Run: 049, P, 212, 1, 0, 0, 0, 0, 110, 0, 1, 54, 0
