Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 147, 9, 4, 4, 9, 18, 27, 25, 147
INVAR-1, Run: 002, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 11, 100, 9, 3, 5, 9, 18, 27, 20, 100
INVAR-1, Run: 003, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 23, 133, 9, 4, 4, 9, 18, 27, 32, 133
INVAR-1, Run: 004, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 22, 135, 9, 6, 2, 9, 18, 27, 31, 135
INVAR-1, Run: 005, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 66, 9, 6, 2, 9, 18, 27, 21, 66
INVAR-1, Run: 006, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 8, 42, 9, 5, 3, 9, 18, 27, 17, 42
INVAR-1, Run: 007, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 24, 113, 9, 4, 4, 9, 18, 27, 33, 113
INVAR-1, Run: 008, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 87, 9, 6, 2, 9, 18, 27, 25, 87
INVAR-1, Run: 009, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 10, 122, 9, 6, 2, 9, 18, 27, 19, 122
INVAR-1, Run: 010, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 33, 157, 9, 5, 3, 9, 18, 27, 42, 157
INVAR-1, Run: 011, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 20, 82, 9, 6, 2, 9, 18, 27, 29, 82
INVAR-1, Run: 012, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 22, 160, 9, 7, 1, 9, 18, 27, 31, 160
INVAR-1, Run: 013, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 19, 72, 9, 6, 2, 9, 18, 27, 28, 72
INVAR-1, Run: 014, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 70, 9, 7, 1, 9, 18, 27, 21, 70
INVAR-1, Run: 015, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 9, 67, 9, 7, 1, 9, 18, 27, 18, 67
INVAR-1, Run: 016, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 32, 167, 9, 5, 3, 9, 18, 27, 41, 167
INVAR-1, Run: 017, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 13, 90, 9, 6, 2, 9, 18, 27, 22, 90
INVAR-1, Run: 018, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 102, 9, 5, 3, 9, 18, 27, 23, 102
INVAR-1, Run: 019, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 141, 9, 6, 2, 9, 18, 27, 21, 141
INVAR-1, Run: 020, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 63, 9, 4, 4, 9, 18, 27, 24, 63
INVAR-1, Run: 021, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 22, 69, 9, 4, 4, 9, 18, 27, 31, 69
INVAR-1, Run: 022, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 117, 9, 7, 1, 9, 18, 27, 27, 117
INVAR-1, Run: 023, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 25, 131, 9, 7, 1, 9, 18, 27, 34, 131
INVAR-1, Run: 024, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 13, 162, 9, 8, 0, 9, 18, 27, 22, 162
INVAR-1, Run: 025, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 10, 56, 9, 5, 3, 9, 18, 27, 19, 56
INVAR-1, Run: 026, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 13, 82, 9, 4, 4, 9, 18, 27, 22, 82
INVAR-1, Run: 027, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 10, 61, 9, 4, 4, 9, 18, 27, 19, 61
