Input Number, Run_Number, Result@ 100, PE, X1, M, Y, H, PO, CE, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 4, 56, 7, 2, 0, 7, 18, 27, 11, 56
INVAR-1, Run: 002, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 0, 38, 6, 1, 0, 6, 18, 27, 0, 92
INVAR-1, Run: 003, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 7, 71, 7, 1, 1, 7, 18, 27, 14, 71
INVAR-1, Run: 004, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 5, 89, 7, 1, 1, 7, 18, 27, 12, 89
INVAR-1, Run: 005, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 5, 38, 6, 0, 1, 6, 18, 27, 5, 92
INVAR-1, Run: 006, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 3, 77, 7, 2, 0, 7, 18, 27, 10, 77
INVAR-1, Run: 007, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 1, 25, 6, 1, 0, 6, 18, 27, 1, 79
INVAR-1, Run: 008, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 2, 76, 7, 1, 1, 7, 18, 27, 9, 76
INVAR-1, Run: 009, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 6, 119, 7, 2, 0, 7, 18, 27, 13, 119
INVAR-1, Run: 010, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 2, 3, 6, 1, 0, 6, 18, 27, 2, 57
INVAR-1, Run: 011, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 12, 46, 6, 1, 0, 6, 18, 27, 12, 100
INVAR-1, Run: 012, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 5, 83, 7, 2, 0, 7, 18, 27, 12, 83
INVAR-1, Run: 013, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 2, 73, 7, 1, 1, 7, 18, 27, 9, 73
INVAR-1, Run: 014, F, 1, 0, 0, 10, 0, 0, 8, 0, 0, 54, 0, 2, 16, 7, 71, 8, 4, 1, 8, 18, 27, 15, 71
INVAR-1, Run: 015, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 0, 50, 7, 2, 0, 7, 18, 27, 7, 50
INVAR-1, Run: 016, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 2, 31, 6, 1, 0, 6, 18, 27, 2, 85
INVAR-1, Run: 017, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 1, 55, 6, 1, 0, 6, 18, 27, 1, 109
INVAR-1, Run: 018, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 3, 88, 7, 2, 0, 7, 18, 27, 10, 88
INVAR-1, Run: 019, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 7, 127, 7, 2, 0, 7, 18, 27, 14, 127
INVAR-1, Run: 020, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 9, 105, 7, 2, 0, 7, 18, 27, 16, 105
INVAR-1, Run: 021, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 10, 104, 7, 2, 0, 7, 18, 27, 17, 104
INVAR-1, Run: 022, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 3, 62, 7, 2, 0, 7, 18, 27, 10, 62
INVAR-1, Run: 023, F, 0, 0, 0, 10, 0, 0, 4, 2, 0, 54, 0, 6, 12, 6, 33, 6, 0, 0, 6, 18, 27, 10, 33
INVAR-1, Run: 024, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 0, 28, 7, 2, 0, 7, 18, 27, 7, 28
INVAR-1, Run: 025, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 15, 184, 7, 1, 1, 7, 18, 27, 22, 184
INVAR-1, Run: 026, F, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0, 3, 15, 20, 61, 7, 3, 1, 7, 18, 27, 20, 115
INVAR-1, Run: 027, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 1, 36, 6, 1, 0, 6, 18, 27, 1, 90
INVAR-1, Run: 028, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 8, 75, 7, 2, 0, 7, 18, 27, 15, 75
INVAR-1, Run: 029, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 4, 50, 7, 2, 0, 7, 18, 27, 11, 50
INVAR-1, Run: 030, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 6, 97, 7, 2, 0, 7, 18, 27, 13, 97
INVAR-1, Run: 031, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 3, 34, 7, 2, 0, 7, 18, 27, 10, 34
INVAR-1, Run: 032, F, 0, 0, 0, 7, 0, 0, 1, 5, 0, 54, 0, 6, 12, 7, 44, 6, 0, 0, 6, 18, 27, 8, 44
INVAR-1, Run: 033, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 4, 48, 6, 1, 0, 6, 18, 27, 4, 102
INVAR-1, Run: 034, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 12, 56, 6, 1, 0, 6, 18, 27, 12, 110
INVAR-1, Run: 035, F, 0, 0, 0, 7, 0, 0, 1, 5, 0, 54, 0, 6, 12, 1, 56, 6, 0, 0, 6, 18, 27, 2, 56
INVAR-1, Run: 036, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 4, 45, 6, 1, 0, 6, 18, 27, 4, 99
INVAR-1, Run: 037, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 2, 104, 7, 2, 0, 7, 18, 27, 9, 104
INVAR-1, Run: 038, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 12, 66, 6, 1, 0, 6, 18, 27, 12, 120
INVAR-1, Run: 039, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 2, 51, 7, 2, 0, 7, 18, 27, 9, 51
INVAR-1, Run: 040, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 3, 37, 7, 1, 1, 7, 18, 27, 10, 37
INVAR-1, Run: 041, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 10, 73, 6, 1, 0, 6, 18, 27, 10, 127
INVAR-1, Run: 042, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 1, 42, 7, 2, 0, 7, 18, 27, 8, 42
INVAR-1, Run: 043, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 5, 27, 6, 1, 0, 6, 18, 27, 5, 81
INVAR-1, Run: 044, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 1, 27, 6, 1, 0, 6, 18, 27, 1, 81
INVAR-1, Run: 045, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 19, 101, 6, 1, 0, 6, 18, 27, 19, 155
INVAR-1, Run: 046, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 4, 11, 6, 1, 0, 6, 18, 27, 4, 65
INVAR-1, Run: 047, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 1, 42, 7, 2, 0, 7, 18, 27, 8, 42
INVAR-1, Run: 048, F, 0, 0, 0, 8, 0, 0, 2, 4, 0, 54, 0, 6, 12, 2, 18, 6, 0, 0, 6, 18, 27, 4, 18
INVAR-1, Run: 049, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 14, 100, 6, 1, 0, 6, 18, 27, 14, 154
INVAR-1, Run: 050, F, 0, 0, 0, 10, 0, 0, 4, 2, 0, 54, 0, 6, 12, 3, 39, 6, 0, 0, 6, 18, 27, 7, 39
INVAR-1, Run: 051, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 6, 38, 6, 0, 1, 6, 18, 27, 6, 92
INVAR-1, Run: 052, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 11, 46, 7, 2, 0, 7, 18, 27, 18, 46
INVAR-1, Run: 053, F, 0, 0, 0, 6, 0, 0, 2, 5, 0, 54, 0, 4, 14, 2, 32, 7, 3, 0, 7, 18, 27, 4, 32
INVAR-1, Run: 054, F, 1, 0, 0, 10, 0, 0, 8, 0, 0, 54, 0, 2, 16, 6, 64, 8, 4, 1, 8, 18, 27, 14, 64
INVAR-1, Run: 055, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 1, 75, 7, 2, 0, 7, 18, 27, 8, 75
INVAR-1, Run: 056, F, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0, 3, 15, 8, 122, 7, 2, 2, 7, 18, 27, 8, 176
INVAR-1, Run: 057, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 2, 9, 6, 1, 0, 6, 18, 27, 2, 63
INVAR-1, Run: 058, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 3, 83, 7, 2, 0, 7, 18, 27, 10, 83
INVAR-1, Run: 059, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 17, 183, 6, 1, 0, 6, 18, 27, 17, 237
INVAR-1, Run: 060, F, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0, 3, 15, 14, 68, 7, 3, 1, 7, 18, 27, 14, 122
INVAR-1, Run: 061, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 3, 112, 7, 2, 0, 7, 18, 27, 10, 112
INVAR-1, Run: 062, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 1, 54, 7, 2, 0, 7, 18, 27, 8, 54
INVAR-1, Run: 063, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 0, 11, 6, 1, 0, 6, 18, 27, 0, 65
INVAR-1, Run: 064, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 4, 23, 6, 1, 0, 6, 18, 27, 4, 77
INVAR-1, Run: 065, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 18, 133, 6, 1, 0, 6, 18, 27, 18, 187
INVAR-1, Run: 066, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 6, 38, 6, 1, 0, 6, 18, 27, 6, 92
INVAR-1, Run: 067, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 8, 77, 7, 2, 0, 7, 18, 27, 15, 77
INVAR-1, Run: 068, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 1, 12, 6, 1, 0, 6, 18, 27, 1, 66
INVAR-1, Run: 069, F, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0, 3, 15, 5, 37, 7, 2, 2, 7, 18, 27, 5, 91
INVAR-1, Run: 070, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 1, 65, 7, 2, 0, 7, 18, 27, 8, 65
INVAR-1, Run: 071, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 7, 74, 6, 1, 0, 6, 18, 27, 7, 128
INVAR-1, Run: 072, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 5, 34, 6, 1, 0, 6, 18, 27, 5, 88
INVAR-1, Run: 073, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 1, 72, 7, 2, 0, 7, 18, 27, 8, 72
INVAR-1, Run: 074, F, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0, 3, 15, 7, 27, 7, 3, 1, 7, 18, 27, 7, 81
INVAR-1, Run: 075, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 6, 46, 6, 1, 0, 6, 18, 27, 6, 100
INVAR-1, Run: 076, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 3, 42, 7, 2, 0, 7, 18, 27, 10, 42
INVAR-1, Run: 077, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 2, 77, 7, 2, 0, 7, 18, 27, 9, 77
INVAR-1, Run: 078, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 12, 42, 6, 1, 0, 6, 18, 27, 12, 96
INVAR-1, Run: 079, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 5, 56, 7, 2, 0, 7, 18, 27, 12, 56
INVAR-1, Run: 080, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 1, 36, 7, 1, 1, 7, 18, 27, 8, 36
INVAR-1, Run: 081, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 6, 41, 6, 1, 0, 6, 18, 27, 6, 95
INVAR-1, Run: 082, F, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0, 3, 15, 3, 11, 7, 4, 0, 7, 18, 27, 3, 65
INVAR-1, Run: 083, F, 0, 0, 0, 7, 0, 0, 1, 5, 0, 54, 0, 6, 12, 1, 25, 6, 0, 0, 6, 18, 27, 2, 25
INVAR-1, Run: 084, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 17, 118, 6, 1, 0, 6, 18, 27, 17, 172
INVAR-1, Run: 085, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 4, 29, 6, 0, 1, 6, 18, 27, 4, 83
INVAR-1, Run: 086, F, 0, 0, 0, 10, 0, 0, 4, 2, 0, 54, 0, 6, 12, 1, 6, 6, 0, 0, 6, 18, 27, 5, 6
INVAR-1, Run: 087, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 5, 37, 6, 1, 0, 6, 18, 27, 5, 91
INVAR-1, Run: 088, F, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0, 3, 15, 8, 56, 7, 4, 0, 7, 18, 27, 8, 110
INVAR-1, Run: 089, F, 0, 0, 0, 7, 0, 0, 1, 5, 0, 54, 0, 6, 12, 3, 58, 6, 0, 0, 6, 18, 27, 4, 58
INVAR-1, Run: 090, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 14, 129, 6, 1, 0, 6, 18, 27, 14, 183
INVAR-1, Run: 091, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 16, 106, 6, 1, 0, 6, 18, 27, 16, 160
INVAR-1, Run: 092, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 0, 59, 7, 2, 0, 7, 18, 27, 7, 59
INVAR-1, Run: 093, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 1, 21, 7, 2, 0, 7, 18, 27, 8, 21
INVAR-1, Run: 094, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 0, 79, 7, 2, 0, 7, 18, 27, 7, 79
INVAR-1, Run: 095, F, 1, 0, 0, 10, 0, 0, 8, 0, 0, 54, 0, 2, 16, 12, 109, 8, 5, 0, 8, 18, 27, 20, 109
INVAR-1, Run: 096, F, 0, 0, 0, 57, 1, 1, 0, 7, 54, 0, 0, 3, 15, 5, 36, 7, 4, 0, 7, 18, 27, 5, 90
INVAR-1, Run: 097, F, 1, 0, 0, 11, 0, 0, 7, 0, 0, 54, 0, 4, 14, 4, 73, 7, 2, 0, 7, 18, 27, 11, 73
INVAR-1, Run: 098, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 6, 35, 6, 0, 1, 6, 18, 27, 6, 89
INVAR-1, Run: 099, F, 0, 0, 0, 59, 1, 1, 0, 6, 54, 0, 0, 5, 13, 2, 30, 6, 1, 0, 6, 18, 27, 2, 84
INVAR-1, Run: 100, F, 1, 0, 0, 10, 0, 0, 8, 0, 0, 54, 0, 2, 16, 5, 35, 8, 4, 1, 8, 18, 27, 13, 35
INVAR-10, Run: 001, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 118, 2620, 68, 3, 2, 68, 200, 300, 118, 3220
INVAR-10, Run: 002, F, 0, 0, 0, 96, 0, 0, 36, 34, 0, 600, 0, 60, 140, 78, 2721, 70, 9, 1, 70, 200, 300, 114, 2721
INVAR-10, Run: 003, F, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0, 62, 138, 93, 2112, 69, 6, 0, 69, 200, 300, 162, 2112
INVAR-10, Run: 004, F, 0, 0, 0, 80, 0, 0, 16, 52, 0, 600, 0, 64, 136, 77, 2294, 68, 4, 0, 68, 200, 300, 93, 2294
INVAR-10, Run: 005, F, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0, 62, 138, 74, 2776, 69, 6, 0, 69, 200, 300, 143, 2776
INVAR-10, Run: 006, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 156, 2791, 69, 7, 1, 69, 200, 300, 156, 3391
INVAR-10, Run: 007, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 147, 2260, 68, 5, 0, 68, 200, 300, 147, 2860
