Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0, 108, 18, 20, 99, 9, 3, 5, 9, 124, 186, 29, 99
INVAR-1, Run: 002, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 340, 1, 96, 18, 28, 290, 9, 5, 3, 9, 113, 169, 37, 290
INVAR-1, Run: 003, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 336, 0, 94, 18, 15, 119, 9, 6, 2, 9, 112, 168, 24, 119
INVAR-1, Run: 004, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 364, 1, 105, 18, 18, 98, 9, 4, 4, 9, 121, 181, 27, 98
INVAR-1, Run: 005, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 426, 0, 124, 18, 12, 167, 9, 5, 3, 9, 142, 213, 21, 167
INVAR-1, Run: 006, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 366, 0, 104, 18, 9, 147, 9, 8, 0, 9, 122, 183, 18, 147
INVAR-1, Run: 007, P, 3, 0, 0, 0, 9, 9, 0, 0, 1, 336, 0, 97, 18, 20, 113, 9, 4, 4, 9, 112, 168, 29, 113
INVAR-1, Run: 008, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1, 91, 18, 22, 164, 9, 6, 2, 9, 109, 163, 31, 164
INVAR-1, Run: 009, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1, 92, 18, 21, 175, 9, 7, 1, 9, 109, 163, 30, 175
INVAR-1, Run: 010, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 388, 1, 113, 18, 20, 175, 9, 5, 3, 9, 129, 193, 29, 175
INVAR-1, Run: 011, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1, 101, 18, 16, 131, 9, 4, 4, 9, 119, 178, 25, 131
INVAR-1, Run: 012, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 294, 0, 81, 18, 17, 85, 9, 5, 3, 9, 98, 147, 26, 85
INVAR-1, Run: 013, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 354, 0, 100, 18, 12, 77, 9, 6, 2, 9, 118, 177, 21, 77
INVAR-1, Run: 014, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 390, 0, 112, 18, 12, 127, 9, 5, 3, 9, 130, 195, 21, 127
INVAR-1, Run: 015, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1, 97, 18, 15, 113, 9, 5, 3, 9, 115, 172, 24, 113
INVAR-1, Run: 016, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 322, 1, 89, 18, 16, 113, 9, 7, 1, 9, 107, 160, 25, 113
INVAR-1, Run: 017, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1, 97, 18, 16, 151, 9, 7, 1, 9, 115, 172, 25, 151
INVAR-1, Run: 018, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 360, 0, 102, 18, 24, 308, 9, 6, 2, 9, 120, 180, 33, 308
INVAR-1, Run: 019, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 340, 1, 95, 18, 18, 106, 9, 7, 1, 9, 113, 169, 27, 106
INVAR-1, Run: 020, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 384, 0, 110, 18, 15, 115, 9, 5, 3, 9, 128, 192, 24, 115
INVAR-1, Run: 021, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 322, 1, 89, 18, 19, 107, 9, 8, 0, 9, 107, 160, 28, 107
INVAR-1, Run: 022, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 318, 0, 88, 18, 18, 76, 9, 3, 5, 9, 106, 159, 27, 76
INVAR-1, Run: 023, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 340, 1, 95, 18, 21, 163, 9, 5, 3, 9, 113, 169, 30, 163
INVAR-1, Run: 024, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1, 98, 18, 19, 112, 9, 5, 3, 9, 115, 172, 28, 112
INVAR-1, Run: 025, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 406, 1, 118, 18, 14, 160, 9, 7, 1, 9, 135, 202, 23, 160
INVAR-1, Run: 026, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1, 102, 18, 29, 182, 9, 7, 1, 9, 119, 178, 38, 182
INVAR-1, Run: 027, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 364, 1, 105, 18, 32, 328, 9, 6, 2, 9, 121, 181, 41, 328
INVAR-1, Run: 028, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 334, 1, 93, 18, 22, 251, 9, 6, 2, 9, 111, 166, 31, 251
INVAR-1, Run: 029, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 310, 1, 85, 18, 19, 91, 9, 6, 2, 9, 103, 154, 28, 91
INVAR-1, Run: 030, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 432, 0, 126, 18, 13, 131, 9, 7, 1, 9, 144, 216, 22, 131
INVAR-1, Run: 031, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 268, 1, 71, 18, 20, 101, 9, 3, 5, 9, 89, 133, 29, 101
INVAR-1, Run: 032, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 354, 0, 101, 18, 25, 167, 9, 5, 3, 9, 118, 177, 34, 167
INVAR-1, Run: 033, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1, 97, 18, 38, 161, 9, 3, 5, 9, 115, 172, 47, 161
INVAR-1, Run: 034, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 334, 1, 94, 18, 9, 86, 9, 6, 2, 9, 111, 166, 18, 86
INVAR-1, Run: 035, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1, 101, 18, 20, 54, 9, 7, 1, 9, 119, 178, 29, 54
INVAR-1, Run: 036, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 318, 0, 90, 18, 17, 114, 9, 6, 2, 9, 106, 159, 26, 114
INVAR-1, Run: 037, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1, 97, 18, 23, 240, 9, 6, 2, 9, 115, 172, 32, 240
INVAR-1, Run: 038, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 310, 1, 87, 18, 15, 121, 9, 5, 3, 9, 103, 154, 24, 121
INVAR-1, Run: 039, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 306, 0, 84, 18, 21, 233, 9, 6, 2, 9, 102, 153, 30, 233
INVAR-1, Run: 040, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 370, 1, 107, 18, 8, 75, 9, 7, 1, 9, 123, 184, 17, 75
INVAR-1, Run: 041, P, 4, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1, 101, 18, 12, 73, 9, 4, 4, 9, 115, 172, 21, 73
INVAR-1, Run: 042, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 384, 0, 111, 18, 24, 237, 9, 4, 4, 9, 128, 192, 33, 237
INVAR-1, Run: 043, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 298, 1, 81, 18, 31, 191, 9, 5, 3, 9, 99, 148, 40, 191
INVAR-1, Run: 044, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 292, 1, 80, 18, 16, 96, 9, 5, 3, 9, 97, 145, 25, 96
INVAR-1, Run: 045, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 336, 0, 94, 18, 21, 124, 9, 4, 4, 9, 112, 168, 30, 124
INVAR-1, Run: 046, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 366, 0, 104, 18, 19, 174, 9, 7, 1, 9, 122, 183, 28, 174
INVAR-1, Run: 047, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 414, 0, 121, 18, 13, 127, 9, 6, 2, 9, 138, 207, 22, 127
INVAR-1, Run: 048, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 342, 0, 96, 18, 5, 59, 9, 7, 1, 9, 114, 171, 14, 59
INVAR-1, Run: 049, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 312, 0, 86, 18, 22, 132, 9, 7, 1, 9, 104, 156, 31, 132
INVAR-1, Run: 050, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 378, 0, 109, 18, 45, 392, 9, 6, 2, 9, 126, 189, 54, 392
INVAR-1, Run: 051, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1, 92, 18, 18, 123, 9, 8, 0, 9, 109, 163, 27, 123
INVAR-1, Run: 052, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 366, 0, 104, 18, 14, 110, 9, 4, 4, 9, 122, 183, 23, 110
INVAR-1, Run: 053, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 420, 0, 123, 18, 9, 81, 9, 7, 1, 9, 140, 210, 18, 81
INVAR-1, Run: 054, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 384, 0, 111, 18, 13, 96, 9, 5, 3, 9, 128, 192, 22, 96
INVAR-1, Run: 055, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1, 91, 18, 12, 127, 9, 5, 3, 9, 109, 163, 21, 127
INVAR-1, Run: 056, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 400, 1, 115, 18, 25, 144, 9, 6, 2, 9, 133, 199, 34, 144
INVAR-1, Run: 057, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 378, 0, 109, 18, 11, 101, 9, 6, 2, 9, 126, 189, 20, 101
INVAR-1, Run: 058, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 342, 0, 98, 18, 14, 101, 9, 6, 2, 9, 114, 171, 23, 101
INVAR-1, Run: 059, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 352, 1, 100, 18, 10, 88, 9, 6, 2, 9, 117, 175, 19, 88
INVAR-1, Run: 060, P, 3, 0, 0, 0, 9, 9, 0, 0, 1, 322, 1, 92, 18, 31, 139, 9, 6, 2, 9, 107, 160, 40, 139
INVAR-1, Run: 061, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 322, 1, 89, 18, 21, 79, 9, 4, 4, 9, 107, 160, 30, 79
INVAR-1, Run: 062, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 402, 0, 117, 18, 14, 104, 9, 5, 3, 9, 134, 201, 23, 104
INVAR-1, Run: 063, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 322, 1, 89, 18, 21, 249, 9, 7, 1, 9, 107, 160, 30, 249
INVAR-1, Run: 064, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 354, 0, 101, 18, 11, 109, 9, 7, 1, 9, 118, 177, 20, 109
INVAR-1, Run: 065, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 280, 1, 75, 18, 8, 103, 9, 5, 3, 9, 93, 139, 17, 103
INVAR-1, Run: 066, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 298, 1, 82, 18, 16, 74, 9, 3, 5, 9, 99, 148, 25, 74
INVAR-1, Run: 067, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 336, 0, 95, 18, 12, 144, 9, 5, 3, 9, 112, 168, 21, 144
INVAR-1, Run: 068, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1, 102, 18, 9, 114, 9, 5, 3, 9, 119, 178, 18, 114
INVAR-1, Run: 069, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1, 91, 18, 28, 108, 9, 5, 3, 9, 109, 163, 37, 108
INVAR-1, Run: 070, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 312, 0, 86, 18, 8, 119, 9, 6, 2, 9, 104, 156, 17, 119
INVAR-1, Run: 071, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0, 106, 18, 13, 84, 9, 4, 4, 9, 124, 186, 22, 84
INVAR-1, Run: 072, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1, 101, 18, 7, 55, 9, 3, 5, 9, 119, 178, 16, 55
INVAR-1, Run: 073, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 354, 0, 100, 18, 14, 61, 9, 3, 5, 9, 118, 177, 23, 61
INVAR-1, Run: 074, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1, 98, 18, 19, 127, 9, 7, 1, 9, 115, 172, 28, 127
INVAR-1, Run: 075, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 324, 0, 91, 18, 16, 112, 9, 5, 3, 9, 108, 162, 25, 112
INVAR-1, Run: 076, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1, 102, 18, 26, 196, 9, 6, 2, 9, 119, 178, 35, 196
