Input Number, Run_Number, Result@ 100, Y, X1, H, M, PO, CE, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 9, 18, 10, 48, 9, 8, 0, 9, 18, 27, 19, 48
INVAR-1, Run: 002, F, 0, 0, 0, 0, 0, 9, 0, 9, 1, 45, 0, 18, 18, 17, 88, 9, 7, 1, 9, 18, 27, 26, 97
INVAR-1, Run: 003, F, 0, 0, 0, 0, 0, 9, 0, 9, 1, 45, 0, 18, 18, 16, 110, 9, 5, 3, 9, 18, 27, 25, 119
INVAR-1, Run: 004, F, 0, 0, 0, 0, 0, 9, 0, 3, 1, 51, 0, 12, 18, 25, 122, 9, 4, 4, 9, 18, 27, 34, 125
INVAR-1, Run: 005, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0, 11, 18, 16, 70, 9, 6, 2, 9, 18, 27, 25, 72
INVAR-1, Run: 006, F, 0, 0, 0, 0, 0, 9, 0, 11, 1, 43, 0, 20, 18, 15, 73, 9, 5, 3, 9, 18, 27, 24, 84
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 9, 18, 6, 49, 9, 6, 2, 9, 18, 27, 15, 49
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 9, 0, 5, 1, 49, 0, 14, 18, 9, 59, 9, 3, 5, 9, 18, 27, 18, 64
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 9, 0, 31, 1, 23, 0, 40, 18, 8, 45, 9, 5, 3, 9, 18, 27, 17, 76
INVAR-1, Run: 010, F, 0, 0, 0, 0, 0, 9, 0, 5, 1, 49, 0, 14, 18, 12, 79, 9, 5, 3, 9, 18, 27, 21, 84
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 9, 0, 27, 1, 27, 0, 36, 18, 11, 63, 9, 6, 2, 9, 18, 27, 20, 90
