Input Number, Run_Number, Result@ 100, H, B, PE, X1, M, PO, CE, Y, D, CO, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 13, 122, 9, 10, 4, 6, 18, 30, 19, 122
INVAR-1, Run: 002, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 12, 104, 9, 11, 3, 6, 18, 30, 18, 104
INVAR-1, Run: 003, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 11, 66, 9, 7, 7, 6, 18, 30, 17, 66
INVAR-1, Run: 004, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 18, 86, 9, 9, 3, 7, 18, 29, 25, 86
INVAR-1, Run: 005, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 16, 103, 9, 11, 5, 5, 18, 31, 21, 103
INVAR-1, Run: 006, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 12, 125, 9, 9, 5, 6, 18, 30, 18, 125
INVAR-1, Run: 007, P, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 24, 153, 9, 7, 3, 8, 18, 28, 32, 153
INVAR-1, Run: 008, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 11, 98, 9, 11, 5, 5, 18, 31, 16, 98
INVAR-1, Run: 009, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 22, 205, 9, 8, 8, 5, 18, 31, 27, 205
INVAR-1, Run: 010, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 5, 32, 9, 4, 12, 5, 18, 31, 10, 32
INVAR-1, Run: 011, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 19, 87, 9, 7, 5, 7, 18, 29, 26, 87
INVAR-1, Run: 012, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 14, 115, 9, 3, 11, 6, 18, 30, 20, 115
INVAR-1, Run: 013, P, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 23, 152, 9, 7, 3, 8, 18, 28, 31, 152
INVAR-1, Run: 014, P, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 13, 70, 9, 6, 4, 8, 18, 28, 21, 70
INVAR-1, Run: 015, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 11, 104, 9, 6, 8, 6, 18, 30, 17, 104
INVAR-1, Run: 016, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 14, 77, 9, 8, 4, 7, 18, 29, 21, 77
INVAR-1, Run: 017, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 18, 107, 9, 7, 5, 7, 18, 29, 25, 107
INVAR-1, Run: 018, P, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 12, 84, 9, 7, 3, 8, 18, 28, 20, 84
INVAR-1, Run: 019, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 20, 119, 9, 9, 3, 7, 18, 29, 27, 119
INVAR-1, Run: 020, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 15, 91, 9, 6, 10, 5, 18, 31, 20, 91
INVAR-1, Run: 021, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 13, 54, 9, 7, 7, 6, 18, 30, 19, 54
INVAR-1, Run: 022, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 11, 40, 9, 6, 6, 7, 18, 29, 18, 40
INVAR-1, Run: 023, P, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 12, 107, 9, 9, 1, 8, 18, 28, 20, 107
INVAR-1, Run: 024, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 13, 97, 9, 8, 4, 7, 18, 29, 20, 97
INVAR-1, Run: 025, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 8, 83, 9, 10, 2, 7, 18, 29, 15, 83
INVAR-1, Run: 026, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 25, 184, 9, 5, 7, 7, 18, 29, 32, 184
INVAR-1, Run: 027, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 10, 108, 9, 9, 5, 6, 18, 30, 16, 108
INVAR-1, Run: 028, P, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 13, 33, 9, 2, 8, 8, 18, 28, 21, 33
INVAR-1, Run: 029, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 8, 83, 9, 8, 8, 5, 18, 31, 13, 83
INVAR-1, Run: 030, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 36, 165, 9, 8, 6, 6, 18, 30, 42, 165
INVAR-1, Run: 031, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 17, 109, 9, 8, 6, 6, 18, 30, 23, 109
INVAR-1, Run: 032, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 25, 135, 9, 6, 6, 7, 18, 29, 32, 135
INVAR-1, Run: 033, P, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 42, 12, 18, 11, 105, 9, 12, 8, 3, 18, 33, 14, 105
INVAR-1, Run: 034, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 9, 38, 9, 5, 7, 7, 18, 29, 16, 38
INVAR-1, Run: 035, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 14, 87, 9, 6, 8, 6, 18, 30, 20, 87
INVAR-1, Run: 036, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 26, 135, 9, 6, 6, 7, 18, 29, 33, 135
INVAR-1, Run: 037, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 9, 97, 9, 11, 5, 5, 18, 31, 14, 97
INVAR-1, Run: 038, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 8, 28, 9, 6, 6, 7, 18, 29, 15, 28
INVAR-1, Run: 039, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 15, 120, 9, 9, 7, 5, 18, 31, 20, 120
INVAR-1, Run: 040, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 17, 113, 9, 6, 6, 7, 18, 29, 24, 113
INVAR-1, Run: 041, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 8, 121, 9, 9, 7, 5, 18, 31, 13, 121
INVAR-1, Run: 042, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 14, 52, 9, 7, 5, 7, 18, 29, 21, 52
INVAR-1, Run: 043, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 17, 85, 9, 5, 7, 7, 18, 29, 24, 85
INVAR-1, Run: 044, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 20, 93, 9, 8, 4, 7, 18, 29, 27, 93
INVAR-1, Run: 045, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 22, 111, 9, 5, 7, 7, 18, 29, 29, 111
INVAR-1, Run: 046, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 9, 109, 9, 8, 4, 7, 18, 29, 16, 109
INVAR-1, Run: 047, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 19, 154, 9, 8, 6, 6, 18, 30, 25, 154
INVAR-1, Run: 048, P, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 16, 164, 9, 7, 3, 8, 18, 28, 24, 164
INVAR-1, Run: 049, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 17, 59, 9, 8, 8, 5, 18, 31, 22, 59
INVAR-1, Run: 050, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 20, 94, 9, 4, 10, 6, 18, 30, 26, 94
INVAR-1, Run: 051, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 13, 84, 9, 3, 11, 6, 18, 30, 19, 84
INVAR-1, Run: 052, P, 0, 0, 1, 0, 0, 0, 4, 4, 0, 0, 44, 10, 18, 7, 88, 9, 11, 7, 4, 18, 32, 11, 88
INVAR-1, Run: 053, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 11, 76, 9, 7, 9, 5, 18, 31, 16, 76
INVAR-1, Run: 054, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 13, 113, 9, 10, 6, 5, 18, 31, 18, 113
INVAR-1, Run: 055, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 23, 136, 9, 8, 6, 6, 18, 30, 29, 136
INVAR-1, Run: 056, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 14, 92, 9, 8, 6, 6, 18, 30, 20, 92
INVAR-1, Run: 057, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 11, 109, 9, 9, 7, 5, 18, 31, 16, 109
INVAR-1, Run: 058, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 17, 126, 9, 8, 6, 6, 18, 30, 23, 126
INVAR-1, Run: 059, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 13, 131, 9, 9, 5, 6, 18, 30, 19, 131
INVAR-1, Run: 060, P, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 14, 52, 9, 3, 7, 8, 18, 28, 22, 52
INVAR-1, Run: 061, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 12, 72, 9, 6, 6, 7, 18, 29, 19, 72
INVAR-1, Run: 062, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 17, 156, 9, 7, 9, 5, 18, 31, 22, 156
INVAR-1, Run: 063, P, 0, 0, 1, 0, 0, 0, 4, 4, 0, 0, 44, 10, 18, 6, 50, 9, 7, 11, 4, 18, 32, 10, 50
INVAR-1, Run: 064, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 35, 196, 9, 10, 2, 7, 18, 29, 42, 196
INVAR-1, Run: 065, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 32, 98, 9, 9, 3, 7, 18, 29, 39, 98
INVAR-1, Run: 066, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 16, 77, 9, 7, 7, 6, 18, 30, 22, 77
INVAR-1, Run: 067, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 25, 199, 9, 7, 7, 6, 18, 30, 31, 199
INVAR-1, Run: 068, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 12, 57, 9, 6, 10, 5, 18, 31, 17, 57
INVAR-1, Run: 069, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 11, 98, 9, 6, 8, 6, 18, 30, 17, 98
INVAR-1, Run: 070, P, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 11, 75, 9, 8, 2, 8, 18, 28, 19, 75
INVAR-1, Run: 071, P, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 11, 75, 9, 7, 5, 7, 18, 29, 18, 75
INVAR-1, Run: 072, P, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 9, 72, 9, 8, 6, 6, 18, 30, 15, 72
INVAR-1, Run: 073, P, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 13, 35, 9, 8, 8, 5, 18, 31, 18, 35
