Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 66, 33, 9, 7, 1, 9, 18, 27, 99, 57
INVAR-1, Run: 002, F, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0, 18, 18, 18, 10, 9, 7, 1, 9, 18, 27, 45, 28
INVAR-1, Run: 003, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 42, 24, 9, 8, 0, 9, 18, 27, 75, 48
INVAR-1, Run: 004, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 46, 15, 9, 5, 3, 9, 18, 27, 77, 37
INVAR-1, Run: 005, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 94, 38, 9, 6, 2, 9, 18, 27, 127, 62
INVAR-1, Run: 006, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 33, 21, 9, 4, 4, 9, 18, 27, 66, 45
INVAR-1, Run: 007, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 40, 21, 9, 6, 2, 9, 18, 27, 72, 44
INVAR-1, Run: 008, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 28, 18, 9, 5, 3, 9, 18, 27, 56, 37
INVAR-1, Run: 009, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 114, 45, 9, 5, 3, 9, 18, 27, 147, 69
INVAR-1, Run: 010, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 18, 20, 9, 5, 3, 9, 18, 27, 44, 37
INVAR-1, Run: 011, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 50, 22, 9, 6, 2, 9, 18, 27, 82, 45
INVAR-1, Run: 012, F, 30, 0, 0, 0, 0, 0, 0, 21, 33, 1, 0, 12, 18, 24, 14, 9, 4, 4, 9, 18, 27, 45, 26
INVAR-1, Run: 013, F, 0, 0, 0, 0, 0, 0, 0, 36, 63, 1, 0, 27, 18, 46, 19, 9, 6, 2, 9, 18, 27, 82, 46
INVAR-1, Run: 014, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 37, 18, 9, 7, 1, 9, 18, 27, 71, 43
INVAR-1, Run: 015, F, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0, 15, 18, 45, 20, 9, 4, 4, 9, 18, 27, 69, 35
INVAR-1, Run: 016, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 89, 31, 9, 7, 1, 9, 18, 27, 121, 54
INVAR-1, Run: 017, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 6, 5, 9, 5, 3, 9, 18, 27, 38, 28
INVAR-1, Run: 018, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 36, 36, 9, 6, 2, 9, 18, 27, 64, 55
INVAR-1, Run: 019, F, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0, 20, 18, 33, 23, 9, 7, 1, 9, 18, 27, 62, 43
INVAR-1, Run: 020, F, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0, 18, 18, 8, 10, 9, 8, 0, 9, 18, 27, 35, 28
INVAR-1, Run: 021, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 21, 15, 9, 7, 1, 9, 18, 27, 55, 40
INVAR-1, Run: 022, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 34, 17, 9, 8, 0, 9, 18, 27, 64, 38
