Input Number, Run_Number, Result@ 100, B, D, X1, H, M, PO, CE, Y, CO, PE, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 31, 78, 9, 3, 5, 9, 18, 27, 42, 78
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54, 3, 18, 17, 107, 9, 4, 4, 9, 18, 27, 29, 107
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54, 5, 18, 17, 147, 9, 7, 1, 9, 18, 27, 31, 147
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 20, 92, 9, 7, 1, 9, 18, 27, 31, 92
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54, 6, 18, 21, 148, 9, 5, 3, 9, 18, 27, 36, 148
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 16, 59, 9, 3, 5, 9, 18, 27, 26, 59
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 7, 91, 9, 5, 3, 9, 18, 27, 18, 91
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54, 0, 18, 14, 128, 9, 5, 3, 9, 18, 27, 23, 128
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 26, 78, 9, 6, 2, 9, 18, 27, 39, 78
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 21, 95, 9, 5, 3, 9, 18, 27, 32, 95
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 13, 126, 9, 6, 2, 9, 18, 27, 23, 126
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 10, 73, 9, 4, 4, 9, 18, 27, 21, 73
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54, 5, 18, 40, 154, 9, 5, 3, 9, 18, 27, 54, 154
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54, 1, 18, 10, 56, 9, 4, 4, 9, 18, 27, 20, 56
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 17, 17, 0, 1, 54, 8, 18, 25, 144, 9, 6, 2, 9, 18, 27, 42, 144
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54, 4, 18, 33, 164, 9, 5, 3, 9, 18, 27, 46, 164
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54, 5, 18, 8, 51, 9, 2, 6, 9, 18, 27, 22, 51
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54, 0, 18, 13, 75, 9, 6, 2, 9, 18, 27, 22, 75
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54, 2, 18, 14, 91, 9, 5, 3, 9, 18, 27, 25, 91
