Input Number, Run_Number, Result@ 100, PE, Y, M, X1, H, PO, CE, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1, 9, 18, 11, 78, 9, 5, 3, 9, 27, 40, 20, 78
INVAR-1, Run: 002, F, 1, 0, 0, 0, 0, 0, 9, 0, 6, 94, 1, 15, 18, 12, 162, 9, 6, 2, 9, 33, 49, 21, 168
INVAR-1, Run: 003, F, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0, 12, 18, 8, 78, 9, 6, 2, 9, 30, 45, 17, 81
INVAR-1, Run: 004, F, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0, 12, 18, 12, 197, 9, 4, 4, 9, 30, 45, 21, 200
INVAR-1, Run: 005, F, 1, 0, 0, 0, 0, 0, 9, 0, 7, 95, 0, 16, 18, 18, 109, 9, 4, 4, 9, 34, 51, 27, 116
INVAR-1, Run: 006, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1, 11, 18, 11, 69, 9, 5, 3, 9, 29, 43, 20, 71
INVAR-1, Run: 007, F, 1, 0, 0, 0, 0, 0, 9, 0, 6, 94, 1, 15, 18, 15, 126, 9, 7, 1, 9, 33, 49, 24, 132
INVAR-1, Run: 008, F, 1, 0, 0, 0, 0, 0, 9, 0, 7, 95, 0, 16, 18, 15, 139, 9, 4, 4, 9, 34, 51, 24, 146
INVAR-1, Run: 009, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1, 11, 18, 16, 124, 9, 5, 3, 9, 29, 43, 25, 126
INVAR-1, Run: 010, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1, 9, 18, 17, 99, 9, 7, 1, 9, 27, 40, 26, 99
INVAR-1, Run: 011, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1, 9, 18, 10, 69, 9, 7, 1, 9, 27, 40, 19, 69
INVAR-1, Run: 012, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1, 9, 18, 22, 151, 9, 5, 3, 9, 27, 40, 31, 151
INVAR-1, Run: 013, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1, 9, 18, 10, 157, 9, 7, 1, 9, 27, 40, 19, 157
INVAR-1, Run: 014, F, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0, 12, 18, 14, 128, 9, 7, 1, 9, 30, 45, 23, 131
INVAR-1, Run: 015, F, 1, 0, 0, 0, 0, 0, 9, 0, 9, 99, 0, 18, 18, 21, 266, 9, 6, 2, 9, 36, 54, 30, 275
INVAR-1, Run: 016, F, 1, 0, 0, 0, 0, 0, 9, 0, 6, 94, 1, 15, 18, 17, 198, 9, 5, 3, 9, 33, 49, 26, 204
