Input Number, Run_Number, Result@ 100, PO, H, PE, X1, M, CE, Y, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 30, 112, 8, 5, 4, 10, 18, 27, 40, 112
INVAR-1, Run: 002, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 41, 197, 6, 7, 4, 12, 18, 27, 53, 197
INVAR-1, Run: 003, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 23, 115, 7, 6, 4, 11, 18, 27, 34, 115
INVAR-1, Run: 004, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 28, 80, 6, 4, 7, 12, 18, 27, 40, 80
INVAR-1, Run: 005, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 23, 81, 5, 5, 7, 13, 18, 27, 36, 81
INVAR-1, Run: 006, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 15, 41, 8, 3, 6, 10, 18, 27, 25, 41
INVAR-1, Run: 007, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 13, 85, 7, 7, 3, 11, 18, 27, 24, 85
INVAR-1, Run: 008, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 25, 150, 6, 7, 4, 12, 18, 27, 37, 150
INVAR-1, Run: 009, P, 0, 0, 1, 0, 0, 15, 15, 0, 0, 54, 0, 12, 18, 47, 73, 3, 7, 7, 15, 18, 27, 62, 73
INVAR-1, Run: 010, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 24, 70, 7, 8, 2, 11, 18, 27, 35, 70
INVAR-1, Run: 011, P, 0, 0, 1, 0, 0, 14, 14, 0, 0, 54, 0, 10, 18, 22, 73, 4, 8, 5, 14, 18, 27, 36, 73
INVAR-1, Run: 012, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 49, 137, 5, 6, 6, 13, 18, 27, 62, 137
INVAR-1, Run: 013, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 11, 100, 7, 6, 4, 11, 18, 27, 22, 100
