Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 363, 9, 8, 0, 9, 18, 25, 363
INVAR-1, Run: 002, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 17, 293, 9, 6, 2, 9, 18, 26, 293
INVAR-1, Run: 003, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 22, 349, 9, 5, 3, 9, 18, 31, 349
INVAR-1, Run: 004, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 20, 255, 9, 6, 2, 9, 18, 29, 255
INVAR-1, Run: 005, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 246, 9, 5, 3, 9, 18, 23, 246
INVAR-1, Run: 006, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 19, 256, 9, 6, 2, 9, 18, 28, 256
INVAR-1, Run: 007, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 7, 160, 9, 5, 3, 9, 18, 16, 160
INVAR-1, Run: 008, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 296, 9, 5, 3, 9, 18, 25, 296
INVAR-1, Run: 009, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 166, 9, 6, 2, 9, 18, 23, 166
INVAR-1, Run: 010, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 34, 335, 9, 3, 5, 9, 18, 43, 335
INVAR-1, Run: 011, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 10, 248, 9, 6, 2, 9, 18, 19, 248
INVAR-1, Run: 012, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 8, 216, 9, 7, 1, 9, 18, 17, 216
INVAR-1, Run: 013, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 137, 9, 3, 5, 9, 18, 23, 137
INVAR-1, Run: 014, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 13, 90, 9, 5, 3, 9, 18, 22, 90
INVAR-1, Run: 015, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 10, 285, 9, 6, 2, 9, 18, 19, 285
INVAR-1, Run: 016, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 13, 232, 9, 5, 3, 9, 18, 22, 232
INVAR-1, Run: 017, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 33, 270, 9, 5, 3, 9, 18, 42, 270
INVAR-1, Run: 018, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 23, 265, 9, 6, 2, 9, 18, 32, 265
INVAR-1, Run: 019, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 19, 195, 9, 5, 3, 9, 18, 28, 195
INVAR-1, Run: 020, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 22, 279, 9, 5, 3, 9, 18, 31, 279
INVAR-1, Run: 021, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 12, 378, 9, 7, 1, 9, 18, 21, 378
INVAR-1, Run: 022, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 23, 261, 9, 6, 2, 9, 18, 32, 261
INVAR-1, Run: 023, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 18, 147, 9, 4, 4, 9, 18, 27, 147
INVAR-1, Run: 024, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 21, 181, 9, 8, 0, 9, 18, 30, 181
INVAR-1, Run: 025, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 26, 421, 9, 7, 1, 9, 18, 35, 421
INVAR-1, Run: 026, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 17, 213, 9, 5, 3, 9, 18, 26, 213
INVAR-1, Run: 027, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 17, 236, 9, 8, 0, 9, 18, 26, 236
INVAR-1, Run: 028, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 13, 138, 9, 8, 0, 9, 18, 22, 138
INVAR-1, Run: 029, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 218, 9, 7, 1, 9, 18, 25, 218
INVAR-1, Run: 030, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 23, 227, 9, 2, 6, 9, 18, 32, 227
INVAR-1, Run: 031, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 10, 95, 9, 6, 2, 9, 18, 19, 95
