Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 199, 0, 0, 0, 0, 0, 104, 0, 1, 54, 0, 95, 18, 22, 107, 9, 6, 2, 9, 18, 27, 126, 107
INVAR-1, Run: 002, P, 222, 1, 0, 0, 0, 0, 115, 0, 1, 54, 0, 107, 18, 33, 93, 9, 6, 2, 9, 18, 27, 148, 93
INVAR-1, Run: 003, P, 222, 1, 0, 0, 0, 0, 115, 0, 1, 54, 0, 107, 18, 23, 73, 9, 6, 2, 9, 18, 27, 138, 73
INVAR-1, Run: 004, P, 257, 2, 0, 0, 0, 0, 132, 0, 1, 54, 0, 125, 18, 29, 129, 9, 4, 4, 9, 18, 27, 161, 129
INVAR-1, Run: 005, P, 203, 2, 0, 0, 0, 0, 105, 0, 1, 54, 0, 98, 18, 11, 76, 9, 4, 4, 9, 18, 27, 116, 76
INVAR-1, Run: 006, P, 214, 1, 0, 0, 0, 0, 111, 0, 1, 54, 0, 103, 18, 50, 99, 9, 6, 2, 9, 18, 27, 161, 99
INVAR-1, Run: 007, P, 217, 0, 0, 0, 0, 0, 113, 0, 1, 54, 0, 104, 18, 20, 125, 9, 5, 3, 9, 18, 27, 133, 125
INVAR-1, Run: 008, P, 224, 1, 0, 0, 0, 0, 116, 0, 1, 54, 0, 108, 18, 29, 112, 9, 8, 0, 9, 18, 27, 145, 112
INVAR-1, Run: 009, P, 201, 0, 0, 0, 0, 0, 105, 0, 1, 54, 0, 96, 18, 26, 64, 9, 5, 3, 9, 18, 27, 131, 64
INVAR-1, Run: 010, P, 177, 0, 0, 0, 0, 0, 93, 0, 1, 54, 0, 84, 18, 36, 108, 9, 5, 3, 9, 18, 27, 129, 108
INVAR-1, Run: 011, P, 210, 1, 0, 0, 0, 0, 109, 0, 1, 54, 0, 101, 18, 29, 75, 9, 6, 2, 9, 18, 27, 138, 75
INVAR-1, Run: 012, P, 231, 2, 0, 0, 0, 0, 119, 0, 1, 54, 0, 112, 18, 44, 100, 9, 4, 4, 9, 18, 27, 163, 100
INVAR-1, Run: 013, P, 253, 0, 0, 0, 0, 0, 131, 0, 1, 54, 0, 122, 18, 22, 106, 9, 5, 3, 9, 18, 27, 153, 106
