Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0, 1, 8, 18, 109, 5, 5, 109, 9, 4, 4, 1, 13, 18, 128, 68
INVAR-1, Run: 002, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 117, 5, 5, 117, 9, 6, 2, 5, 11, 18, 54, 29
INVAR-1, Run: 003, F, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5, 3, 18, 114, 7, 5, 114, 9, 6, 2, 5, 10, 18, 100, 51
INVAR-1, Run: 004, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 107, 6, 6, 107, 9, 7, 1, 5, 11, 18, 50, 27
INVAR-1, Run: 005, F, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5, 3, 18, 110, 6, 4, 110, 9, 5, 3, 5, 10, 18, 136, 69
INVAR-1, Run: 006, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 70, 3, 3, 70, 9, 3, 5, 4, 11, 18, 112, 58
INVAR-1, Run: 007, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 96, 7, 7, 96, 9, 6, 2, 4, 11, 18, 112, 58
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 55, 4, 4, 55, 9, 6, 2, 3, 12, 18, 106, 56
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2, 6, 2, 18, 55, 8, 6, 55, 9, 6, 2, 6, 10, 18, 188, 95
INVAR-1, Run: 010, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 34, 3, 3, 34, 9, 6, 2, 4, 11, 18, 68, 36
INVAR-1, Run: 011, F, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5, 3, 18, 46, 7, 5, 46, 9, 6, 2, 5, 10, 18, 34, 18
INVAR-1, Run: 012, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 35, 2, 2, 35, 9, 4, 4, 4, 11, 18, 74, 39
INVAR-1, Run: 013, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 101, 2, 2, 101, 9, 3, 5, 3, 12, 18, 72, 39
INVAR-1, Run: 014, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2, 7, 18, 109, 4, 4, 109, 9, 6, 2, 2, 12, 18, 88, 47
INVAR-1, Run: 015, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 132, 2, 2, 132, 9, 4, 4, 5, 11, 18, 156, 80
INVAR-1, Run: 016, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 180, 4, 4, 180, 9, 7, 1, 3, 12, 18, 204, 105
INVAR-1, Run: 017, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 131, 2, 2, 131, 9, 6, 2, 4, 11, 18, 130, 67
INVAR-1, Run: 018, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 107, 9, 9, 107, 9, 3, 5, 5, 11, 18, 90, 47
INVAR-1, Run: 019, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 119, 7, 7, 119, 9, 5, 3, 5, 11, 18, 438, 221
INVAR-1, Run: 020, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 109, 6, 6, 109, 9, 7, 1, 5, 11, 18, 110, 57
INVAR-1, Run: 021, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 127, 1, 1, 127, 9, 6, 2, 5, 11, 18, 218, 111
INVAR-1, Run: 022, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 74, 8, 8, 74, 9, 4, 4, 5, 11, 18, 160, 82
INVAR-1, Run: 023, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 79, 8, 8, 79, 9, 4, 4, 5, 11, 18, 198, 101
INVAR-1, Run: 024, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 79, 3, 3, 79, 9, 6, 2, 6, 10, 18, 58, 30
INVAR-1, Run: 025, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 84, 2, 2, 84, 9, 5, 3, 3, 12, 18, 62, 34
INVAR-1, Run: 026, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 74, 2, 2, 74, 9, 8, 0, 4, 11, 18, 136, 70
INVAR-1, Run: 027, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 82, 6, 6, 82, 9, 5, 3, 5, 11, 18, 272, 138
INVAR-1, Run: 028, F, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5, 3, 18, 95, 5, 3, 95, 9, 5, 3, 5, 10, 18, 158, 80
INVAR-1, Run: 029, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 187, 4, 4, 187, 9, 7, 1, 4, 11, 18, 64, 34
INVAR-1, Run: 030, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 146, 12, 12, 146, 9, 6, 2, 4, 11, 18, 110, 57
INVAR-1, Run: 031, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 79, 7, 7, 79, 9, 5, 3, 3, 12, 18, 72, 39
INVAR-1, Run: 032, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 136, 7, 7, 136, 9, 5, 3, 4, 11, 18, 78, 41
INVAR-1, Run: 033, F, 0, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 2, 6, 18, 88, 6, 4, 88, 9, 6, 2, 2, 12, 18, 76, 41
INVAR-1, Run: 034, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2, 7, 18, 44, 1, 1, 44, 9, 3, 5, 2, 12, 18, 50, 28
INVAR-1, Run: 035, F, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 4, 18, 140, 10, 8, 140, 9, 6, 2, 4, 11, 18, 190, 97
INVAR-1, Run: 036, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 79, 0, 0, 79, 9, 8, 0, 6, 10, 18, 32, 17
INVAR-1, Run: 037, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 104, 3, 3, 104, 9, 3, 5, 6, 10, 18, 118, 60
INVAR-1, Run: 038, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 87, 2, 2, 87, 9, 6, 2, 3, 12, 18, 64, 35
INVAR-1, Run: 039, F, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 4, 18, 84, 12, 10, 84, 9, 5, 3, 4, 11, 18, 124, 64
INVAR-1, Run: 040, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 43, 4, 4, 43, 9, 6, 2, 5, 11, 18, 142, 73
INVAR-1, Run: 041, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 165, 7, 7, 165, 9, 5, 3, 5, 11, 18, 152, 78
INVAR-1, Run: 042, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 96, 4, 4, 96, 9, 6, 2, 3, 12, 18, 172, 89
INVAR-1, Run: 043, F, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 4, 18, 33, 6, 4, 33, 9, 4, 4, 4, 11, 18, 68, 36
INVAR-1, Run: 044, F, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7, 2, 18, 67, 5, 5, 67, 9, 6, 2, 7, 10, 18, 622, 312
INVAR-1, Run: 045, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 54, 3, 3, 54, 9, 5, 3, 4, 11, 18, 72, 38
INVAR-1, Run: 046, F, 0, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2, 6, 2, 18, 60, 7, 5, 60, 9, 7, 1, 6, 10, 18, 162, 82
INVAR-1, Run: 047, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 123, 7, 7, 123, 9, 4, 4, 5, 11, 18, 188, 96
INVAR-1, Run: 048, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2, 7, 18, 46, 3, 3, 46, 9, 5, 3, 2, 12, 18, 36, 21
INVAR-1, Run: 049, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 58, 5, 5, 58, 9, 5, 3, 6, 10, 18, 52, 27
INVAR-1, Run: 050, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 84, 7, 7, 84, 9, 5, 3, 3, 12, 18, 84, 45
INVAR-1, Run: 051, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 55, 5, 5, 55, 9, 5, 3, 5, 11, 18, 46, 25
