Input Number, Run_Number, Result@ 100, PE, X1, A, B, C, PO, D, CO, Y, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 223, 9, 9, 159, 10, 4, 3, 10, 10, 21, 103, 51
INVAR-1, Run: 002, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 177, 12, 12, 113, 10, 6, 1, 10, 10, 21, 147, 73
INVAR-1, Run: 003, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 219, 5, 5, 155, 10, 6, 1, 10, 10, 21, 159, 79
INVAR-1, Run: 004, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 116, 8, 8, 52, 10, 3, 4, 10, 10, 21, 91, 45
INVAR-1, Run: 005, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 196, 5, 5, 126, 11, 6, 0, 11, 11, 23, 121, 60
INVAR-1, Run: 006, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 244, 10, 10, 180, 10, 4, 3, 10, 10, 21, 125, 62
INVAR-1, Run: 007, F, 0, 0, 1, 0, 0, 1, 0, 58, 58, 0, 9, 1, 1, 19, 135, 5, 5, 77, 9, 5, 3, 9, 9, 19, 149, 74
INVAR-1, Run: 008, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 202, 9, 9, 132, 11, 4, 2, 11, 11, 23, 33, 16
INVAR-1, Run: 009, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 240, 4, 4, 170, 11, 3, 3, 11, 11, 23, 439, 219
INVAR-1, Run: 010, F, 0, 0, 1, 0, 0, 1, 0, 58, 58, 0, 9, 1, 1, 19, 163, 1, 1, 105, 9, 7, 1, 9, 9, 19, 53, 26
INVAR-1, Run: 011, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 152, 5, 5, 88, 10, 5, 2, 10, 10, 21, 235, 117
INVAR-1, Run: 012, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 238, 6, 6, 168, 11, 6, 0, 11, 11, 23, 177, 88
INVAR-1, Run: 013, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 185, 2, 2, 115, 11, 5, 1, 11, 11, 23, 263, 131
INVAR-1, Run: 014, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 201, 4, 4, 137, 10, 5, 2, 10, 10, 21, 235, 117
INVAR-1, Run: 015, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 252, 2, 2, 182, 11, 6, 0, 11, 11, 23, 171, 85
INVAR-1, Run: 016, F, 0, 0, 1, 0, 0, 1, 0, 76, 76, 0, 12, 1, 7, 25, 244, 10, 10, 168, 12, 3, 2, 12, 12, 25, 103, 51
INVAR-1, Run: 017, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 256, 4, 4, 186, 11, 3, 3, 11, 11, 23, 125, 62
INVAR-1, Run: 018, F, 0, 0, 1, 0, 0, 1, 0, 76, 76, 0, 12, 1, 7, 25, 221, 11, 11, 145, 12, 4, 1, 12, 12, 25, 309, 154
INVAR-1, Run: 019, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 197, 9, 9, 133, 10, 4, 3, 10, 10, 21, 243, 121
INVAR-1, Run: 020, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 173, 10, 10, 103, 11, 2, 4, 11, 11, 23, 147, 73
INVAR-1, Run: 021, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 161, 2, 2, 91, 11, 6, 0, 11, 11, 23, 75, 37
INVAR-1, Run: 022, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 183, 9, 9, 119, 10, 5, 2, 10, 10, 21, 471, 235
INVAR-1, Run: 023, F, 0, 0, 1, 0, 0, 1, 0, 76, 76, 0, 12, 1, 7, 25, 268, 5, 5, 192, 12, 3, 2, 12, 12, 25, 175, 87
INVAR-1, Run: 024, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 206, 1, 1, 136, 11, 3, 3, 11, 11, 23, 105, 52
INVAR-1, Run: 025, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 210, 5, 5, 146, 10, 6, 1, 10, 10, 21, 147, 73
INVAR-1, Run: 026, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 234, 3, 3, 170, 10, 3, 4, 10, 10, 21, 303, 151
INVAR-1, Run: 027, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 197, 3, 3, 133, 10, 5, 2, 10, 10, 21, 137, 68
INVAR-1, Run: 028, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 187, 3, 3, 123, 10, 6, 1, 10, 10, 21, 109, 54
INVAR-1, Run: 029, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 288, 6, 6, 218, 11, 5, 1, 11, 11, 23, 445, 222
INVAR-1, Run: 030, F, 0, 0, 1, 0, 0, 1, 0, 76, 76, 0, 12, 1, 7, 25, 222, 5, 5, 146, 12, 3, 2, 12, 12, 25, 159, 79
INVAR-1, Run: 031, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 169, 2, 2, 99, 11, 5, 1, 11, 11, 23, 195, 97
INVAR-1, Run: 032, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 162, 5, 5, 92, 11, 3, 3, 11, 11, 23, 113, 56
INVAR-1, Run: 033, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 160, 6, 6, 96, 10, 6, 1, 10, 10, 21, 203, 101
INVAR-1, Run: 034, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 114, 5, 5, 50, 10, 5, 2, 10, 10, 21, 109, 54
INVAR-1, Run: 035, F, 0, 0, 1, 0, 0, 1, 0, 76, 76, 0, 12, 1, 7, 25, 216, 8, 8, 140, 12, 4, 1, 12, 12, 25, 313, 156
INVAR-1, Run: 036, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 181, 2, 2, 117, 10, 6, 1, 10, 10, 21, 87, 43
INVAR-1, Run: 037, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 138, 6, 6, 74, 10, 5, 2, 10, 10, 21, 167, 83
INVAR-1, Run: 038, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 171, 7, 7, 107, 10, 5, 2, 10, 10, 21, 53, 26
INVAR-1, Run: 039, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 200, 3, 3, 130, 11, 4, 2, 11, 11, 23, 61, 30
INVAR-1, Run: 040, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 143, 4, 4, 79, 10, 5, 2, 10, 10, 21, 129, 64
INVAR-1, Run: 041, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 182, 4, 4, 118, 10, 4, 3, 10, 10, 21, 317, 158
INVAR-1, Run: 042, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 159, 2, 2, 95, 10, 6, 1, 10, 10, 21, 93, 46
INVAR-1, Run: 043, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 161, 5, 5, 97, 10, 5, 2, 10, 10, 21, 111, 55
INVAR-1, Run: 044, F, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 215, 12, 12, 145, 11, 6, 0, 11, 11, 23, 147, 73
INVAR-1, Run: 045, F, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 159, 1, 1, 95, 10, 7, 0, 10, 10, 21, 111, 55
INVAR-1, Run: 046, F, 0, 0, 1, 0, 0, 1, 0, 58, 58, 0, 9, 1, 1, 19, 257, 4, 4, 199, 9, 8, 0, 9, 9, 19, 113, 56
INVAR-1, Run: 047, F, 0, 0, 1, 0, 0, 1, 0, 76, 76, 0, 12, 1, 7, 25, 257, 2, 2, 181, 12, 3, 2, 12, 12, 25, 265, 132
