Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, Y, PE, CE, CO, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 6, 48, 1, 0, 0, 9, 0, 18, 48, 5, 5, 0, 9, 6, 2, 9, 9, 18, 68, 34
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 16, 40, 1, 2, 0, 8, 0, 18, 38, 4, 2, 0, 9, 5, 3, 8, 9, 18, 106, 53
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 19, 35, 1, 0, 0, 9, 0, 18, 35, 7, 7, 0, 9, 6, 2, 9, 9, 18, 22, 11
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 14, 42, 1, 2, 0, 8, 0, 18, 40, 9, 7, 0, 9, 4, 4, 8, 9, 18, 52, 26
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 9, 45, 1, 0, 0, 9, 0, 18, 45, 9, 9, 0, 9, 3, 5, 9, 9, 18, 34, 17
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 8, 46, 1, 0, 0, 9, 0, 18, 46, 9, 9, 0, 9, 4, 4, 9, 9, 18, 32, 16
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 8, 46, 1, 0, 0, 9, 0, 18, 46, 8, 8, 0, 9, 5, 3, 9, 9, 18, 24, 12
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 11, 43, 1, 0, 0, 9, 0, 18, 43, 9, 9, 0, 9, 3, 5, 9, 9, 18, 44, 22
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 19, 35, 1, 0, 0, 9, 0, 18, 35, 5, 5, 0, 9, 5, 3, 9, 9, 18, 58, 29
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 17, 39, 1, 2, 0, 8, 0, 18, 37, 6, 4, 0, 9, 7, 1, 8, 9, 18, 42, 21
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 12, 42, 1, 0, 0, 9, 0, 18, 42, 5, 5, 0, 9, 5, 3, 9, 9, 18, 48, 24
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 3, 51, 1, 0, 0, 9, 0, 18, 51, 10, 10, 0, 9, 2, 6, 9, 9, 18, 52, 26
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 5, 49, 1, 0, 0, 9, 0, 18, 49, 7, 7, 0, 9, 7, 1, 9, 9, 18, 26, 13
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 54, 1, 0, 0, 9, 0, 18, 54, 4, 4, 0, 9, 6, 2, 9, 9, 18, 36, 18
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 2, 52, 1, 0, 0, 9, 0, 18, 52, 10, 10, 0, 9, 4, 4, 9, 9, 18, 52, 26
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 2, 52, 1, 0, 0, 9, 0, 18, 52, 7, 7, 0, 9, 8, 0, 9, 9, 18, 44, 22
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 41, 15, 1, 2, 0, 8, 0, 18, 13, 5, 3, 0, 9, 6, 2, 8, 9, 18, 148, 74
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 4, 50, 1, 0, 0, 9, 0, 18, 50, 6, 6, 0, 9, 5, 3, 9, 9, 18, 20, 10
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 7, 49, 1, 2, 0, 8, 0, 18, 47, 13, 11, 0, 9, 8, 0, 8, 9, 18, 52, 26
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 1, 53, 1, 0, 0, 9, 0, 18, 53, 2, 2, 0, 9, 7, 1, 9, 9, 18, 30, 15
