Input Number, Run_Number, Result@ 100, CO, X1, A, B, C, PO, D, Y, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 70, 18, 110, 2, 2, 110, 9, 6, 2, 9, 9, 18, 274, 137
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 17, 18, 69, 5, 3, 69, 9, 4, 4, 8, 9, 18, 204, 102
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 0, 18, 2, 7, 5, 2, 9, 2, 6, 8, 9, 18, 12, 6
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 23, 18, 78, 6, 4, 78, 9, 4, 4, 8, 9, 18, 160, 80
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 11, 18, 106, 6, 6, 106, 9, 3, 5, 9, 9, 18, 216, 108
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 57, 18, 117, 5, 5, 117, 9, 7, 1, 9, 9, 18, 66, 33
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 80, 18, 97, 6, 6, 97, 9, 5, 3, 9, 9, 18, 190, 95
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 45, 18, 94, 2, 2, 94, 9, 4, 4, 9, 9, 18, 60, 30
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 111, 18, 118, 4, 4, 118, 9, 4, 4, 9, 9, 18, 42, 21
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 17, 18, 97, 11, 9, 97, 9, 4, 4, 8, 9, 18, 68, 34
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 236, 18, 83, 5, 5, 83, 9, 7, 1, 9, 9, 18, 80, 40
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 41, 18, 257, 9, 7, 257, 9, 4, 4, 8, 9, 18, 104, 52
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 17, 18, 148, 5, 5, 148, 9, 7, 1, 9, 9, 18, 174, 87
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 39, 18, 95, 9, 9, 95, 9, 6, 2, 9, 9, 18, 202, 101
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 97, 18, 132, 6, 6, 132, 9, 5, 3, 9, 9, 18, 130, 65
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 25, 18, 64, 7, 7, 64, 9, 5, 3, 9, 9, 18, 68, 34
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 81, 18, 139, 21, 21, 139, 9, 4, 4, 9, 9, 18, 24, 12
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 35, 18, 96, 10, 10, 96, 9, 6, 2, 9, 9, 18, 134, 67
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 32, 18, 165, 9, 9, 165, 9, 5, 3, 9, 9, 18, 68, 34
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 16, 18, 119, 5, 3, 119, 9, 6, 2, 8, 9, 18, 222, 111
