Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 0, 0, 0, 22, 33, 33, 0, 0, 9, 1, 18, 33, 0, 0, 0, 9, 0, 0, 9, 13, 18, 33, 16
INVAR-1, Run: 002, F, 0, 0, 0, 0, 0, 19, 36, 36, 0, 0, 9, 1, 18, 36, 0, 0, 0, 9, 0, 0, 9, 13, 18, 105, 52
INVAR-1, Run: 003, F, 0, 0, 0, 0, 0, 19, 36, 36, 0, 0, 9, 1, 18, 36, 0, 0, 0, 9, 0, 0, 9, 13, 18, 35, 17
INVAR-1, Run: 004, F, 0, 0, 0, 0, 0, 14, 41, 41, 0, 0, 9, 1, 18, 41, 0, 0, 0, 9, 0, 0, 9, 13, 18, 39, 19
INVAR-1, Run: 005, F, 0, 0, 0, 0, 0, 24, 31, 31, 0, 0, 9, 1, 18, 31, 0, 0, 0, 9, 0, 0, 9, 13, 18, 49, 24
INVAR-1, Run: 006, F, 0, 0, 0, 0, 0, 32, 23, 23, 0, 0, 9, 1, 18, 23, 0, 0, 0, 9, 0, 0, 9, 13, 18, 107, 53
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 14, 41, 41, 0, 0, 9, 1, 18, 41, 0, 0, 0, 9, 0, 0, 9, 13, 18, 39, 19
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 9, 46, 46, 0, 0, 9, 1, 18, 46, 0, 0, 0, 9, 0, 0, 9, 13, 18, 31, 15
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 4, 51, 51, 0, 0, 9, 1, 18, 51, 0, 0, 0, 9, 0, 0, 9, 13, 18, 41, 20
INVAR-1, Run: 010, F, 0, 0, 0, 0, 0, 3, 52, 52, 0, 0, 9, 1, 18, 52, 0, 0, 0, 9, 0, 0, 9, 13, 18, 45, 22
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 4, 51, 51, 0, 0, 9, 1, 18, 51, 0, 0, 0, 9, 0, 0, 9, 13, 18, 43, 21
INVAR-1, Run: 012, F, 0, 0, 0, 0, 0, 5, 50, 50, 0, 0, 9, 1, 18, 50, 0, 0, 0, 9, 0, 0, 9, 13, 18, 31, 15
INVAR-1, Run: 013, F, 0, 0, 0, 0, 0, 7, 48, 48, 0, 0, 9, 1, 18, 48, 0, 0, 0, 9, 0, 0, 9, 13, 18, 33, 16
INVAR-1, Run: 014, F, 0, 0, 0, 0, 0, 32, 23, 23, 0, 0, 9, 1, 18, 23, 0, 0, 0, 9, 0, 0, 9, 13, 18, 45, 22
INVAR-1, Run: 015, F, 0, 0, 0, 0, 0, 20, 35, 35, 0, 0, 9, 1, 18, 35, 0, 0, 0, 9, 0, 0, 9, 13, 18, 35, 17
INVAR-1, Run: 016, F, 0, 0, 0, 0, 0, 13, 42, 42, 0, 0, 9, 1, 18, 42, 0, 0, 0, 9, 0, 0, 9, 13, 18, 31, 15
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 8, 47, 47, 0, 0, 9, 1, 18, 47, 0, 0, 0, 9, 0, 0, 9, 13, 18, 27, 13
INVAR-1, Run: 018, F, 0, 0, 0, 0, 0, 9, 46, 46, 0, 0, 9, 1, 18, 46, 0, 0, 0, 9, 0, 0, 9, 13, 18, 23, 11
INVAR-1, Run: 019, F, 0, 0, 0, 0, 0, 10, 45, 45, 0, 0, 9, 1, 18, 45, 0, 0, 0, 9, 0, 0, 9, 13, 18, 43, 21
INVAR-1, Run: 020, F, 0, 0, 0, 0, 0, 6, 49, 49, 0, 0, 9, 1, 18, 49, 0, 0, 0, 9, 0, 0, 9, 13, 18, 43, 21
INVAR-1, Run: 021, F, 0, 0, 0, 0, 0, 11, 44, 44, 0, 0, 9, 1, 18, 44, 0, 0, 0, 9, 0, 0, 9, 13, 18, 51, 25
INVAR-1, Run: 022, F, 0, 0, 0, 0, 0, 5, 50, 50, 0, 0, 9, 1, 18, 50, 0, 0, 0, 9, 0, 0, 9, 13, 18, 25, 12
