Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 17, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0, 8, 18, 56, 8, 8, 56, 5, 3, 1, 9, 13, 18, 210, 109
INVAR-1, Run: 002, F, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 18, 84, 7, 5, 84, 7, 3, 3, 8, 11, 18, 36, 20
INVAR-1, Run: 003, F, 0, 17, 0, 0, 0, 0, 0, 0, 46, 46, 0, 0, 8, 18, 145, 7, 7, 99, 5, 5, 0, 9, 13, 18, 142, 75
INVAR-1, Run: 004, F, 0, 13, 0, 0, 0, 0, 0, 8, 42, 42, 0, 0, 4, 18, 118, 6, 6, 76, 7, 5, 2, 9, 11, 18, 124, 64
INVAR-1, Run: 005, F, 0, 13, 0, 0, 0, 0, 0, 7, 43, 43, 0, 0, 4, 18, 83, 1, 1, 40, 7, 6, 1, 9, 11, 18, 132, 68
INVAR-1, Run: 006, F, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 18, 75, 15, 13, 75, 7, 2, 4, 8, 11, 18, 358, 181
INVAR-1, Run: 007, F, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 18, 92, 10, 8, 92, 7, 5, 1, 8, 11, 18, 384, 194
INVAR-1, Run: 008, F, 0, 15, 0, 0, 0, 0, 0, 32, 16, 16, 0, 0, 6, 18, 62, 5, 5, 46, 6, 3, 3, 9, 12, 18, 298, 152
INVAR-1, Run: 009, F, 0, 13, 0, 0, 0, 0, 0, 44, 6, 6, 0, 0, 4, 18, 28, 3, 3, 22, 7, 4, 3, 9, 11, 18, 198, 101
INVAR-1, Run: 010, F, 0, 15, 0, 0, 0, 0, 0, 31, 17, 17, 0, 0, 6, 18, 128, 3, 3, 111, 6, 5, 1, 9, 12, 18, 152, 79
INVAR-1, Run: 011, F, 0, 11, 0, 0, 0, 0, 0, 0, 52, 52, 0, 0, 2, 18, 125, 6, 6, 73, 8, 5, 3, 9, 10, 18, 124, 63
INVAR-1, Run: 012, F, 0, 13, 0, 0, 0, 0, 0, 22, 28, 28, 0, 0, 4, 18, 42, 7, 7, 14, 7, 5, 2, 9, 11, 18, 86, 45
INVAR-1, Run: 013, F, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 18, 34, 5, 3, 34, 7, 4, 2, 8, 11, 18, 114, 59
INVAR-1, Run: 014, F, 0, 17, 0, 0, 0, 0, 0, 13, 33, 33, 0, 0, 8, 18, 56, 0, 0, 23, 5, 4, 1, 9, 13, 18, 80, 44
INVAR-1, Run: 015, F, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 6, 18, 70, 8, 8, 70, 6, 4, 1, 9, 12, 18, 140, 73
INVAR-1, Run: 016, F, 0, 17, 0, 0, 0, 0, 0, 12, 34, 34, 0, 0, 8, 18, 46, 5, 5, 12, 5, 2, 3, 9, 13, 18, 62, 35
INVAR-1, Run: 017, F, 0, 17, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0, 8, 18, 85, 7, 7, 85, 5, 3, 1, 9, 13, 18, 172, 90
INVAR-1, Run: 018, F, 0, 16, 0, 0, 0, 0, 0, 46, 0, 2, 1, 2, 8, 18, 44, 5, 3, 44, 5, 3, 1, 8, 13, 18, 314, 161
INVAR-1, Run: 019, F, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 6, 18, 76, 8, 8, 76, 6, 3, 2, 9, 12, 18, 92, 49
INVAR-1, Run: 020, F, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 2, 18, 60, 3, 3, 60, 8, 6, 1, 9, 10, 18, 48, 25
INVAR-1, Run: 021, F, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 18, 58, 11, 9, 58, 7, 3, 3, 8, 11, 18, 58, 31
INVAR-1, Run: 022, F, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 18, 37, 1, 1, 37, 7, 5, 1, 9, 11, 18, 116, 60
INVAR-1, Run: 023, F, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 18, 46, 5, 5, 46, 7, 5, 1, 9, 11, 18, 54, 29
INVAR-1, Run: 024, F, 0, 13, 0, 0, 0, 0, 0, 42, 8, 8, 0, 0, 4, 18, 90, 1, 1, 82, 7, 6, 1, 9, 11, 18, 140, 72
INVAR-1, Run: 025, F, 0, 15, 0, 0, 0, 0, 0, 34, 14, 14, 0, 0, 6, 18, 68, 8, 8, 54, 6, 3, 3, 9, 12, 18, 132, 69
INVAR-1, Run: 026, F, 0, 17, 0, 0, 0, 0, 0, 10, 36, 36, 0, 0, 8, 18, 66, 9, 9, 30, 5, 3, 2, 9, 13, 18, 102, 55
INVAR-1, Run: 027, F, 0, 13, 0, 0, 0, 0, 0, 38, 12, 12, 0, 0, 4, 18, 62, 4, 4, 50, 7, 7, 0, 9, 11, 18, 244, 124
INVAR-1, Run: 028, F, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 6, 18, 95, 7, 7, 95, 6, 2, 3, 9, 12, 18, 96, 51
INVAR-1, Run: 029, F, 0, 15, 0, 0, 0, 0, 0, 22, 26, 26, 0, 0, 6, 18, 58, 3, 3, 32, 6, 2, 4, 9, 12, 18, 76, 41
INVAR-1, Run: 030, F, 0, 15, 0, 0, 0, 0, 0, 26, 22, 22, 0, 0, 6, 18, 48, 11, 11, 26, 6, 3, 3, 9, 12, 18, 194, 100
INVAR-1, Run: 031, F, 0, 15, 0, 0, 0, 0, 0, 22, 26, 26, 0, 0, 6, 18, 51, 3, 3, 25, 6, 3, 3, 9, 12, 18, 72, 39
INVAR-1, Run: 032, F, 0, 17, 0, 0, 0, 0, 0, 13, 33, 33, 0, 0, 8, 18, 98, 11, 11, 65, 5, 3, 2, 9, 13, 18, 150, 79
INVAR-1, Run: 033, F, 0, 13, 0, 0, 0, 0, 0, 15, 35, 35, 0, 0, 4, 18, 102, 2, 2, 67, 7, 4, 3, 9, 11, 18, 132, 68
INVAR-1, Run: 034, F, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 6, 18, 59, 7, 5, 59, 6, 3, 2, 8, 12, 18, 146, 76
INVAR-1, Run: 035, F, 0, 15, 0, 0, 0, 0, 0, 23, 25, 25, 0, 0, 6, 18, 67, 6, 6, 42, 6, 5, 1, 9, 12, 18, 134, 70
INVAR-1, Run: 036, F, 0, 17, 0, 0, 0, 0, 0, 34, 12, 12, 0, 0, 8, 18, 66, 9, 9, 54, 5, 5, 0, 9, 13, 18, 182, 95
INVAR-1, Run: 037, F, 0, 15, 0, 0, 0, 0, 0, 10, 38, 38, 0, 0, 6, 18, 68, 2, 2, 30, 6, 3, 3, 9, 12, 18, 62, 34
INVAR-1, Run: 038, F, 0, 10, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2, 2, 18, 63, 7, 5, 63, 8, 4, 3, 8, 10, 18, 86, 44
INVAR-1, Run: 039, F, 0, 17, 0, 0, 0, 0, 0, 33, 13, 13, 0, 0, 8, 18, 68, 1, 1, 55, 5, 5, 0, 9, 13, 18, 212, 110
INVAR-1, Run: 040, F, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 2, 18, 68, 5, 5, 68, 8, 3, 4, 9, 10, 18, 160, 81
INVAR-1, Run: 041, F, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 6, 18, 105, 6, 4, 105, 6, 2, 3, 8, 12, 18, 152, 79
INVAR-1, Run: 042, F, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 18, 118, 4, 2, 118, 7, 4, 2, 8, 11, 18, 160, 82
INVAR-1, Run: 043, F, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 18, 66, 2, 2, 66, 7, 4, 2, 9, 11, 18, 166, 85
INVAR-1, Run: 044, F, 0, 19, 0, 0, 0, 0, 0, 11, 33, 33, 0, 0, 10, 18, 38, 2, 2, 5, 4, 2, 2, 9, 14, 18, 120, 65
INVAR-1, Run: 045, F, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 2, 18, 107, 5, 5, 107, 8, 5, 2, 9, 10, 18, 132, 67
INVAR-1, Run: 046, F, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 18, 51, 5, 3, 51, 7, 3, 3, 8, 11, 18, 174, 89
INVAR-1, Run: 047, F, 0, 15, 0, 0, 0, 0, 0, 12, 36, 36, 0, 0, 6, 18, 79, 4, 4, 43, 6, 5, 1, 9, 12, 18, 98, 52
INVAR-1, Run: 048, F, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 18, 32, 7, 5, 32, 7, 4, 2, 8, 11, 18, 50, 27
INVAR-1, Run: 049, F, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 6, 18, 27, 10, 8, 27, 6, 3, 2, 8, 12, 18, 100, 53
INVAR-1, Run: 050, F, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 18, 63, 11, 11, 63, 7, 4, 2, 9, 11, 18, 64, 34
INVAR-1, Run: 051, F, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 2, 18, 211, 9, 9, 211, 8, 5, 2, 9, 10, 18, 326, 164
INVAR-1, Run: 052, F, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 18, 53, 7, 7, 53, 7, 6, 0, 9, 11, 18, 48, 26
INVAR-1, Run: 053, F, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 18, 78, 4, 4, 78, 7, 3, 3, 9, 11, 18, 506, 255
INVAR-1, Run: 054, F, 0, 13, 0, 0, 0, 0, 0, 10, 40, 40, 0, 0, 4, 18, 81, 2, 2, 41, 7, 4, 3, 9, 11, 18, 24, 14
INVAR-1, Run: 055, F, 0, 15, 0, 0, 0, 0, 0, 28, 20, 20, 0, 0, 6, 18, 71, 3, 3, 51, 6, 4, 2, 9, 12, 18, 106, 56
INVAR-1, Run: 056, F, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 6, 18, 129, 9, 9, 129, 6, 3, 2, 9, 12, 18, 160, 83
INVAR-1, Run: 057, F, 0, 17, 0, 0, 0, 0, 0, 17, 29, 29, 0, 0, 8, 18, 61, 1, 1, 32, 5, 3, 2, 9, 13, 18, 96, 52
INVAR-1, Run: 058, F, 0, 15, 0, 0, 0, 0, 0, 23, 25, 25, 0, 0, 6, 18, 222, 10, 10, 197, 6, 5, 1, 9, 12, 18, 174, 90
INVAR-1, Run: 059, F, 0, 15, 0, 0, 0, 0, 0, 7, 41, 41, 0, 0, 6, 18, 77, 5, 5, 36, 6, 4, 2, 9, 12, 18, 68, 37
INVAR-1, Run: 060, F, 0, 19, 0, 0, 0, 0, 0, 17, 27, 27, 0, 0, 10, 18, 32, 0, 0, 5, 4, 4, 0, 9, 14, 18, 44, 27
INVAR-1, Run: 061, F, 0, 13, 0, 0, 0, 0, 0, 10, 40, 40, 0, 0, 4, 18, 75, 5, 5, 35, 7, 6, 1, 9, 11, 18, 118, 61
INVAR-1, Run: 062, F, 0, 17, 0, 0, 0, 0, 0, 21, 25, 25, 0, 0, 8, 18, 90, 2, 2, 65, 5, 4, 1, 9, 13, 18, 78, 43
INVAR-1, Run: 063, F, 0, 16, 0, 0, 0, 0, 0, 46, 0, 2, 1, 2, 8, 18, 75, 7, 5, 75, 5, 4, 0, 8, 13, 18, 128, 68
INVAR-1, Run: 064, F, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 18, 70, 5, 5, 70, 7, 4, 2, 9, 11, 18, 302, 153
INVAR-1, Run: 065, F, 0, 13, 0, 0, 0, 0, 0, 19, 31, 31, 0, 0, 4, 18, 73, 7, 7, 42, 7, 5, 2, 9, 11, 18, 68, 36
INVAR-1, Run: 066, F, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 18, 58, 7, 7, 58, 7, 4, 2, 9, 11, 18, 218, 111
INVAR-1, Run: 067, F, 0, 17, 0, 0, 0, 0, 0, 2, 44, 44, 0, 0, 8, 18, 65, 2, 2, 21, 5, 5, 0, 9, 13, 18, 56, 32
INVAR-1, Run: 068, F, 0, 15, 0, 0, 0, 0, 0, 1, 47, 47, 0, 0, 6, 18, 80, 4, 4, 33, 6, 4, 2, 9, 12, 18, 54, 30
INVAR-1, Run: 069, F, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 2, 18, 43, 8, 8, 43, 8, 5, 2, 9, 10, 18, 254, 128
INVAR-1, Run: 070, F, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 6, 18, 72, 10, 10, 72, 6, 3, 2, 9, 12, 18, 246, 126
INVAR-1, Run: 071, F, 0, 13, 0, 0, 0, 0, 0, 31, 19, 19, 0, 0, 4, 18, 54, 9, 9, 35, 7, 6, 1, 9, 11, 18, 78, 41
INVAR-1, Run: 072, F, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 18, 29, 8, 6, 29, 7, 4, 2, 8, 11, 18, 282, 143
INVAR-1, Run: 073, F, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 6, 18, 54, 9, 7, 54, 6, 3, 2, 8, 12, 18, 54, 30
INVAR-1, Run: 074, F, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 18, 95, 10, 8, 95, 7, 5, 1, 8, 11, 18, 118, 61
INVAR-1, Run: 075, F, 0, 15, 0, 0, 0, 0, 0, 1, 47, 47, 0, 0, 6, 18, 100, 5, 5, 53, 6, 3, 3, 9, 12, 18, 80, 43
INVAR-1, Run: 076, F, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 6, 18, 94, 13, 11, 94, 6, 4, 1, 8, 12, 18, 90, 48
INVAR-1, Run: 077, F, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 18, 79, 11, 11, 79, 7, 2, 4, 9, 11, 18, 94, 49
INVAR-1, Run: 078, F, 0, 13, 0, 0, 0, 0, 0, 23, 27, 27, 0, 0, 4, 18, 80, 4, 4, 53, 7, 5, 2, 9, 11, 18, 130, 67
INVAR-1, Run: 079, F, 0, 15, 0, 0, 0, 0, 0, 36, 12, 12, 0, 0, 6, 18, 57, 3, 3, 45, 6, 5, 1, 9, 12, 18, 298, 152
INVAR-1, Run: 080, F, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 2, 18, 100, 11, 11, 100, 8, 2, 5, 9, 10, 18, 72, 37
INVAR-1, Run: 081, F, 0, 10, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2, 2, 18, 57, 6, 4, 57, 8, 5, 2, 8, 10, 18, 304, 153
INVAR-1, Run: 082, F, 0, 13, 0, 0, 0, 0, 0, 25, 25, 25, 0, 0, 4, 18, 44, 6, 6, 19, 7, 4, 3, 9, 11, 18, 206, 105
INVAR-1, Run: 083, F, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 6, 18, 86, 10, 8, 86, 6, 2, 3, 8, 12, 18, 432, 219
INVAR-1, Run: 084, F, 0, 13, 0, 0, 0, 0, 0, 15, 35, 35, 0, 0, 4, 18, 85, 3, 3, 50, 7, 5, 2, 9, 11, 18, 104, 54
INVAR-1, Run: 085, F, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 2, 18, 138, 3, 3, 138, 8, 2, 5, 9, 10, 18, 102, 52
INVAR-1, Run: 086, F, 0, 16, 0, 0, 1, 0, 0, 36, 10, 11, 0, 1, 8, 18, 65, 4, 3, 55, 5, 2, 3, 8, 13, 18, 230, 119
INVAR-1, Run: 087, F, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 6, 18, 107, 3, 3, 107, 6, 4, 1, 9, 12, 18, 86, 46
INVAR-1, Run: 088, F, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 18, 35, 6, 6, 35, 7, 4, 2, 9, 11, 18, 220, 112
INVAR-1, Run: 089, F, 0, 15, 0, 0, 0, 0, 0, 7, 41, 41, 0, 0, 6, 18, 108, 4, 4, 67, 6, 5, 1, 9, 12, 18, 72, 39
INVAR-1, Run: 090, F, 0, 13, 0, 0, 0, 0, 0, 41, 9, 9, 0, 0, 4, 18, 58, 3, 3, 49, 7, 7, 0, 9, 11, 18, 246, 125
INVAR-1, Run: 091, F, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 6, 18, 48, 10, 8, 48, 6, 2, 3, 8, 12, 18, 216, 111
INVAR-1, Run: 092, F, 0, 15, 0, 0, 0, 0, 0, 0, 48, 48, 0, 0, 6, 18, 81, 11, 11, 33, 6, 5, 1, 9, 12, 18, 64, 35
INVAR-1, Run: 093, F, 0, 17, 2, 0, 0, 0, 0, 1, 47, 47, 0, 0, 8, 18, 70, 2, 2, 23, 5, 2, 3, 9, 12, 18, 106, 56
INVAR-1, Run: 094, F, 0, 15, 0, 0, 0, 0, 0, 37, 11, 11, 0, 0, 6, 18, 103, 4, 4, 92, 6, 6, 0, 9, 12, 18, 280, 143
INVAR-1, Run: 095, F, 0, 17, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0, 8, 18, 56, 9, 9, 56, 5, 1, 3, 9, 13, 18, 200, 104
INVAR-1, Run: 096, F, 0, 17, 0, 0, 0, 0, 0, 6, 40, 40, 0, 0, 8, 18, 108, 8, 8, 68, 5, 4, 1, 9, 13, 18, 216, 112
INVAR-1, Run: 097, F, 0, 11, 0, 0, 0, 0, 0, 25, 27, 27, 0, 0, 2, 18, 190, 13, 13, 163, 8, 5, 3, 9, 10, 18, 168, 85
