Input Number, Run_Number, Result@ 100, F, Y, CE, X1, A, B, C, PO, D, CO, PE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 113, 10, 18, 105, 9, 7, 1, 13, 5, 18, 44, 18
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 175, 10, 16, 169, 9, 7, 1, 12, 6, 18, 36, 15
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 122, 4, 12, 114, 9, 5, 3, 13, 5, 18, 58, 25
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 77, 3, 9, 71, 9, 8, 0, 12, 6, 18, 16, 5
INVAR-1, Run: 005, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 161, 11, 15, 157, 9, 6, 2, 11, 6, 18, 38, 16
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 72, 14, 22, 64, 9, 3, 5, 13, 5, 18, 42, 17
INVAR-1, Run: 007, P, 1, 0, 1, 0, 0, 0, 0, 0, 56, 6, 1, 12, 7, 18, 118, 3, 9, 112, 9, 6, 2, 12, 5, 18, 50, 21
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 140, 6, 10, 136, 9, 3, 5, 11, 7, 18, 40, 18
INVAR-1, Run: 009, P, 1, 0, 5, 0, 0, 0, 0, 0, 60, 2, 1, 10, 7, 18, 80, 8, 10, 78, 9, 5, 3, 10, 5, 18, 54, 23
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 111, 11, 15, 107, 9, 5, 3, 11, 7, 18, 12, 4
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 197, 5, 13, 189, 9, 5, 3, 13, 5, 18, 30, 11
INVAR-1, Run: 012, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 47, 10, 12, 45, 9, 3, 5, 10, 7, 18, 12, 4
INVAR-1, Run: 013, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 0, 1, 9, 2, 18, 83, 6, 6, 83, 9, 5, 3, 9, 8, 18, 50, 24
INVAR-1, Run: 014, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 132, 8, 12, 128, 9, 7, 1, 11, 6, 18, 56, 25
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 117, 9, 15, 111, 9, 7, 1, 12, 6, 18, 10, 2
INVAR-1, Run: 016, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 8, 1, 13, 10, 18, 236, 10, 18, 228, 9, 7, 1, 13, 4, 18, 30, 10
INVAR-1, Run: 017, P, 0, 0, 4, 0, 0, 0, 0, 0, 58, 4, 1, 11, 8, 18, 158, 12, 16, 154, 9, 7, 1, 11, 5, 18, 46, 19
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 144, 10, 14, 140, 9, 5, 3, 11, 7, 18, 48, 22
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 176, 8, 16, 168, 9, 7, 1, 13, 5, 18, 20, 6
INVAR-1, Run: 020, P, 0, 0, 4, 0, 0, 0, 0, 0, 58, 2, 1, 10, 6, 18, 83, 15, 17, 81, 9, 6, 2, 10, 6, 18, 62, 28
INVAR-1, Run: 021, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 87, 4, 8, 83, 9, 5, 3, 11, 6, 18, 30, 12
INVAR-1, Run: 022, P, 1, 0, 1, 0, 0, 0, 0, 0, 56, 6, 1, 12, 7, 18, 96, 7, 13, 90, 9, 6, 2, 12, 5, 18, 14, 3
INVAR-1, Run: 023, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 94, 10, 14, 90, 9, 4, 4, 11, 6, 18, 34, 14
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 181, 7, 13, 175, 9, 5, 3, 12, 6, 18, 42, 18
INVAR-1, Run: 025, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 87, 6, 10, 83, 9, 4, 4, 11, 6, 18, 94, 44
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 90, 6, 12, 84, 9, 7, 1, 12, 6, 18, 12, 3
INVAR-1, Run: 027, P, 1, 0, 1, 0, 0, 0, 0, 0, 56, 4, 1, 11, 5, 18, 137, 7, 11, 133, 9, 4, 4, 11, 6, 18, 24, 9
INVAR-1, Run: 028, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 118, 5, 9, 114, 9, 5, 3, 11, 6, 18, 48, 21
INVAR-1, Run: 029, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 55, 8, 10, 53, 9, 4, 4, 10, 7, 18, 12, 4
INVAR-1, Run: 030, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 135, 8, 12, 131, 9, 6, 2, 11, 6, 18, 36, 15
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 164, 7, 11, 160, 9, 5, 3, 11, 7, 18, 48, 22
INVAR-1, Run: 032, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 80, 4, 8, 76, 9, 6, 2, 11, 6, 18, 30, 12
INVAR-1, Run: 033, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 132, 8, 12, 128, 9, 7, 1, 11, 6, 18, 14, 4
