Input Number, Run_Number, Result@ 100, E, PE, B, X1, A, C, PO, D, CO, Y, CE, F
INVAR-1, Run: 001, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 002, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 003, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 004, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 005, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 006, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 007, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 008, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 009, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 010, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 011, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 012, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 013, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 014, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 015, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 016, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 017, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 018, F, 2, 0, 0, 0, 1, 0, 1, 0, 93, 93, 0, 0
INVAR-1, Run: 019, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 020, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 021, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 022, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 023, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 024, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 025, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 026, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 027, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 028, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 029, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
INVAR-1, Run: 030, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 031, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 032, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 033, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 034, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 035, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 036, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
INVAR-1, Run: 037, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 038, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 039, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 040, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 041, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
INVAR-1, Run: 042, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 043, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 044, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
INVAR-1, Run: 045, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 046, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 047, F, 6, 0, 1, 0, 1, 0, 1, 0, 70, 70, 0, 1
INVAR-1, Run: 048, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 049, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 050, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 051, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
INVAR-1, Run: 052, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 053, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 054, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 055, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 056, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 057, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 058, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 059, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 060, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 061, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 062, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 063, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
INVAR-1, Run: 064, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 065, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 066, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 067, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 068, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 069, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 070, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 071, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 072, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
INVAR-1, Run: 073, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 074, F, 7, 0, 0, 0, 1, 0, 1, 0, 63, 63, 0, 0
INVAR-1, Run: 075, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 076, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
INVAR-1, Run: 077, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 078, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 079, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 080, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 081, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 082, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 083, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 084, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 085, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 086, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 087, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 088, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 089, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 090, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 091, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 092, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
INVAR-1, Run: 093, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
INVAR-1, Run: 094, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 095, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
INVAR-1, Run: 096, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 097, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 098, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
INVAR-1, Run: 099, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-1, Run: 100, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
INVAR-10, Run: 001, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 002, F, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0
INVAR-10, Run: 003, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 004, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 005, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
INVAR-10, Run: 006, F, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0
INVAR-10, Run: 007, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 008, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
