Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F
INVAR-1, Run: 001, F, 20, 1912, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0
INVAR-1, Run: 002, F, 14, 1312, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0
INVAR-1, Run: 003, F, 20, 1925, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0
INVAR-1, Run: 004, F, 10, 975, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0
INVAR-1, Run: 005, F, 2, 209, 0, 0, 0, 0, 0, 52, 0, 1, 10, 0
INVAR-1, Run: 006, F, 0, 10, 0, 0, 0, 0, 0, 54, 0, 1, 9, 0
INVAR-1, Run: 007, F, 8, 714, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0
INVAR-1, Run: 008, F, 6, 552, 0, 0, 0, 0, 0, 48, 0, 1, 12, 0
INVAR-1, Run: 009, F, 50, 4821, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0
INVAR-1, Run: 010, F, 40, 3838, 0, 0, 0, 0, 0, 14, 0, 1, 29, 0
INVAR-1, Run: 011, F, 30, 2872, 0, 0, 0, 0, 0, 24, 0, 1, 24, 0
INVAR-1, Run: 012, F, 48, 4613, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
INVAR-1, Run: 013, F, 8, 765, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0
INVAR-1, Run: 014, F, 26, 2529, 0, 0, 0, 0, 0, 28, 0, 1, 22, 0
INVAR-1, Run: 015, F, 50, 4835, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0
INVAR-1, Run: 016, F, 48, 4459, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
INVAR-1, Run: 017, F, 40, 3774, 0, 0, 0, 0, 0, 14, 0, 1, 29, 0
INVAR-1, Run: 018, F, 28, 2691, 0, 0, 0, 0, 0, 26, 0, 1, 23, 0
INVAR-1, Run: 019, F, 26, 2580, 0, 0, 0, 0, 0, 28, 0, 1, 22, 0
INVAR-1, Run: 020, F, 42, 4104, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0
INVAR-1, Run: 021, F, 44, 4181, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0
INVAR-1, Run: 022, F, 54, 5238, 0, 0, 0, 0, 0, 0, 0, 1, 36, 0
INVAR-1, Run: 023, F, 0, 4, 0, 0, 0, 0, 0, 54, 2, 1, 8, 0
INVAR-1, Run: 024, F, 34, 3380, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0
INVAR-1, Run: 025, F, 14, 1299, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0
INVAR-1, Run: 026, F, 20, 1994, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0
INVAR-1, Run: 027, F, 4, 402, 0, 0, 0, 0, 0, 50, 0, 1, 11, 0
INVAR-1, Run: 028, F, 20, 1901, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0
INVAR-1, Run: 029, F, 24, 2390, 0, 0, 0, 0, 0, 30, 0, 1, 21, 0
INVAR-1, Run: 030, F, 34, 3386, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0
INVAR-1, Run: 031, F, 50, 4843, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0
INVAR-1, Run: 032, F, 50, 4848, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0
INVAR-1, Run: 033, F, 44, 4181, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0
INVAR-1, Run: 034, F, 8, 796, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0
