Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE
INVAR-1, Run: 001, P, 0, 15, 0, 0, 0, 0, 0, 30, 18, 18, 0, 0
INVAR-1, Run: 002, P, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0
INVAR-1, Run: 003, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
INVAR-1, Run: 004, P, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0
INVAR-1, Run: 005, P, 0, 10, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2
INVAR-1, Run: 006, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
INVAR-1, Run: 007, P, 0, 17, 0, 0, 0, 0, 0, 12, 34, 34, 0, 0
INVAR-1, Run: 008, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
INVAR-1, Run: 009, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
INVAR-1, Run: 010, P, 0, 17, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0
INVAR-1, Run: 011, P, 0, 15, 0, 0, 0, 0, 0, 22, 26, 26, 0, 0
INVAR-1, Run: 012, P, 0, 15, 0, 0, 0, 0, 0, 33, 15, 15, 0, 0
INVAR-1, Run: 013, P, 0, 15, 0, 0, 0, 0, 0, 11, 37, 37, 0, 0
INVAR-1, Run: 014, P, 0, 15, 0, 0, 0, 0, 0, 13, 35, 35, 0, 0
INVAR-1, Run: 015, P, 0, 15, 0, 0, 0, 0, 0, 3, 45, 45, 0, 0
INVAR-1, Run: 016, P, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0
INVAR-1, Run: 017, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
INVAR-1, Run: 018, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
INVAR-1, Run: 019, P, 0, 11, 0, 0, 0, 0, 0, 21, 31, 31, 0, 0
INVAR-1, Run: 020, P, 0, 21, 0, 0, 0, 0, 0, 16, 26, 26, 0, 0
INVAR-1, Run: 021, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
INVAR-1, Run: 022, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
INVAR-1, Run: 023, P, 0, 13, 0, 0, 0, 0, 0, 29, 21, 21, 0, 0
INVAR-1, Run: 024, P, 0, 15, 0, 0, 0, 0, 0, 4, 44, 44, 0, 0
INVAR-1, Run: 025, P, 0, 15, 0, 0, 0, 0, 0, 18, 30, 30, 0, 0
INVAR-1, Run: 026, P, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2
INVAR-1, Run: 027, P, 0, 15, 0, 0, 0, 0, 0, 12, 36, 36, 0, 0
INVAR-1, Run: 028, P, 0, 17, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0
INVAR-1, Run: 029, P, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0
INVAR-1, Run: 030, P, 0, 15, 0, 0, 0, 0, 0, 26, 22, 22, 0, 0
INVAR-1, Run: 031, P, 0, 17, 0, 0, 0, 0, 0, 38, 8, 8, 0, 0
INVAR-1, Run: 032, P, 0, 15, 0, 0, 0, 0, 0, 44, 4, 4, 0, 0
INVAR-1, Run: 033, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
INVAR-1, Run: 034, P, 0, 11, 0, 0, 0, 0, 0, 26, 26, 26, 0, 0
INVAR-1, Run: 035, P, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0
INVAR-1, Run: 036, P, 0, 17, 0, 0, 0, 0, 0, 13, 33, 33, 0, 0
INVAR-1, Run: 037, P, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0
INVAR-1, Run: 038, P, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0
INVAR-1, Run: 039, P, 0, 23, 0, 0, 0, 0, 0, 12, 28, 28, 0, 0
INVAR-1, Run: 040, P, 0, 15, 0, 0, 0, 0, 0, 38, 10, 10, 0, 0
INVAR-1, Run: 041, P, 0, 13, 0, 0, 0, 0, 0, 6, 44, 44, 0, 0
INVAR-1, Run: 042, P, 0, 15, 0, 0, 0, 0, 0, 35, 13, 13, 0, 0
INVAR-1, Run: 043, P, 0, 19, 0, 0, 0, 0, 0, 15, 29, 29, 0, 0
INVAR-1, Run: 044, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
INVAR-1, Run: 045, P, 0, 15, 0, 0, 0, 0, 0, 32, 16, 16, 0, 0
INVAR-1, Run: 046, P, 0, 15, 0, 0, 0, 0, 0, 11, 37, 37, 0, 0
INVAR-1, Run: 047, P, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0
INVAR-1, Run: 048, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
INVAR-1, Run: 049, P, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2
INVAR-1, Run: 050, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
INVAR-1, Run: 051, P, 0, 13, 0, 0, 0, 0, 0, 9, 41, 41, 0, 0
INVAR-1, Run: 052, P, 0, 17, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0
INVAR-1, Run: 053, P, 0, 16, 0, 0, 0, 0, 0, 46, 0, 2, 1, 2
INVAR-1, Run: 054, P, 0, 15, 0, 0, 0, 0, 0, 7, 41, 41, 0, 0
INVAR-1, Run: 055, P, 0, 9, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0
INVAR-1, Run: 056, P, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0
INVAR-1, Run: 057, P, 0, 11, 0, 0, 0, 0, 0, 26, 26, 26, 0, 0
INVAR-1, Run: 058, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
INVAR-1, Run: 059, P, 0, 13, 0, 0, 0, 0, 0, 13, 37, 37, 0, 0
INVAR-1, Run: 060, P, 0, 15, 0, 0, 0, 0, 0, 38, 10, 10, 0, 0
INVAR-1, Run: 061, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
INVAR-1, Run: 062, P, 0, 13, 0, 0, 0, 0, 0, 10, 40, 40, 0, 0
INVAR-1, Run: 063, P, 0, 17, 0, 0, 0, 0, 0, 43, 3, 3, 0, 0
INVAR-1, Run: 064, P, 0, 17, 0, 0, 0, 0, 0, 21, 25, 25, 0, 0
INVAR-1, Run: 065, P, 0, 15, 0, 0, 0, 0, 0, 37, 11, 11, 0, 0
INVAR-1, Run: 066, P, 0, 15, 2, 0, 0, 0, 0, 1, 49, 49, 0, 0
INVAR-1, Run: 067, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
INVAR-1, Run: 068, P, 0, 17, 0, 0, 0, 0, 0, 12, 34, 34, 0, 0
INVAR-1, Run: 069, P, 0, 15, 0, 0, 0, 0, 0, 5, 43, 43, 0, 0
INVAR-1, Run: 070, P, 0, 13, 0, 0, 0, 0, 0, 7, 43, 43, 0, 0
INVAR-1, Run: 071, P, 0, 15, 0, 0, 0, 0, 0, 1, 47, 47, 0, 0
INVAR-1, Run: 072, P, 0, 13, 0, 0, 0, 0, 0, 22, 28, 28, 0, 0
INVAR-1, Run: 073, P, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0
INVAR-1, Run: 074, P, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2
INVAR-1, Run: 075, P, 0, 15, 0, 0, 0, 0, 0, 10, 38, 38, 0, 0
INVAR-1, Run: 076, P, 0, 18, 0, 0, 1, 0, 0, 32, 12, 13, 0, 1
INVAR-1, Run: 077, P, 0, 17, 2, 0, 0, 0, 0, 0, 48, 48, 0, 0
INVAR-1, Run: 078, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
INVAR-1, Run: 079, P, 0, 15, 0, 0, 0, 0, 0, 3, 45, 45, 0, 0
INVAR-1, Run: 080, P, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0
INVAR-1, Run: 081, P, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0
INVAR-1, Run: 082, P, 0, 10, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2
INVAR-1, Run: 083, P, 0, 15, 0, 0, 0, 0, 0, 10, 38, 38, 0, 0
INVAR-1, Run: 084, P, 0, 17, 0, 0, 0, 0, 0, 28, 18, 18, 0, 0
INVAR-1, Run: 085, P, 0, 15, 0, 0, 0, 0, 0, 34, 14, 14, 0, 0
INVAR-1, Run: 086, P, 0, 15, 0, 0, 0, 0, 0, 10, 38, 38, 0, 0
INVAR-1, Run: 087, P, 0, 11, 0, 0, 0, 0, 0, 15, 37, 37, 0, 0
INVAR-1, Run: 088, P, 0, 15, 0, 0, 0, 0, 0, 9, 39, 39, 0, 0
INVAR-1, Run: 089, P, 0, 13, 0, 0, 0, 0, 0, 38, 12, 12, 0, 0
INVAR-1, Run: 090, P, 0, 8, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2
INVAR-1, Run: 091, P, 0, 15, 0, 0, 0, 0, 0, 14, 34, 34, 0, 0
INVAR-1, Run: 092, P, 0, 11, 0, 0, 0, 0, 0, 17, 35, 35, 0, 0
INVAR-1, Run: 093, P, 0, 15, 0, 0, 0, 0, 0, 11, 37, 37, 0, 0
INVAR-1, Run: 094, P, 0, 17, 0, 0, 0, 0, 0, 7, 39, 39, 0, 0
INVAR-1, Run: 095, P, 0, 10, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2
INVAR-1, Run: 096, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
INVAR-1, Run: 097, P, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0
INVAR-1, Run: 098, P, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0
INVAR-1, Run: 099, P, 0, 11, 0, 0, 0, 0, 0, 31, 21, 21, 0, 0
INVAR-1, Run: 100, P, 0, 19, 0, 0, 0, 0, 0, 1, 43, 43, 0, 0
INVAR-10, Run: 001, P, 0, 112, 0, 0, 0, 0, 0, 588, 0, 0, 1, 0
INVAR-10, Run: 002, P, 0, 124, 0, 0, 0, 0, 0, 37, 539, 539, 0, 0
INVAR-10, Run: 003, P, 0, 120, 0, 0, 0, 0, 0, 580, 0, 0, 1, 0
INVAR-10, Run: 004, P, 0, 116, 0, 0, 0, 0, 0, 361, 223, 223, 0, 0
INVAR-10, Run: 005, P, 0, 118, 0, 0, 0, 0, 0, 99, 483, 483, 0, 0
INVAR-10, Run: 006, P, 0, 112, 0, 0, 0, 0, 0, 71, 517, 517, 0, 0
INVAR-10, Run: 007, P, 0, 120, 0, 0, 0, 0, 0, 498, 82, 82, 0, 0
INVAR-10, Run: 008, P, 0, 126, 0, 0, 0, 0, 0, 368, 206, 206, 0, 0
INVAR-10, Run: 009, P, 0, 120, 0, 0, 0, 0, 0, 475, 105, 105, 0, 0
INVAR-10, Run: 010, P, 0, 120, 0, 0, 0, 0, 0, 86, 494, 494, 0, 0
INVAR-10, Run: 011, P, 0, 124, 0, 0, 0, 0, 0, 31, 545, 545, 0, 0
INVAR-10, Run: 012, P, 0, 130, 0, 0, 0, 0, 0, 570, 0, 0, 1, 0
INVAR-10, Run: 013, P, 0, 116, 0, 0, 0, 0, 0, 79, 505, 505, 0, 0
INVAR-10, Run: 014, P, 0, 120, 0, 0, 0, 0, 0, 580, 0, 0, 1, 0
INVAR-10, Run: 015, P, 0, 110, 0, 0, 0, 0, 0, 590, 0, 0, 1, 0
INVAR-10, Run: 016, P, 0, 117, 0, 0, 0, 0, 0, 582, 0, 2, 1, 2
INVAR-10, Run: 017, P, 0, 122, 2, 0, 0, 0, 0, 0, 580, 580, 0, 0
INVAR-10, Run: 018, P, 0, 116, 0, 0, 0, 0, 0, 584, 0, 0, 1, 0
INVAR-10, Run: 019, P, 0, 124, 0, 0, 0, 0, 0, 86, 490, 490, 0, 0
INVAR-10, Run: 020, P, 0, 112, 0, 0, 0, 0, 0, 588, 0, 0, 1, 0
INVAR-10, Run: 021, P, 0, 114, 0, 0, 0, 0, 0, 132, 454, 454, 0, 0
INVAR-10, Run: 022, P, 0, 118, 0, 0, 0, 0, 0, 582, 0, 0, 1, 0
INVAR-10, Run: 023, P, 0, 122, 0, 0, 0, 0, 0, 285, 293, 293, 0, 0
INVAR-10, Run: 024, P, 0, 120, 0, 0, 0, 0, 0, 580, 0, 0, 1, 0
INVAR-10, Run: 025, P, 0, 114, 0, 0, 0, 0, 0, 28, 558, 558, 0, 0
INVAR-10, Run: 026, P, 0, 118, 0, 0, 0, 0, 0, 327, 255, 255, 0, 0
INVAR-10, Run: 027, P, 0, 119, 0, 0, 0, 0, 0, 580, 0, 2, 1, 2
INVAR-10, Run: 028, P, 0, 118, 0, 0, 0, 0, 0, 582, 0, 0, 1, 0
INVAR-10, Run: 029, P, 0, 112, 0, 0, 0, 0, 0, 14, 574, 574, 0, 0
INVAR-10, Run: 030, P, 0, 120, 0, 0, 0, 0, 0, 580, 0, 0, 1, 0
INVAR-10, Run: 031, P, 0, 113, 0, 0, 0, 0, 0, 586, 0, 2, 1, 2
INVAR-10, Run: 032, P, 0, 124, 0, 0, 0, 0, 0, 7, 569, 569, 0, 0
INVAR-10, Run: 033, P, 0, 111, 0, 0, 0, 0, 0, 588, 0, 2, 1, 2
INVAR-10, Run: 034, P, 0, 118, 0, 0, 0, 0, 0, 85, 497, 497, 0, 0
INVAR-10, Run: 035, P, 0, 122, 0, 0, 0, 0, 0, 12, 566, 566, 0, 0
INVAR-10, Run: 036, P, 0, 122, 0, 0, 0, 0, 0, 578, 0, 0, 1, 0
INVAR-10, Run: 037, P, 0, 120, 0, 0, 0, 0, 0, 242, 338, 338, 0, 0
INVAR-10, Run: 038, P, 0, 127, 0, 0, 0, 0, 0, 572, 0, 2, 1, 2
INVAR-10, Run: 039, P, 0, 128, 0, 0, 0, 0, 0, 572, 0, 0, 1, 0
INVAR-10, Run: 040, P, 0, 118, 0, 0, 0, 0, 0, 78, 504, 504, 0, 0
INVAR-10, Run: 041, P, 0, 124, 0, 0, 0, 0, 0, 415, 161, 161, 0, 0
INVAR-10, Run: 042, P, 0, 123, 0, 0, 0, 0, 0, 576, 0, 2, 1, 2
INVAR-10, Run: 043, P, 0, 124, 0, 0, 0, 0, 0, 405, 171, 171, 0, 0
INVAR-10, Run: 044, P, 0, 116, 0, 0, 0, 0, 0, 213, 371, 371, 0, 0
INVAR-10, Run: 045, P, 0, 119, 0, 0, 0, 0, 0, 580, 0, 2, 1, 2
INVAR-10, Run: 046, P, 0, 118, 0, 0, 0, 0, 0, 582, 0, 0, 1, 0
INVAR-10, Run: 047, P, 0, 122, 0, 0, 0, 0, 0, 578, 0, 0, 1, 0
INVAR-10, Run: 048, P, 0, 114, 0, 0, 0, 0, 0, 586, 0, 0, 1, 0
INVAR-10, Run: 049, P, 0, 116, 0, 0, 0, 0, 0, 584, 0, 0, 1, 0
INVAR-10, Run: 050, P, 0, 126, 0, 0, 0, 0, 0, 206, 368, 368, 0, 0
INVAR-10, Run: 051, P, 0, 116, 0, 0, 0, 0, 0, 421, 163, 163, 0, 0
INVAR-10, Run: 052, P, 0, 128, 0, 0, 0, 0, 0, 16, 556, 556, 0, 0
INVAR-10, Run: 053, P, 0, 116, 0, 0, 0, 0, 0, 240, 344, 344, 0, 0
INVAR-10, Run: 054, P, 0, 110, 0, 0, 0, 0, 0, 590, 0, 0, 1, 0
INVAR-10, Run: 055, P, 0, 124, 0, 0, 0, 0, 0, 576, 0, 0, 1, 0
INVAR-10, Run: 056, P, 0, 118, 0, 0, 0, 0, 0, 582, 0, 0, 1, 0
INVAR-10, Run: 057, P, 0, 118, 0, 0, 0, 0, 0, 582, 0, 0, 1, 0
INVAR-10, Run: 058, P, 0, 118, 0, 0, 0, 0, 0, 582, 0, 0, 1, 0
INVAR-10, Run: 059, P, 0, 111, 0, 0, 0, 0, 0, 588, 0, 2, 1, 2
INVAR-10, Run: 060, P, 0, 118, 0, 0, 0, 0, 0, 62, 520, 520, 0, 0
INVAR-10, Run: 061, P, 0, 120, 0, 0, 0, 0, 0, 148, 432, 432, 0, 0
