Input Number, Run_Number, Result@ 100, F, X1, A, B, C, PO, D, CO, Y, PE, CE, E
7, Run: 001, P, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 002, P, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 003, P, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 004, P, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 005, P, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 006, P, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 007, P, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 008, P, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 009, P, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 010, P, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 011, P, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 012, P, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 013, P, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 014, P, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 015, P, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 016, P, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 017, P, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 018, P, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 019, P, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 020, P, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 021, P, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 022, P, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 023, P, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 024, P, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 025, P, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 026, P, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 027, P, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 028, P, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 029, P, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 030, P, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 031, P, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 032, P, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 033, P, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 034, P, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 035, P, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 036, P, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
