Input Number, Run_Number, Result@ 100, E, PE, B, X1, A, C, PO, D, CO, Y, CE, F
1, Run: 001, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 002, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 003, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 004, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 005, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 006, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 007, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 008, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 009, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 010, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 011, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
1, Run: 012, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 013, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 014, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 015, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 016, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 017, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 018, P, 4, 0, 1, 0, 1, 0, 1, 0, 82, 82, 0, 1
1, Run: 019, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 020, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 021, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
1, Run: 022, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 023, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 024, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
1, Run: 025, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 026, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 027, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 028, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 029, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 030, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 031, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 032, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
1, Run: 033, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 034, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 035, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 036, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 037, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 038, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 039, P, 4, 0, 1, 0, 1, 0, 1, 0, 82, 82, 0, 1
1, Run: 040, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 041, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 042, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 043, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 044, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 045, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0
1, Run: 046, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 047, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 048, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
1, Run: 049, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0
1, Run: 050, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0
1, Run: 051, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0
