Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F
7, Run: 001, P, 0, 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 0
7, Run: 002, P, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 0, 0
7, Run: 003, P, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0, 0
7, Run: 004, P, 0, 0, 0, 0, 0, 357, 0, 0, 0, 0, 0, 0
7, Run: 005, P, 0, 0, 0, 0, 0, 324, 0, 0, 0, 0, 0, 0
7, Run: 006, P, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0, 0
7, Run: 007, P, 0, 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 0
7, Run: 008, P, 0, 0, 0, 0, 0, 351, 0, 0, 0, 0, 0, 0
7, Run: 009, P, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0, 0
7, Run: 010, P, 0, 0, 0, 0, 0, 321, 0, 0, 0, 0, 0, 0
7, Run: 011, P, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0
7, Run: 012, P, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0, 0
7, Run: 013, P, 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0
7, Run: 014, P, 0, 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 0
7, Run: 015, P, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0
7, Run: 016, P, 0, 0, 0, 0, 0, 351, 0, 0, 0, 0, 0, 0
7, Run: 017, P, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0
7, Run: 018, P, 0, 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 0
7, Run: 019, P, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0
7, Run: 020, P, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0, 0
7, Run: 021, P, 0, 0, 0, 0, 0, 333, 0, 0, 0, 0, 0, 0
7, Run: 022, P, 0, 0, 0, 0, 0, 276, 0, 0, 0, 0, 0, 0
7, Run: 023, P, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 0
7, Run: 024, P, 0, 0, 0, 0, 0, 345, 0, 0, 0, 0, 0, 0
7, Run: 025, P, 0, 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 0
7, Run: 026, P, 0, 0, 0, 0, 0, 339, 0, 0, 0, 0, 0, 0
7, Run: 027, P, 0, 0, 0, 0, 0, 327, 0, 0, 0, 0, 0, 0
7, Run: 028, P, 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 0, 0
7, Run: 029, P, 0, 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 0
7, Run: 030, P, 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 0, 0
7, Run: 031, P, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0, 0
7, Run: 032, P, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0, 0
7, Run: 033, P, 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0
7, Run: 034, P, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0, 0
7, Run: 035, P, 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 0, 0
7, Run: 036, P, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0, 0
7, Run: 037, P, 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 0
7, Run: 038, P, 0, 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 0
7, Run: 039, P, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 0
7, Run: 040, P, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0, 0
7, Run: 041, P, 0, 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 0
7, Run: 042, P, 0, 0, 0, 0, 0, 360, 0, 0, 0, 0, 0, 0
7, Run: 043, P, 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 0, 0
7, Run: 044, P, 0, 0, 0, 0, 0, 324, 0, 0, 0, 0, 0, 0
7, Run: 045, P, 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 0, 0
7, Run: 046, P, 0, 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 0
7, Run: 047, P, 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 0
7, Run: 048, P, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 0, 0
7, Run: 049, P, 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 0
7, Run: 050, P, 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 0, 0
7, Run: 051, P, 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0
7, Run: 052, P, 0, 0, 0, 0, 0, 321, 0, 0, 0, 0, 0, 0
7, Run: 053, P, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0
7, Run: 054, P, 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 0
7, Run: 055, P, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 0, 0
7, Run: 056, P, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0, 0
7, Run: 057, P, 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0
7, Run: 058, P, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 0
7, Run: 059, P, 0, 0, 0, 0, 0, 276, 0, 0, 0, 0, 0, 0
7, Run: 060, P, 0, 0, 0, 0, 0, 354, 0, 0, 0, 0, 0, 0
7, Run: 061, P, 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 0, 0
7, Run: 062, P, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0, 0
7, Run: 063, P, 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0
7, Run: 064, P, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0
7, Run: 065, P, 0, 0, 0, 0, 0, 339, 0, 0, 0, 0, 0, 0
7, Run: 066, P, 0, 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 0
7, Run: 067, P, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 0
7, Run: 068, P, 0, 0, 0, 0, 0, 237, 0, 0, 0, 0, 0, 0
7, Run: 069, P, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0
7, Run: 070, P, 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0
7, Run: 071, P, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0, 0
7, Run: 072, P, 0, 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 0
7, Run: 073, P, 0, 0, 0, 0, 0, 357, 0, 0, 0, 0, 0, 0
7, Run: 074, P, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0
7, Run: 075, P, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0, 0
7, Run: 076, P, 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0
7, Run: 077, P, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 0
7, Run: 078, P, 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 0, 0
7, Run: 079, P, 0, 0, 0, 0, 0, 339, 0, 0, 0, 0, 0, 0
7, Run: 080, P, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0
7, Run: 081, P, 0, 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 0
7, Run: 082, P, 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 0
7, Run: 083, P, 0, 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 0
7, Run: 084, P, 0, 0, 0, 0, 0, 237, 0, 0, 0, 0, 0, 0
7, Run: 085, P, 0, 0, 0, 0, 0, 321, 0, 0, 0, 0, 0, 0
7, Run: 086, P, 0, 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 0
7, Run: 087, P, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0
7, Run: 088, P, 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 0
7, Run: 089, P, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0, 0
7, Run: 090, P, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 0
7, Run: 091, P, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 0, 0
7, Run: 092, P, 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 0
7, Run: 093, P, 0, 0, 0, 0, 0, 324, 0, 0, 0, 0, 0, 0
7, Run: 094, P, 0, 0, 0, 0, 0, 327, 0, 0, 0, 0, 0, 0
7, Run: 095, P, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0
7, Run: 096, P, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 0
7, Run: 097, P, 0, 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 0
7, Run: 098, P, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 0
7, Run: 099, P, 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 0, 0
7, Run: 100, P, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 0, 0
