Input Number, Run_Number, Result@ 100, E, X1, F, A, B, C, PO, D, CO, Y, PE, CE
4, Run: 001, F, 3, 0, 1, 0, 0, 0, 0, 74, 0, 0, 1, 0
4, Run: 002, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 003, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 004, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 005, F, 1, 0, 1, 0, 0, 0, 0, 74, 0, 4, 1, 4
4, Run: 006, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 007, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 008, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 009, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 010, F, 2, 0, 1, 0, 0, 0, 0, 74, 0, 2, 1, 2
4, Run: 011, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 012, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 013, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 014, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 015, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 016, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 017, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 018, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 019, F, 2, 0, 1, 0, 0, 0, 0, 74, 0, 2, 1, 2
4, Run: 020, F, 3, 0, 1, 0, 0, 0, 0, 74, 0, 0, 1, 0
4, Run: 021, F, 3, 0, 1, 0, 0, 0, 0, 74, 0, 0, 1, 0
4, Run: 022, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 023, F, 3, 0, 1, 0, 0, 0, 0, 74, 0, 0, 1, 0
4, Run: 024, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 025, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 026, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 027, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 028, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 029, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 030, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 031, F, 2, 0, 1, 0, 0, 0, 0, 74, 0, 2, 1, 2
4, Run: 032, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 033, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 034, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 035, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 036, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 037, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 038, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
